day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
54,3.0,3.0,3,0.0,2.0,0.609,0.0,1.0,0.107,1.0,3.0,1.077,0.0,2.0,0.429,1.0,2.0,0.789,0.0,1.0,0.266,2.0,4.0,1.645,1.0,3.0,1.078,10.0,18.0,11.807,6000.0,7500.0,6188,0.0,1.0,0.112,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28,1780.0,1850.0,1777.27,800.0,1200.0,726.05,6000.0,7250.0,6034.4,16.0,28.0,15.156,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.594,,,,100.0,200.0,69.5,200.0,200.0,177.6,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,21.14,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,2.25,0.0,1.0,0.097,0.0,1.0,0.251,0.0,1.0,0.058,,,,,,,12000.0,12000.0,12000,1500.0,1500.0,1531.5,0.0,3.0,1.005,0.0,1.0,0.341,0.0,1.0,0.335,0.0,1.0,0.345,,,,,,,,,
55,3.0,3.0,3,0.0,2.0,0.566,0.0,1.0,0.112,1.0,3.0,1.088,0.0,2.0,0.414,1.0,2.0499999999999545,0.863,0.0,1.0,0.255,2.0,4.0,1.62,1.0,3.0,1.082,10.0,18.0,11.871,6000.0,7500.0,6252.5,0.0,1.0,0.093,,,,40.0,40.0,36.28,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28,1840.0,1910.0,1833.55,800.0,1400.0,882.8,6075.0,7300.0,6101.3,16.0,28.0,14.952,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.598,,,,100.0,200.0,66.9,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,21.2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,2.75,0.0,1.0,0.103,0.0,1.0,0.242,0.0,1.0,0.057,,,,,,,12000.0,12000.0,12000,1500.0,1500.0,1540.5,0.0,3.0,0.996,0.0,1.0,0.334,0.0,1.0,0.332,0.0,1.0,0.361,,,,,,,,,
56,3.0,3.0,3,0.0,2.0,0.573,0.0,1.0,0.101,1.0,3.0,1.074,0.0,2.0,0.438,1.0,2.0,0.802,0.0,1.0,0.259,2.0,3.0,1.669,1.0,3.0,1.084,15.0,23.0,16.033,6000.0,7500.0,6198,0.0,1.0,0.125,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28,1860.0,1930.0,1853.55,1000.0,1400.0,935.6,6450.0,7700.0,6477.25,17.0,29.0,15.975,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.622,,,,100.0,200.0,69.7,350.0,350.0,306.25,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,70.0,70.0,63.84,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,9.2,0.0,1.0,0.1,0.0,1.0,0.224,0.0,1.0,0.054,,,,50.0,50.0,43.75,12000.0,12000.0,12000,1500.0,3000.0,1638,0.0,3.0,1.113,0.0,1.0,0.378,0.0,1.0,0.371,0.0,1.0,0.343,,,,,,,,,
57,3.0,3.0,3,0.0,2.0,0.587,0.0,1.0,0.114,1.0,3.0,1.079,0.0,2.0,0.442,1.0,2.0,0.822,0.0,1.0,0.273,2.0,3.0,1.62,1.0,3.0,1.063,11.0,19.0,11.955,6000.0,7500.0,6187,0.0,1.0,0.105,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28,1880.0,1950.0,1873.55,1000.0,1400.0,756.4,6600.0,7850.0,6638.25,16.0,28.0,15.237,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.581,,,,100.0,200.0,71.5,100.0,100.0,89.5,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,50.0,21.95,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,23.7,0.0,1.0,0.104,0.0,1.0,0.269,0.0,0.0,0.046,,,,,,,12000.0,12000.0,12000,1500.0,3000.0,1855.5,0.0,3.0,1.212,0.0,1.0,0.415,0.0,1.0,0.404,0.0,1.0,0.418,,,,,,,,,
58,3.0,3.0,3,0.0,2.0,0.599,0.0,1.0,0.099,1.0,3.0,1.034,0.0,2.0,0.428,1.0,2.0,0.834,0.0,1.0,0.289,2.0,4.0,1.654,1.0,3.0,1.063,10.0,18.0,11.636,6000.0,7500.0,6167.5,0.0,1.0,0.102,,,,20.0,20.0,17.96,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28,1920.0,1990.0,1911.51,600.0,1400.0,716.4,6700.0,7950.0,6709.95,16.0,28.0,15.225,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.622,,,,100.0,200.0,71.7,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,21.17,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,15,0.0,1.0,0.101,0.0,1.0,0.232,0.0,0.0,0.045,,,,,,,12000.0,12000.0,12000,1500.0,3000.0,1725,0.0,3.0,1.158,0.0,1.0,0.378,0.0,1.0,0.386,0.0,1.0,0.386,,,,,,,,,
59,3.0,3.0,3,0.0,2.0,0.612,0.0,1.0,0.118,1.0,3.0,1.057,0.0,2.0,0.42,1.0,2.0,0.779,0.0,1.0,0.269,2.0,4.0,1.65,1.0,3.0,1.095,10.0,19.0,11.893,6000.0,7500.0,6176.5,0.0,1.0,0.101,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.999,1940.0,2010.0,1931.51,400.0,1400.0,574,6900.0,8150.0,6913.7,16.0,28.0,14.974,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.605,,,,100.0,200.0,68.9,150.0,150.0,134.85,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,21.47,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,21.4,0.0,1.0,0.091,0.0,1.0,0.25,0.0,1.0,0.054,,,,,,,12000.0,12000.0,12000,1500.0,3000.0,1821,0.0,3.0,1.212,0.0,1.0,0.392,0.0,1.0,0.404,0.0,1.0,0.418,,,,0.0,0.0,0.001,0.0,0.0,0.007
60,3.0,3.0,3,0.0,2.0,0.596,0.0,1.0,0.115,1.0,3.0,1.045,0.0,2.0,0.437,1.0,2.0,0.81,0.0,1.0,0.267,2.0,3.0,1.665,1.0,3.0,1.065,10.0,18.049999999999955,11.845,6000.0,7500.0,6179.5,0.0,1.0,0.105,,,,30.0,30.0,26.85,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.998,1980.0,2060.0,1978.36,400.0,1400.0,449.45,6975.0,8200.0,6984.1,16.0,28.0,15.075,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,4.25,1.0,1.0,0.616,,,,100.0,200.0,70.4,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,21.11,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,20.3,0.0,1.0,0.104,0.0,1.0,0.245,0.0,0.0,0.035,,,,,,,12000.0,12000.0,11997,1500.0,3000.0,1803,0.0,3.0,1.167,0.0,1.0,0.405,0.0,1.0,0.389,0.0,1.0,0.408,,,,0.0,0.0,0.002,0.0,0.0,0.044
61,3.0,3.0,3,0.0,2.0,0.577,0.0,1.0,0.096,1.0,3.0,1.063,0.0,2.0,0.437,1.0,2.0,0.837,0.0,1.0,0.238,2.0,3.0,1.637,1.0,3.0,1.115,10.0,18.0,11.791,6000.0,7500.0,6141.5,0.0,1.0,0.106,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.997,2000.0,2080.0,1998.36,600.0,1000.0,557.2,7200.0,8502.499999999998,7230.4,16.0,28.0,15.3,75.0,75.0,75,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,8.5,1.0,1.0,0.583,,,,100.0,200.0,67.5,200.0,200.0,178.8,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,20.0,20.0,20,20.0,20.0,20.93,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,5.75,0.0,1.0,0.097,0.0,1.0,0.255,0.0,1.0,0.065,,,,,,,12000.0,12000.0,11994,1500.0,3000.0,1584,0.0,3.0,1.089,0.0,1.0,0.359,0.0,1.0,0.363,0.0,1.0,0.334,,,,0.0,0.0,0.003,0.0,0.0,0.066
62,3.0,3.0,3,0.0,2.0,0.585,0.0,1.0,0.12,1.0,3.0,1.059,0.0,2.0,0.435,1.0,2.0,0.78,0.0,1.0,0.29,2.0,4.0,1.642,1.0,3.0,1.089,10.0,19.0,11.895,6000.0,7500.0,6142.5,0.0,1.0,0.094,0.0,0.0,0.05,40.0,40.0,36.24,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.996,2060.0,2140.0,2054.65,800.0,1200.0,724.4,7250.0,8552.499999999998,7292.9,15.5,28.0,15.1,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,12.75,1.0,1.0,0.617,,,,100.0,200.0,72.5,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.004,,,,20.0,20.0,20,20.0,20.0,21.31,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,2.05,0.0,1.0,0.089,0.0,1.0,0.248,0.0,0.0,0.046,,,,,,,12000.0,12000.0,11991,1500.0,1500.0,1527,0.0,3.0,1.044,0.0,1.0,0.348,0.0,1.0,0.348,0.0,1.0,0.322,0.0,0.0,10,0.0,0.0,0.004,0.0,0.0,0.066
63,3.0,3.0,3,0.0,2.0,0.581,0.0,1.0,0.116,1.0,3.0,1.08,0.0,2.0,0.415,1.0,2.0,0.801,0.0,1.0,0.304,1.0,4.0,1.6,1.0,3.0,1.103,15.0,23.0,16.328,6000.0,7500.0,6179.5,0.0,1.0,0.101,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,27.999,2080.0,2160.0,2074.65,800.0,1400.0,886.15,7950.0,9202.499999999998,7929.45,16.0,29.0,16.046,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,29.75,1.0,1.0,0.602,,,,100.0,200.0,71.9,350.0,350.0,314.65,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.004,,,,20.0,20.0,20,70.0,70.0,65.13,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,2.5,0.0,1.0,0.11,0.0,1.0,0.241,0.0,0.0,0.047,250.0,250.0,250,50.0,50.0,44.95,12000.0,12000.0,11976,1500.0,1500.0,1530,0.0,3.0,1.059,0.0,1.0,0.342,0.0,1.0,0.353,0.0,1.0,0.325,,,,0.0,0.0,0.004,0.0,0.0,0.067
64,3.0,3.0,3,0.0,2.0,0.596,0.0,1.0,0.089,1.0,3.0,1.124,0.0,2.0,0.441,1.0,2.0,0.776,0.0,1.0,0.286,1.0,3.0,1.616,1.0,3.0,1.072,10.0,18.0,11.669,6000.0,7500.0,6158.5,0.0,1.0,0.094,0.0,0.0,0.05,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.001,2100.0,2180.0,2094.7,1000.0,1400.0,940.2,8100.0,9400.0,8082.75,15.0,28.0,14.683,25.0,25.0,25,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,21.25,1.0,1.0,0.586,,,,100.0,200.0,72.7,100.0,100.0,90.6,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.008,,,,20.0,20.0,20,20.0,50.0,22.39,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,9.2,0.0,1.0,0.109,0.0,1.0,0.255,0.0,0.049999999999954525,0.05,,,,,,,12000.0,12000.0,11985,1500.0,3000.0,1630.5,0.0,3.0,0.975,0.0,1.0,0.392,0.0,1.0,0.325,0.0,1.0,0.37,0.0,0.0,10,0.0,0.0,0.003,0.0,0.0,0.052
65,3.0,3.0,3,0.0,2.0,0.617,0.0,1.0,0.109,1.0,3.0,1.048,0.0,2.0,0.451,1.0,2.0,0.828,0.0,1.0,0.291,1.0,3.0,1.567,1.0,3.0,1.089,10.0,19.0,11.778,6000.0,7500.0,6110,0.0,1.0,0.095,,,,20.0,20.0,18.1,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.004,2140.0,2220.0,2132.8,1000.0,1400.0,762.5,8150.0,9450.0,8136.95,14.0,28.0,14.481,50.0,50.0,50,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,25.5,1.0,1.0,0.603,,,,100.0,200.0,74.2,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.016,,,,20.0,20.0,20,20.0,50.0,21.53,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,23.7,0.0,1.0,0.087,0.0,1.0,0.253,0.0,1.0,0.057,,,,,,,12000.0,12000.0,11979,1500.0,3000.0,1849.5,0.0,3.0,1.284,0.0,1.0,0.418,0.0,1.0,0.428,0.0,1.0,0.387,0.0,0.0,20,0.0,0.0,0.003,0.0,0.0,0.044
66,3.0,3.0,3,0.0,2.0,0.588,0.0,1.0,0.114,1.0,3.0,1.081,0.0,2.0,0.403,1.0,2.0,0.815,0.0,1.0,0.273,2.0,3.0,1.649,1.0,3.0,1.077,10.0,19.0,11.828,6000.0,7500.0,6067.5,0.0,1.0,0.094,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.01,2160.0,2240.0,2152.8,800.0,1400.0,721.9,8350.0,9650.0,8290.45,14.0,28.0,14.328,75.0,75.0,75,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,42.5,1.0,1.0,0.615,,,,100.0,200.0,67.6,150.0,150.0,135.9,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.036,,,,20.0,20.0,20,20.0,20.0,21.35,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,15.1,0.0,1.0,0.094,0.0,1.0,0.236,0.0,1.0,0.055,,,,,,,12000.0,12000.0,11964,1500.0,3000.0,1719,0.0,3.0,1.116,0.0,1.0,0.396,0.0,1.0,0.372,0.0,1.0,0.378,0.0,0.0,50,0.0,0.0,0.004,0.0,0.0,0.081
67,3.0,3.0,3,0.0,2.0,0.611,0.0,1.0,0.119,1.0,3.0,1.017,0.0,2.0,0.439,1.0,2.0,0.821,0.0,1.0,0.269,2.0,4.0,1.669,1.0,3.0,1.055,10.0,19.0,11.863,6000.0,7500.0,6151.5,0.0,1.0,0.093,,,,30.0,30.0,27.21,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.028,2200.0,2280.0,2200.01,400.0,1400.0,580.25,8400.0,9700.0,8311.25,13.0,28.0,13.981,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,89.25,1.0,1.0,0.607,,,,100.0,200.0,70.8,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.056,,,,20.0,20.0,20,20.0,50.0,21.71,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,21.4,0.0,1.0,0.092,0.0,1.0,0.246,0.0,1.0,0.055,,,,,,,12000.0,12000.0,11922,1500.0,3000.0,1809,0.0,3.0,1.311,0.0,1.0,0.366,0.0,1.0,0.437,0.0,1.0,0.403,0.0,0.0,50,0.0,0.0,0.003,0.0,0.0,0.052
68,3.0,3.0,3,0.0,2.0,0.634,0.0,1.0,0.122,1.0,3.0,1.136,0.0,2.0,0.446,1.0,2.0,0.794,0.0,1.0,0.247,1.0,3.0,1.552,1.0,3.0,1.069,10.0,19.0,11.944,6000.0,7500.0,6134,0.0,1.0,0.095,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.049,2220.0,2300.0,2220.01,400.0,1400.0,459.85,8650.0,9852.499999999996,8441.55,13.0,28.0,13.754,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,97.75,1.0,1.0,0.604,,,,100.0,200.0,69.3,200.0,200.0,181,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.104,,,,20.0,20.0,20,20.0,20.0,21.44,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,20.15,0.0,1.0,0.09,0.0,1.0,0.259,0.0,0.0,0.047,,,,,,,12000.0,12000.0,11916,1500.0,3000.0,1786.5,0.0,3.0,1.176,0.0,1.0,0.365,0.0,1.0,0.392,0.0,1.0,0.434,0.0,0.0,120,0.0,0.0,0.002,0.0,0.0,0.037
69,3.0,3.0,3,0.0,2.0,0.546,0.0,1.0,0.101,1.0,3.0,1.064,0.0,2.0,0.482,1.0,2.0,0.805,0.0,1.0,0.265,2.0,4.0,1.67,1.0,3.0,1.067,10.0,18.0,11.7,6000.0,7500.0,6118.5,0.0,1.0,0.103,,,,40.0,40.0,35.88,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.091,2280.0,2360.0,2275.89,600.0,1000.0,552.35,8700.0,9950.0,8456.25,13.0,28.0,13.616,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,182.75,1.0,1.0,0.619,,,,100.0,200.0,74.7,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.128,,,,20.0,20.0,20,20.0,20.0,21.2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,100.0,7.25,0.0,1.0,0.094,0.0,1.0,0.237,0.0,0.049999999999954525,0.05,,,,,,,12000.0,12000.0,11835,1500.0,3000.0,1582.5,0.0,3.0,1.047,0.0,1.0,0.352,0.0,1.0,0.349,0.0,1.0,0.354,0.0,0.0,60,0.0,0.0,0.001,0.0,0.0,0.015
70,3.0,3.0,3,0.0,2.0,0.592,0.0,1.0,0.097,1.0,3.0,1.125,0.0,2.0,0.425,1.0,2.0,0.841,0.0,1.0,0.252,2.0,3.0,1.578,1.0,3.0,1.09,15.0,24.0,16.212,6000.0,7500.0,6159,0.0,1.0,0.106,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,28.0,28.114,2300.0,2380.0,2295.89,600.0,1200.0,707.6,9000.0,10300.0,8396.85,14.0,29.0,14.606,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,131.75,1.0,1.0,0.617,,,,100.0,200.0,67.7,350.0,350.0,312.9,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,28.304,,,,20.0,20.0,20,70.0,70.0,64.79,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,3,0.0,1.0,0.089,0.0,1.0,0.247,0.0,0.0,0.047,,,,50.0,50.0,44.7,12000.0,12000.0,11889,1500.0,1500.0,1521,0.0,3.0,0.963,0.0,1.0,0.347,0.0,1.0,0.321,0.0,1.0,0.346,0.0,0.0,440,0.0,0.0,0.008,0.0,0.0,0.117
71,3.0,3.0,3,0.0,2.0,0.62,0.0,1.0,0.099,1.0,3.0,1.09,0.0,2.0,0.425,1.0,2.0,0.817,0.0,1.0,0.269,1.0,4.0,1.607,1.0,3.0,1.073,10.0,19.0,11.798,6000.0,7500.0,6118,0.0,1.0,0.097,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,28.0,31.0,28.251,2320.0,2400.0,2315.89,800.0,1400.0,862.9,9050.0,10400.0,8216.55,13.0,28.0,13.947,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,4250.0,620.5,1.0,1.0,0.587,,,,100.0,200.0,69.4,100.0,100.0,90.3,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,28.44,,,,20.0,20.0,20,20.0,50.0,21.76,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1.7,0.0,1.0,0.104,0.0,1.0,0.263,0.0,0.0,0.046,,,,,,,12000.0,12000.0,11424,1500.0,1500.0,1498.5,0.0,3.0,0.969,0.0,1.0,0.328,0.0,1.0,0.323,0.0,1.0,0.348,0.0,0.0,340,0.0,0.0,0.009,0.0,0.0,0.132
