day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
65,3.0,3.0,3,1.0,2.0,0.7,1.0,2.0,0.76,2.0,5.0,2.56,1.0,3.0,1.2,1.5,4.0,1.76,1.0,4.0,1.28,2.0,4.549999999999997,2.14,1.0,4.0,1.6,17.0,28.549999999999997,16.8,9600.0,12000.0,9760,,,,20.0,20.0,20,0.0,0.0,0,28.0,32.0,29.74,1280.0,1330.0,1304,0.0,500.0,70,11810.0,15010.0,9053,9.0,19.0,9.94,80.0,80.0,80,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,8500.0,1190,3200.0,3450.0,3230,1.0,1.0,0.54,,,,200.0,500.0,248,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,4.2,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.16,0.0,1.0,0.2,0.0,1.0,0.1,,,,,,,12000.0,12000.0,11040,3000.0,3000.0,2700,0.0,6.0,1.74,1.0,2.0,0.66,0.0,2.0,0.58,0.0,2.0,0.56,,,,0.0,1.0,0.16,0.0,15.0,2.52
66,3.0,3.0,3,0.0,2.0,0.44,0.0,2.0,0.58,2.5,5.0,2.6,1.0,3.0,1.36,2.0,3.0,1.62,1.0,3.0,1.18,2.0,3.549999999999997,1.98,2.0,4.549999999999997,2.24,15.0,29.099999999999994,15.56,9600.0,12000.0,10112,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.82,1280.0,1330.0,1304,0.0,387.4999999999993,45,12160.0,15260.0,9357,10.0,19.0,10.42,120.0,120.0,120,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,6587.499999999987,765,3200.0,3700.0,3270,1.0,1.0,0.64,,,,200.0,454.9999999999997,254,150.0,150.0,150,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,3.2,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.12,0.0,1.0,0.22,0.0,0.0,0.02,,,,,,,12000.0,12000.0,11400,3000.0,3000.0,2790,0.0,6.0,1.62,1.0,2.0,0.8,0.0,2.0,0.54,0.0,2.0,0.52,,,,0.0,1.0,0.1,0.0,22.0,2.06
67,3.0,3.0,3,0.0,2.0,0.42,0.0,2.0,0.6,3.0,4.549999999999997,2.62,2.0,3.0,1.54,1.0,4.0,1.7,1.0,3.549999999999997,1.36,2.0,3.0,1.74,2.0,4.0,2.02,14.5,29.64999999999999,15.78,9600.0,12000.0,9664,,,,30.0,30.0,30,0.0,0.0,0,28.0,32.0,29.72,1310.0,1360.0,1334,0.0,250.0,25,12210.0,15624.999999999998,9547,11.0,18.549999999999997,10.16,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,4250.0,425,3200.0,3587.499999999999,3245,1.0,1.0,0.58,,,,300.0,500.0,290,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,4.8,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,12000.0,12000.0,11700,3000.0,3000.0,2850,0.0,6.0,1.74,0.5,2.0,0.6,0.0,2.0,0.58,1.0,2.0,0.72,,,,0.0,1.0,0.2,0.0,11.399999999999977,2.8
68,3.0,3.0,3,1.0,2.0,0.86,0.0,2.0,0.38,3.0,4.0,2.44,1.0,3.0,1.4,1.0,4.0,1.5,1.0,2.0,0.94,2.0,4.0,2.42,2.0,4.0,2.06,14.0,23.549999999999997,14.24,9600.0,12000.0,10464,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.58,1310.0,1360.0,1334,0.0,250.0,40,12510.0,15925.0,9881,11.5,19.0,10.12,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,4250.0,680,3200.0,3450.0,3225,1.0,1.0,0.56,,,,200.0,454.9999999999997,234,200.0,200.0,200,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,6.4,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.14,0.0,1.0,0.22,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11400,3000.0,3000.0,2880,0.0,6.0,1.62,1.0,2.0,0.72,0.0,2.0,0.54,1.0,2.0,0.66,,,,0.0,2.0,0.3,0.0,30.249999999999957,4.74
69,3.0,3.0,3,0.0,2.0,0.6,0.0,2.0,0.56,2.0,5.0,2.4,1.5,3.549999999999997,1.64,1.0,3.0,1.58,1.0,2.549999999999997,1,2.0,4.549999999999997,2.12,2.0,4.549999999999997,2.1,15.0,27.099999999999994,15.14,9600.0,12000.0,9824,,,,40.0,40.0,40,0.0,0.0,0,28.0,32.0,29.86,1400.0,1450.0,1382,0.0,500.0,75,12810.0,16125.0,10045,12.0,19.0,10.3,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,8500.0,1275,3200.0,3450.0,3240,1.0,1.0,0.68,,,,300.0,500.0,264,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,2,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,8,0.0,0.0,0.02,0.0,1.0,0.28,0.0,0.0,0.02,,,,,,,12000.0,12000.0,10980,3000.0,3000.0,2670,3.0,6.0,2.04,1.0,1.5499999999999972,0.58,1.0,2.0,0.68,0.0,1.0,0.52,,,,0.0,0.0,0.02,0.0,0.0,0.14
70,3.0,3.0,3,0.5,2.0,0.74,0.0,2.0,0.54,2.0,5.0,2.56,1.0,4.549999999999997,1.54,1.0,3.549999999999997,1.6,1.0,2.0,1,2.0,4.0,1.98,2.0,4.0,2.04,20.0,31.549999999999997,20.44,9600.0,12000.0,9856,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.72,1400.0,1450.0,1412,0.0,137.4999999999993,15,13160.0,16685.0,10549,10.0,19.0,10.08,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,2337.4999999999877,255,3200.0,3700.0,3275,1.0,1.0,0.6,,,,200.0,500.0,254,350.0,350.0,350,,,,100.0,100.0,100,28.0,32.0,29.92,,,,50.0,70.0,54.8,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,50.0,50.0,30,0.0,1.0,0.1,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,,,,50.0,50.0,50,12000.0,12000.0,11820,3000.0,3000.0,2910,3.0,6.0,2.1,0.0,2.0,0.54,1.0,2.0,0.7,1.0,2.0,0.7,,,,0.0,2.0,0.2,0.0,22.249999999999957,2.48
71,3.0,3.0,3,0.0,2.0,0.6,0.5,2.0,0.58,2.0,5.0,2.7,1.0,3.549999999999997,1.38,2.0,4.0,1.86,1.0,3.0,0.94,2.0,4.549999999999997,2.02,2.0,4.0,1.92,17.0,26.549999999999997,16.42,9600.0,12000.0,9968,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.62,1400.0,1450.0,1424,0.0,500.0,50,13560.0,16975.0,10781,10.0,18.549999999999997,9.82,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,8500.0,850,3200.0,3337.499999999999,3215,1.0,1.0,0.62,,,,200.0,454.9999999999997,232,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,47.49999999999986,7,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,12,0.0,1.0,0.08,0.0,1.0,0.28,0.0,0.0,0.02,,,,,,,12000.0,12000.0,11340,3000.0,3000.0,2760,3.0,6.0,1.92,0.0,2.0,0.54,1.0,2.0,0.64,1.0,2.0,0.66,,,,0.0,2.0,0.3,0.0,37.24999999999996,4.82
72,3.0,3.0,3,0.0,2.549999999999997,0.76,0.0,1.0,0.42,3.0,5.0,2.66,1.0,3.0,1.36,2.0,4.0,1.7,1.0,2.0,1.02,2.0,4.0,2.08,2.0,4.549999999999997,2,14.0,24.0,14.02,9600.0,12000.0,10064,0.0,0.0,1,20.0,20.0,20,0.0,0.0,0,28.0,32.0,29.84,1445.0,1470.0,1445,0.0,637.4999999999993,70,10610.0,17420.0,10719,9.5,19.0,10,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,10837.499999999987,1190,3200.0,3700.0,3250,1.0,1.0,0.66,,,,200.0,500.0,238,0.0,0.0,0,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,3.2,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.08,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,,,,,,,12000.0,12000.0,10980,3000.0,3000.0,2760,3.0,6.0,2.34,0.0,2.0,0.54,1.0,2.0,0.78,0.0,1.5499999999999972,0.52,0.0,0.0,200,0.0,0.0,0.06,0.0,0.0,1.04
73,3.0,3.0,3,0.0,2.0,0.6,0.0,1.5499999999999972,0.46,2.0,5.549999999999997,2.66,1.0,3.0,1.38,2.0,4.549999999999997,1.9,1.0,3.0,1.14,2.0,4.0,1.88,2.0,3.549999999999997,1.98,13.0,26.19999999999999,13.96,9600.0,12000.0,9888,,,,0.0,0.0,0,0.0,0.0,0,29.5,32.0,29.96,1445.0,1470.0,1445,0.0,250.0,35,11060.0,17660.0,11021,11.0,19.0,10.8,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,4250.0,595,3200.0,3837.499999999999,3270,1.0,1.0,0.6,,,,200.0,500.0,252,150.0,150.0,150,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,1.6,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.2,0.0,1.0,0.1,,,,,,,12000.0,12000.0,11520,3000.0,3000.0,2850,1.5,6.0,1.8,1.0,2.0,0.76,0.5,2.0,0.6,0.0,2.0,0.54,,,,0.0,0.0,0.02,0.0,0.0,0.6
74,3.0,3.0,3,0.0,2.0,0.64,0.5,2.0,0.66,3.0,6.0,2.94,2.0,3.549999999999997,1.5,1.0,2.549999999999997,1.26,1.0,2.549999999999997,1.14,2.0,4.0,1.88,2.0,4.0,1.98,15.5,24.549999999999997,16.3,9600.0,12000.0,9824,,,,30.0,30.0,30,0.0,0.0,0,28.5,32.0,29.9,1475.0,1500.0,1475,0.0,0.0,10,11260.0,17860.0,11185,11.5,18.549999999999997,10.72,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,0.0,170,3200.0,3450.0,3235,1.0,1.0,0.56,,,,300.0,500.0,264,0.0,0.0,0,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,3.8,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.3,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11880,3000.0,3000.0,2940,3.0,6.0,2.1,1.0,2.0,0.7,1.0,2.0,0.7,1.0,1.0,0.56,,,,0.0,0.0,0.1,0.0,0.0,1.62
75,3.0,3.0,3,0.0,2.0,0.6,0.0,2.0,0.62,3.0,5.0,2.86,1.0,3.0,1.12,2.0,4.0,1.72,1.0,3.0,1.02,2.0,4.0,1.98,2.0,5.0,2.08,15.5,27.0,16.22,9600.0,12000.0,10128,,,,0.0,0.0,0,0.0,0.0,0,29.5,32.0,29.98,1475.0,1500.0,1475,0.0,0.0,25,11560.0,18125.0,11499,10.0,18.0,9.96,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,0.0,425,3200.0,3200.0,3210,1.0,1.0,0.58,,,,200.0,400.0,214,200.0,200.0,200,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,2.8,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.12,0.0,1.0,0.26,0.0,0.0,0.04,,,,,,,12000.0,12000.0,11640,3000.0,3000.0,2910,0.0,6.0,1.74,1.0,2.0,0.7,0.0,2.0,0.58,0.0,2.0,0.66,,,,0.0,0.0,0.02,0.0,0.0,0.3
76,3.0,3.0,3,0.0,2.0,0.56,0.0,2.0,0.58,2.0,4.0,2.34,1.5,3.549999999999997,1.58,1.0,3.0,1.46,1.0,3.0,1.14,2.0,4.549999999999997,2.42,2.0,4.099999999999994,1.92,14.5,27.549999999999997,14.76,9600.0,12000.0,9728,,,,40.0,40.0,40,0.0,0.0,0,29.5,32.0,29.9,1515.0,1540.0,1515,0.0,0.0,5,11760.0,18280.0,11671,10.0,18.0,9.66,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,0.0,85,3200.0,3200.0,3225,1.0,1.0,0.72,,,,300.0,500.0,272,0.0,0.0,0,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,3.4,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.14,0.0,0.0,0.04,,,,,,,12000.0,12000.0,11940,3000.0,3000.0,2970,0.0,3.0,1.32,1.0,2.0,0.7,0.0,1.0,0.44,1.0,2.0,0.84,,,,0.0,0.5499999999999972,0.1,0.0,3.84999999999998,1.78
77,3.0,3.0,3,1.0,2.0,0.66,0.5,1.0,0.56,3.0,5.0,2.6,1.0,3.0,1.34,1.0,3.549999999999997,1.68,1.0,3.0,0.96,2.0,4.0,2.18,2.0,4.0,2.02,20.0,28.549999999999997,20.22,9600.0,12000.0,9632,,,,0.0,0.0,0,0.0,0.0,0,29.0,32.0,29.96,1540.0,1540.0,1516,0.0,137.4999999999993,25,12260.0,18840.0,12151,8.0,18.0,9.16,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,2337.4999999999877,425,3200.0,3200.0,3205,1.0,1.0,0.66,,,,200.0,400.0,230,350.0,350.0,350,,,,100.0,100.0,100,30.0,32.0,30,,,,50.0,70.0,52.8,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1,0.0,1.0,0.1,0.0,1.0,0.2,0.0,0.0,0.04,,,,50.0,50.0,50,12000.0,12000.0,11640,3000.0,3000.0,2910,0.0,6.0,1.86,1.0,2.0,0.8,0.0,2.0,0.62,0.0,2.0,0.52,,,,0.0,0.0,0.04,0.0,0.0,0.44
78,3.0,3.0,3,0.0,2.0,0.56,0.5,2.549999999999997,0.68,3.0,5.0,3,1.0,3.549999999999997,1.28,2.0,4.0,1.84,1.0,3.0,0.92,2.0,4.0,2.04,1.5,4.0,1.68,16.0,33.19999999999999,16.38,9600.0,12000.0,10336,,,,0.0,0.0,0,0.0,0.0,0,30.0,32.0,29.92,1540.0,1590.0,1525,0.0,0.0,10,12560.0,19085.0,12371,8.5,18.0,9.86,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,0.0,170,3200.0,3337.499999999999,3225,1.0,1.0,0.54,,,,200.0,400.0,220,100.0,100.0,100,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,2.6,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,9,0.0,1.0,0.14,0.0,1.0,0.24,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11880,3000.0,3000.0,2940,3.0,6.0,2.28,0.0,1.0,0.36,1.0,2.0,0.76,1.0,2.0,0.84,,,,0.0,0.0,0.08,0.0,0.0,1.02
79,3.0,3.0,3,1.0,2.0,0.68,0.0,2.0,0.56,2.0,5.549999999999997,2.6,1.0,3.0,1.38,2.0,3.0,1.78,1.0,3.0,1.16,2.0,4.549999999999997,1.94,2.0,4.0,1.9,14.0,26.549999999999997,14.86,9600.0,12000.0,9760,,,,20.0,20.0,20,0.0,0.0,0,30.0,32.0,29.92,1560.0,1610.0,1575,0.0,0.0,15,12710.0,19330.0,12525,9.0,18.549999999999997,9.82,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,0.0,255,3200.0,3200.0,3210,1.0,1.0,0.74,,,,200.0,500.0,254,0.0,0.0,0,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,2.8,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,50.0,50.0,30,0.0,0.5499999999999972,0.06,0.0,1.0,0.18,0.0,0.0,0.02,,,,,,,12000.0,12000.0,11760,3000.0,3000.0,2970,3.0,6.0,1.92,1.0,2.0,0.8,1.0,2.0,0.64,0.0,2.0,0.54,,,,0.0,0.0,0.06,0.0,0.0,0.84
80,3.0,3.0,3,0.0,2.0,0.64,0.0,2.0,0.54,2.0,5.0,2.38,1.0,3.0,1.24,1.0,4.0,1.58,1.0,3.0,1.18,2.0,5.0,2.18,2.0,4.0,2.26,15.0,28.549999999999997,15.16,9600.0,12000.0,9744,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,30.5,32.0,30.02,1610.0,1610.0,1586,0.0,137.4999999999993,30,10110.0,19280.0,12617,11.0,17.549999999999997,10.4,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,2337.4999999999877,510,3200.0,3200.0,3215,1.0,1.0,0.52,,,,200.0,500.0,242,150.0,150.0,150,,,,100.0,100.0,100,32.0,32.0,30.08,,,,0.0,20.0,2,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,10,0.0,1.0,0.12,0.0,1.0,0.28,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11580,3000.0,3000.0,2880,3.0,6.0,1.98,0.5,2.0,0.58,1.0,2.0,0.66,1.0,1.5499999999999972,0.68,0.0,0.0,200,0.0,0.0,0.02,0.0,0.0,0.6
81,3.0,3.0,3,1.0,2.0,0.82,0.0,1.5499999999999972,0.34,2.0,5.0,2.52,1.0,3.0,1.44,1.0,4.549999999999997,1.74,1.0,2.0,0.7,2.0,5.0,2.14,2.0,5.0,2.3,11.0,27.19999999999999,13.76,9600.0,12000.0,9888,,,,30.0,30.0,30,0.0,0.0,0,31.5,32.0,30.02,1640.0,1640.0,1616,0.0,0.0,15,10360.0,19325.0,12731,11.0,19.0,10.3,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,0.0,255,3200.0,3337.499999999999,3230,1.0,1.0,0.58,,,,200.0,400.0,214,0.0,0.0,0,,,,100.0,100.0,100,32.0,32.0,30.08,,,,0.0,20.0,3.6,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.16,0.0,1.0,0.22,0.0,0.0,0.04,,,,,,,12000.0,12000.0,11760,3000.0,3000.0,2970,3.0,4.6499999999999915,2.1,0.5,2.0,0.62,1.0,1.5499999999999972,0.7,1.0,2.0,0.66,,,,0.0,0.5499999999999972,0.06,0.0,10.999999999999943,1.4
82,3.0,3.0,3,1.0,2.0,0.66,0.0,1.0,0.5,3.0,4.549999999999997,2.72,1.0,4.0,1.38,2.0,4.0,1.84,1.0,2.549999999999997,0.94,2.0,4.0,2.06,2.0,4.0,1.9,16.5,22.549999999999997,15.82,9600.0,12000.0,10096,,,,0.0,0.0,0,0.0,0.0,0,31.0,32.0,30,1640.0,1640.0,1616,0.0,137.4999999999993,15,10860.0,19570.0,13063,9.0,19.0,9.48,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,2337.4999999999877,255,3200.0,3200.0,3215,1.0,1.0,0.58,,,,200.0,454.9999999999997,232,200.0,200.0,200,,,,100.0,100.0,100,32.0,32.0,30.08,,,,0.0,20.0,4.6,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,0.0,0.02,0.0,1.0,0.36,0.0,0.0,0.04,,,,,,,12000.0,12000.0,11820,3000.0,3000.0,2910,3.0,6.0,1.98,1.0,2.0,0.76,1.0,2.0,0.66,0.0,2.0,0.52,,,,0.0,0.5499999999999972,0.08,0.0,5.499999999999972,1.8
83,3.0,3.0,3,0.0,2.0,0.64,0.0,2.0,0.5,3.0,5.0,2.9,1.0,2.549999999999997,1.3,2.0,3.549999999999997,1.58,1.0,2.0,1.04,2.0,3.549999999999997,1.72,2.0,4.0,2.32,14.0,25.549999999999997,14.62,9600.0,12000.0,9568,,,,40.0,40.0,40,0.0,0.0,0,31.5,32.0,30.06,1680.0,1680.0,1656,0.0,137.4999999999993,20,11110.0,19715.0,13197,9.5,18.0,9.58,160.0,160.0,160,9200.0,9200.0,9200,9000.0,9000.0,9000,0.0,2337.4999999999877,340,3200.0,3337.499999999999,3215,1.0,1.0,0.56,,,,200.0,454.9999999999997,234,0.0,0.0,0,,,,100.0,100.0,100,32.0,32.0,30.08,,,,0.0,20.0,2,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.14,0.0,1.0,0.22,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11760,3000.0,3000.0,2880,3.0,3.0,1.8,1.0,2.0,0.72,1.0,1.0,0.6,1.0,2.0,0.6,,,,0.0,0.0,0.02,0.0,0.0,0.3
