day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
62,0.0,0.0,0,0.0,2.0,0.52,,,,,,,0.0,1.5499999999999972,0.44,2.0,4.0,2.1,1.0,3.0,1.04,1.0,3.0,1.04,1.0,1.5499999999999972,0.68,1.0,3.0,1.52,1.5,3.0,1.66,11.0,22.099999999999994,11.78,9600.0,12000.0,9696,40.0,40.0,40,0.0,0.0,0,28.0,28.0,28,1210.0,1210.0,1194,900.0,1400.0,1000,3110.0,3792.4999999999995,3093,11.0,18.0,10.44,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.54,,,,100.0,177.49999999999986,86,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.1,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,,,,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.0,0.0,0,0.0,2.0,0.58,,,,,,,0.0,2.0,0.36,2.0,3.549999999999997,2.02,1.0,3.549999999999997,1.2,1.0,3.0,1.22,1.0,2.0,0.74,1.0,3.549999999999997,1.44,1.0,3.0,1.44,15.5,27.099999999999994,16.16,9600.0,12000.0,9952,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1210.0,1210.0,1194,1100.0,1350.0,1080,3885.0,4542.5,3840,11.0,18.0,10.44,0.0,0.0,0,9200.0,9200.0,9200,,,,0.0,1.0,0.46,,,,100.0,250.0,97,350.0,350.0,350,,,,100.0,100.0,100,28.0,28.0,28,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.14,0.0,1.0,0.36,0.0,0.0,0.04,,,,9000.0,9000.0,9000,0.0,1500.0,120,,,,0.0,0.0,0.04,,,,0.0,0.0,0.04,400.0,400.0,400,50.0,50.0,50,50.0,50.0,50,,,,,,,,,
64,0.0,0.0,0,0.0,1.0,0.4,,,,,,,0.0,2.0,0.46,2.0,4.0,2,1.0,3.0,1.14,1.0,3.0,1.18,1.0,2.0,0.82,2.0,3.0,1.7,1.0,3.0,1.3,11.5,24.0,12.32,9600.0,12000.0,9664,0.0,0.0,0,0.0,0.0,0,28.0,28.0,27.98,1210.0,1210.0,1194,925.0,1300.0,680,4010.0,4692.5,3938,11.0,18.549999999999997,10.22,40.0,40.0,40,9200.0,9200.0,9200,,,,1.0,1.0,0.58,,,,100.0,200.0,98,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,0.0,0.04,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,,,,9000.0,9000.0,9000,0.0,1500.0,600,0.0,3.0,0.78,0.0,0.0,0.04,0.0,1.0,0.26,0.0,1.0,0.1,,,,,,,0.0,20.0,1.6,,,,0.0,0.0,0.02,0.0,0.0,0.6
65,0.0,0.0,0,0.0,2.0,0.56,,,,,,,0.0,1.0,0.42,2.0,3.549999999999997,2,1.0,3.0,0.92,1.0,3.0,1.32,0.5,2.0,0.62,2.0,4.0,1.8,1.0,3.0,1.36,11.0,21.549999999999997,11.86,9600.0,12000.0,9776,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1230.0,1230.0,1214,250.0,1250.0,315,3960.0,4665.0,3915,11.0,18.0,10.18,80.0,80.0,80,9200.0,9200.0,9200,0.0,0.0,85,1.0,1.0,0.56,,,,50.0,177.49999999999986,77,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.1,0.0,1.0,0.3,0.0,0.0,0.04,,,,9000.0,9000.0,8880,0.0,1500.0,600,0.0,3.0,0.36,0.0,0.5499999999999972,0.06,0.0,1.0,0.12,0.0,1.0,0.22,,,,,,,0.0,0.0,0.4,,,,,,,,,
66,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,1.0,0.14,2.0,5.0,2.18,1.0,3.549999999999997,0.98,1.0,3.0,1.34,1.0,2.0,0.88,1.0,3.0,1.46,1.0,3.0,1.52,8.0,15.549999999999997,9.06,9600.0,12000.0,9760,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1230.0,1230.0,1214,450.0,1450.0,515,4110.0,4860.0,4058,11.0,18.0,10.18,120.0,120.0,120,9200.0,9200.0,9200,,,,0.5,1.0,0.5,,,,75.0,250.0,93,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.2,0.0,1.0,0.26,0.0,0.0,0.04,,,,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,0.0,0,0.0,1.0,0.4,,,,,,,0.0,1.5499999999999972,0.42,2.0,4.0,2.24,1.0,3.549999999999997,1.2,1.0,3.0,1.24,1.0,2.0,0.68,2.0,3.549999999999997,1.78,1.0,3.0,1.04,11.0,21.64999999999999,11.68,9600.0,12000.0,9328,30.0,30.0,30,0.0,0.0,0,28.0,28.0,28,1260.0,1260.0,1244,400.0,900.0,505,4110.0,4860.0,4052,11.0,18.0,10.36,160.0,160.0,160,9200.0,9200.0,9200,,,,0.5,1.0,0.5,,,,100.0,200.0,94,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.08,0.0,1.0,0.32,0.0,1.0,0.1,,,,9000.0,9000.0,9000,0.0,1500.0,210,0.0,1.6499999999999915,0.18,0.0,0.0,0.02,0.0,0.5499999999999972,0.06,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,
68,0.0,0.0,0,0.0,1.5499999999999972,0.36,,,,,,,0.0,2.0,0.44,2.0,4.0,1.88,1.0,3.0,0.94,1.0,3.0,1.4,1.0,2.0,0.8,1.0,4.0,1.66,1.0,4.0,1.52,9.5,23.0,11.62,9600.0,12000.0,9600,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1260.0,1260.0,1244,600.0,1100.0,705,4285.0,5065.0,4239,11.0,18.0,10.36,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.52,,,,100.0,200.0,87,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.18,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,,,,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0,0.0,0,0.0,1.0,0.36,,,,,,,1.0,2.0,0.66,2.0,4.0,2.2,1.0,2.549999999999997,0.92,1.0,3.0,1.1,1.0,2.0,0.64,1.0,3.0,1.4,2.0,3.0,1.72,13.5,23.0,13.96,9600.0,12000.0,9712,40.0,40.0,40,0.0,0.0,0,28.0,28.0,28,1300.0,1350.0,1296,800.0,1300.0,905,4285.0,4965.0,4217,11.0,18.0,10.36,160.0,160.0,160,9200.0,9200.0,9200,,,,0.0,1.0,0.46,,,,50.0,200.0,78,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.16,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,0.0,50.0,12,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0,0.0,0,0.0,2.0,0.56,,,,,,,0.0,1.0,0.46,2.0,4.0,1.96,1.0,2.0,1,1.0,3.0,1.18,1.0,2.549999999999997,0.8,1.0,4.0,1.46,1.0,4.0,1.58,16.5,25.0,16.52,9600.0,12000.0,9888,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1350.0,1350.0,1327,1000.0,1250.0,985,4610.0,5320.0,4557,11.0,18.0,10.42,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.62,,,,100.0,200.0,90,350.0,350.0,350,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.1,0.0,1.0,0.24,0.0,0.0,0.04,50.0,50.0,31,9000.0,9000.0,9000,0.0,1500.0,120,0.0,0.0,0.06,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.02,,,,50.0,50.0,50,50.0,50.0,50,,,,,,,,,
71,0.0,0.0,0,0.0,1.5499999999999972,0.42,,,,,,,0.0,1.5499999999999972,0.4,2.0,4.0,2.12,1.0,3.0,1.14,1.0,3.0,1.28,0.0,2.0,0.58,1.0,3.549999999999997,1.54,1.0,4.0,1.52,8.0,22.099999999999994,10.76,9600.0,12000.0,9440,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1350.0,1350.0,1334,1200.0,1450.0,1185,4710.0,5415.0,4643,11.0,18.0,10.42,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.74,,,,50.0,200.0,86,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.08,0.0,1.0,0.14,0.0,0.0,0.04,0.0,50.0,7,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0,0.0,0,0.0,2.0,0.48,,,,,,,0.0,1.0,0.24,2.0,4.549999999999997,2.16,1.0,2.549999999999997,0.94,1.0,3.0,1.06,1.0,2.0,0.92,1.0,3.549999999999997,1.62,2.0,3.0,1.58,8.0,16.549999999999997,9.78,9600.0,12000.0,9536,20.0,20.0,20,0.0,0.0,0,28.0,28.0,28,1370.0,1370.0,1354,1150.0,1400.0,785,4685.0,5370.0,4636,11.0,18.0,10.78,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.56,,,,100.0,200.0,93,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.1,0.0,1.0,0.24,0.0,1.0,0.1,,,,9000.0,9000.0,9000,0.0,1500.0,600,0.0,3.0,0.36,0.0,1.0,0.12,0.0,1.0,0.12,0.0,1.0,0.16,,,,,,,,,,,,,,,,,,
73,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,2.0,0.58,2.0,3.0,1.78,1.0,3.0,1.06,1.0,3.0,1.08,1.0,2.549999999999997,0.92,1.0,3.0,1.36,2.0,4.0,1.72,13.0,24.0,13.06,9600.0,12000.0,9568,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1370.0,1370.0,1354,350.0,1350.0,415,4810.0,5515.0,4785,11.0,18.549999999999997,10.86,160.0,160.0,160,9200.0,9200.0,9200,,,,0.5,1.0,0.5,,,,100.0,204.99999999999972,99,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.36,0.0,1.0,0.08,,,,9000.0,9000.0,9000,0.0,1500.0,570,0.0,3.0,0.48,0.0,1.0,0.08,0.0,1.0,0.16,0.0,1.0,0.14,,,,,,,0.0,0.0,0.4,,,,,,,,,
74,0.0,0.0,0,0.0,2.0,0.4,,,,,,,0.0,1.0,0.42,2.0,4.549999999999997,2.1,1.0,3.549999999999997,1.16,1.0,3.0,1.12,1.0,2.0,0.88,2.0,3.0,1.64,1.0,3.0,1.28,12.0,19.099999999999994,11.32,9600.0,12000.0,9488,30.0,30.0,30,0.0,0.0,0,28.0,28.0,27.98,1400.0,1400.0,1384,300.0,800.0,405,4835.0,5487.5,4787,11.0,18.549999999999997,10.98,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.62,,,,100.0,227.49999999999986,102,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.0,0.02,,,,9000.0,9000.0,9000,0.0,1500.0,210,0.0,0.0,0.12,0.0,0.5499999999999972,0.06,0.0,0.0,0.04,0.0,0.0,0.04,,,,,,,0.0,0.0,0.4,,,,0.0,0.0,0.02,0.0,0.0,0.4
75,0.0,0.0,0,0.0,2.0,0.48,,,,,,,0.0,2.0,0.5,2.0,4.0,2.08,1.0,3.0,1.18,1.0,3.0,1.2,0.0,2.0,0.64,1.0,3.549999999999997,1.52,1.0,3.0,1.4,12.0,23.549999999999997,12.2,9600.0,12000.0,9776,0.0,0.0,0,0.0,0.0,0,28.0,28.0,27.96,1400.0,1400.0,1384,500.0,1000.0,610,5060.0,5637.5,4978,11.0,19.0,11.24,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,85,1.0,1.0,0.6,,,,100.0,200.0,91,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,9000.0,9000.0,8880,0.0,0.0,30,0.0,0.0,0.06,,,,0.0,0.0,0.02,,,,,,,,,,0.0,0.0,0.8,,,,0.0,0.0,0.04,0.0,0.0,1
76,0.0,0.0,0,0.0,2.0,0.38,,,,,,,0.0,1.0,0.32,2.0,4.549999999999997,2.02,1.0,3.0,1.1,1.0,3.0,1.34,0.0,3.0,0.72,1.0,3.549999999999997,1.44,1.0,4.0,1.68,10.5,21.549999999999997,11.36,9600.0,12000.0,9456,40.0,40.0,40,0.0,0.0,0,28.0,28.0,28,1440.0,1440.0,1424,700.0,1200.0,820,5010.0,5660.0,4969,11.0,18.549999999999997,10.9,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,170,0.0,1.0,0.44,,,,100.0,200.0,91,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.16,0.0,1.0,0.38,0.0,0.0,0.02,,,,9000.0,9000.0,8760,0.0,0.0,60,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.02,,,,,,,,,,0.0,0.0,0.4,,,,,,,,,
77,0.0,0.0,0,0.0,2.0,0.56,,,,,,,0.0,2.0,0.42,2.0,4.0,2.18,1.0,2.549999999999997,1.02,1.0,3.0,1.16,0.0,2.0,0.62,1.0,3.0,1.5,1.0,3.549999999999997,1.54,14.0,28.099999999999994,16.76,9600.0,12000.0,9488,0.0,0.0,0,0.0,0.0,0,28.0,28.0,27.98,1440.0,1440.0,1424,900.0,1400.0,1020,5335.0,5987.5,5301,11.0,19.0,11.1,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.54,,,,100.0,150.0,82,350.0,350.0,350,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.16,0.0,1.0,0.3,,,,,,,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,50.0,50.0,50,50.0,50.0,50.4,,,,0.0,0.0,0.02,0.0,0.0,0.6
78,0.0,0.0,0,0.0,1.5499999999999972,0.48,,,,,,,0.0,1.0,0.36,2.0,4.0,1.94,1.0,3.0,1.2,1.0,3.0,0.94,0.0,2.0,0.7,2.0,3.0,1.66,2.0,3.0,1.72,10.5,21.0,11.1,9600.0,12000.0,9840,0.0,0.0,0,0.0,0.0,0,28.0,28.0,27.96,1440.0,1440.0,1424,1100.0,1350.0,1105,5385.0,6087.5,5396,11.0,18.549999999999997,11.1,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,85,1.0,1.0,0.54,,,,100.0,200.0,95,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.14,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,9000.0,9000.0,8880,0.0,1500.0,150,,,,0.0,0.0,0.02,,,,0.0,1.0,0.08,,,,,,,0.0,10.999999999999943,1.2,,,,0.0,0.0,0.04,0.0,0.0,1.2
79,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,2.0,0.56,2.0,4.0,2.02,1.0,3.0,1.26,1.0,3.0,1.14,1.0,2.0,0.68,1.0,3.549999999999997,1.4,1.0,3.0,1.44,12.5,26.749999999999986,12.84,9600.0,12000.0,9824,20.0,20.0,20,0.0,0.0,0,28.0,28.0,27.96,1460.0,1460.0,1444,300.0,1300.0,655,5385.0,6037.5,5393,11.0,19.0,11.56,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,170,1.0,1.0,0.62,,,,100.0,177.49999999999986,97,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,0.0,0.04,0.0,1.0,0.3,0.0,0.0,0.04,,,,9000.0,9000.0,8820,0.0,1500.0,660,0.0,3.0,0.66,0.0,1.0,0.16,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,,,,,,,0.0,10.999999999999943,1.2,,,,0.0,0.0,0.04,0.0,0.0,1
80,0.0,0.0,0,0.0,1.0,0.42,,,,,,,0.0,1.5499999999999972,0.38,2.0,4.549999999999997,2.04,1.0,2.0,1.26,1.0,3.0,1.14,1.0,2.0,0.8,1.0,3.0,1.42,1.5,3.549999999999997,1.54,7.5,22.64999999999999,10.36,9600.0,12000.0,9632,0.0,0.0,0,0.0,0.0,0,28.0,28.0,28,1460.0,1460.0,1446,250.0,912.499999999998,235,5510.0,6187.5,5546,11.0,19.0,11.06,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,170,1.0,1.0,0.7,,,,100.0,200.0,103,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,1.0,0.1,0.0,1.0,0.12,0.0,1.0,0.08,0.0,0.0,2,9000.0,9000.0,8820,0.0,1500.0,630,0.0,3.0,0.3,0.0,1.0,0.16,0.0,1.0,0.1,0.0,1.0,0.16,,,,,,,0.0,0.0,0.8,,,,,,,,,
81,0.0,0.0,0,0.0,1.0,0.34,,,,,,,0.0,2.0,0.4,2.0,5.0,2.26,1.0,2.0,0.92,1.0,2.549999999999997,1,1.0,2.0,1.06,2.0,3.0,1.48,1.0,3.549999999999997,1.54,8.0,23.099999999999994,11.38,9600.0,12000.0,9328,30.0,30.0,30,0.0,0.0,0,28.0,28.0,27.94,1490.0,1540.0,1495,450.0,1112.499999999998,435,5560.0,6187.5,5545,11.0,19.0,11.44,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.66,,,,100.0,200.0,99,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,0.0,0.02,0.0,50.0,19,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.8,,,,0.0,0.0,0.06,0.0,0.0,1.18
82,0.0,0.0,0,0.0,2.0,0.44,,,,,,,0.0,2.0,0.46,2.0,4.549999999999997,2.04,1.0,2.549999999999997,1,1.0,3.549999999999997,1.12,1.0,2.0,0.88,2.0,4.0,1.72,1.0,3.0,1.34,12.0,28.549999999999997,13.36,9600.0,12000.0,9360,0.0,0.0,0,0.0,0.0,0,28.0,28.0,27.9,1540.0,1540.0,1521,650.0,900.0,560,5785.0,6360.0,5739,11.0,19.0,10.54,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,255,0.0,1.0,0.42,,,,100.0,177.49999999999986,94,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,0.0,0.04,0.0,1.0,0.48,0.0,0.5499999999999972,0.06,50.0,50.0,26,9000.0,9000.0,8760,0.0,0.0,60,,,,0.0,0.0,0.02,,,,0.0,0.0,0.02,,,,,,,0.0,20.0,3,,,,0.0,0.5499999999999972,0.1,0.0,8.249999999999957,2.1
83,0.0,0.0,0,0.0,2.0,0.5,,,,,,,0.0,2.0,0.42,2.0,4.549999999999997,2.08,1.0,3.0,0.96,1.0,3.0,1.14,1.0,2.0,0.82,1.0,3.0,1.28,1.5,4.0,1.8,7.5,25.549999999999997,11.38,9600.0,12000.0,9808,40.0,40.0,40,0.0,0.0,0,28.0,28.0,27.92,1580.0,1580.0,1564,850.0,1100.0,780,5760.0,6365.0,5728,11.0,19.0,10.38,160.0,160.0,160,9200.0,9200.0,9200,0.0,2337.4999999999877,340,1.0,1.0,0.72,,,,100.0,200.0,89,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,,,,0.0,0.0,0.02,0.0,1.0,0.22,0.0,0.0,0.04,0.0,27.499999999999858,3,9000.0,9000.0,8580,0.0,0.0,60,,,,0.0,0.0,0.02,,,,0.0,0.0,0.02,,,,,,,0.0,0.0,1.4,,,,0.0,0.0,0.06,0.0,0.0,1.24
