day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
70,3.0,3.0,3,0.5,2.0,0.66,0.0,2.0,0.7,3.0,5.549999999999997,2.9,1.0,3.0,1.26,2.0,3.0,1.58,1.0,3.0,1.2,2.0,4.0,1.78,2.0,4.0,1.92,21.0,35.39999999999998,20.28,6000.0,7500.0,6170,0.0,1.0,0.16,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.74,1310.0,1391.0,1303.4,800.0,1400.0,823,13000.0,16077.5,9491,12.0,27.799999999999955,12.04,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,10837.499999999987,935,1.0,1.0,0.58,,,,200.0,454.9999999999997,246,350.0,350.0,294,,,,100.0,100.0,100,28.0,32.0,29.92,,,,50.0,70.0,44.4,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,50.0,50.0,31,0.0,54.999999999999716,6,0.0,1.0,0.14,0.0,1.0,0.2,0.0,1.0,0.08,,,,50.0,50.0,42,12000.0,12000.0,11160,1500.0,1500.0,1470,0.0,3.0,0.96,0.0,1.0,0.26,0.0,1.0,0.32,0.0,1.0,0.4,,,,0.0,1.5499999999999972,0.18,0.0,27.349999999999895,2.78
71,3.0,3.0,3,0.0,2.0,0.64,0.0,2.0,0.52,3.0,5.0,2.92,1.0,3.0,1.32,1.0,3.0,1.46,1.0,2.0,0.92,2.0,4.0,1.9,2.0,4.0,2.32,15.0,25.549999999999997,15.58,6000.0,7500.0,6250,0.0,1.0,0.1,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.56,1320.0,1405.5,1316.4,800.0,1277.5,726,13250.0,16182.5,9705,12.5,19.549999999999997,11.48,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,6587.499999999987,765,1.0,1.0,0.58,,,,200.0,400.0,224,100.0,100.0,90,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,36.499999999999915,6.2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,13,0.0,100.0,12,0.0,1.0,0.12,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,,,,,,,12000.0,12000.0,11280,1500.0,3000.0,1740,0.0,3.0,0.84,0.0,1.0,0.36,0.0,1.0,0.28,0.0,1.5499999999999972,0.52,,,,0.0,2.549999999999997,0.36,0.0,36.69999999999996,4.8
72,3.0,3.0,3,0.0,2.0,0.58,0.0,2.0,0.6,2.0,6.0,2.54,1.0,3.0,1.5,1.5,3.549999999999997,1.58,1.0,2.549999999999997,1.02,2.0,4.0,2.06,2.0,4.0,2.12,15.0,28.099999999999994,15.3,6000.0,7500.0,6160,0.0,1.0,0.08,,,,20.0,20.0,18.4,0.0,0.0,0,28.0,32.0,29.76,1335.0,1425.5,1334.8,875.0,1400.0,792,13400.0,16332.5,9857,9.0,19.0,10.06,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,10837.499999999987,1360,1.0,1.0,0.78,,,,200.0,500.0,252,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,4,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,0.0,4,0.0,0.5499999999999972,0.06,0.0,1.0,0.12,0.0,0.0,0.04,,,,,,,12000.0,12000.0,10740,1500.0,2324.9999999999955,1530,0.0,3.0,1.14,0.0,1.0,0.24,0.0,1.0,0.38,0.0,1.0,0.4,,,,0.0,1.0,0.12,0.0,7.0,1.44
73,3.0,3.0,3,0.5,2.549999999999997,0.78,0.0,2.0,0.54,3.0,6.0,2.76,2.0,3.0,1.62,1.0,3.0,1.48,1.0,2.0,0.84,2.0,4.0,2.24,2.0,3.0,1.74,14.0,27.099999999999994,14.58,6000.0,7500.0,6260,0.0,0.0,0.04,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.78,1335.0,1425.5,1334.8,800.0,1400.0,713,13700.0,16677.5,10147,9.0,18.549999999999997,9.38,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,4250.0,680,1.0,1.0,0.74,,,,200.0,400.0,246,150.0,150.0,144,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,4.4,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,19,0.0,1.0,0.1,0.0,1.0,0.14,0.0,0.0,0.02,,,,,,,12000.0,12000.0,11460,1500.0,3000.0,1620,0.0,3.0,0.78,0.0,1.0,0.46,0.0,1.0,0.26,0.0,1.0,0.36,,,,0.0,0.5499999999999972,0.14,0.0,12.099999999999937,2.94
74,3.0,3.0,3,0.0,2.0,0.54,0.0,1.0,0.4,2.0,6.0,2.66,1.0,3.0,1.34,2.0,4.0,1.74,1.0,3.0,1.12,2.0,4.0,1.88,2.0,5.0,2.32,13.0,23.549999999999997,14.1,6000.0,7500.0,6240,0.0,0.5499999999999972,0.06,,,,30.0,30.0,28.2,0.0,0.0,0,28.0,32.0,29.84,1365.0,1451.0,1363,625.0,1400.0,758,13800.0,16937.5,10293,10.0,19.0,10.34,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,2337.4999999999877,595,1.0,1.0,0.52,,,,300.0,454.9999999999997,246,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,10.999999999999943,1.2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,10,0.0,1.0,0.08,0.0,1.0,0.32,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11460,1500.0,3000.0,1590,0.0,3.0,1.14,0.0,1.0,0.38,0.0,1.0,0.38,0.0,1.0,0.3,,,,0.0,0.5499999999999972,0.08,0.0,3.84999999999998,1.02
75,3.0,3.0,3,1.0,2.0,0.7,1.0,2.0,0.76,2.5,5.0,2.82,1.0,4.0,1.5,1.0,4.0,1.68,1.0,3.0,0.94,1.0,4.0,1.64,2.0,3.549999999999997,1.96,16.5,27.549999999999997,16.54,6000.0,7500.0,6120,0.0,1.0,0.12,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.84,1365.0,1451.0,1363,700.0,1400.0,663,14050.0,17137.5,10613,10.0,19.0,10.04,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,2337.4999999999877,340,1.0,1.0,0.54,,,,200.0,500.0,244,200.0,200.0,176,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,3,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,15,0.0,1.0,0.16,0.0,1.0,0.2,0.0,1.0,0.1,,,,,,,12000.0,12000.0,11700,1500.0,3000.0,1740,0.0,3.0,1.08,0.0,1.0,0.38,0.0,1.0,0.36,0.0,1.0,0.42,,,,0.0,0.0,0.08,0.0,0.0,1.62
76,3.0,3.0,3,0.5,2.0,0.7,1.0,3.0,0.72,3.0,5.0,2.94,1.0,3.0,1.36,1.0,3.0,1.32,1.0,2.0,0.94,2.0,5.0,2.14,2.0,4.0,1.88,15.5,36.19999999999999,16.96,6000.0,7500.0,6210,0.0,1.0,0.1,,,,40.0,40.0,36,0.0,0.0,0,28.0,32.0,29.84,1405.0,1491.0,1399,600.0,1277.5,571,14225.0,17127.5,10743,9.5,19.0,9.8,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,340,1.0,1.0,0.64,,,,200.0,400.0,230,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,3,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,12,0.0,0.0,0.04,0.0,1.0,0.32,,,,,,,,,,12000.0,12000.0,11700,1500.0,3000.0,1740,0.0,3.0,1.44,0.0,1.0,0.38,0.0,1.0,0.48,0.0,1.0,0.3,,,,0.0,0.0,0.08,0.0,0.0,1.32
77,3.0,3.0,3,0.0,2.0,0.4,0.0,2.0,0.5,3.0,5.0,2.8,1.0,3.0,1.52,2.0,3.549999999999997,1.7,1.0,3.0,1.22,2.0,4.549999999999997,2,2.0,4.0,1.86,19.0,29.549999999999997,19.26,6000.0,7500.0,6060,0.0,1.0,0.1,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.84,1405.0,1491.0,1399,600.0,1332.4999999999995,668,14600.0,17737.5,11232,8.0,19.0,9.1,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,340,1.0,1.0,0.64,,,,300.0,500.0,274,350.0,350.0,315,,,,100.0,100.0,100,28.0,32.0,29.92,,,,50.0,70.0,47.4,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,0.0,3,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.0,0.02,,,,50.0,50.0,45,12000.0,12000.0,11700,1500.0,2324.9999999999955,1560,0.0,3.0,0.66,1.0,1.0,0.54,0.0,1.0,0.22,0.0,1.0,0.28,,,,0.0,0.0,0.08,0.0,0.0,1.04
78,3.0,3.0,3,0.5,2.0,0.6,0.0,2.0,0.52,2.5,5.0,2.58,1.0,3.0,1.54,1.0,4.0,1.64,1.0,2.549999999999997,1.06,2.0,4.549999999999997,2.3,2.0,4.0,1.76,13.0,27.64999999999999,14.56,6000.0,7500.0,6470,0.0,0.5499999999999972,0.06,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.88,1420.0,1500.0,1409,600.0,1400.0,760,14800.0,17882.5,11486,8.0,18.549999999999997,8.78,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,340,1.0,1.0,0.6,,,,250.0,500.0,260,100.0,100.0,94,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,2.2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,10,0.0,54.999999999999716,8,0.0,1.0,0.1,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,,,,,,,12000.0,12000.0,11700,1500.0,2324.9999999999955,1560,0.0,3.0,1.14,0.0,1.0,0.3,0.0,1.0,0.38,0.0,1.0,0.36,,,,0.0,0.0,0.04,0.0,0.0,0.74
79,3.0,3.0,3,0.0,2.0,0.48,1.0,2.0,0.66,3.0,5.0,2.64,1.0,3.0,1.36,2.0,4.0,1.84,1.0,3.0,1.12,1.5,4.0,1.7,2.0,4.0,2.2,16.0,28.749999999999986,15.92,6000.0,7500.0,6160,0.0,1.0,0.1,,,,20.0,20.0,18,0.0,0.0,0,28.0,32.0,29.88,1470.0,1555.5,1460,600.0,1377.5,652,15000.0,18132.5,11634,8.0,18.0,9.22,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,170,1.0,1.0,0.62,,,,200.0,500.0,248,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,10.999999999999943,1.2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,50.0,50.0,33,0.0,100.0,18,0.0,0.0,0.04,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,12000.0,12000.0,11880,1500.0,3000.0,1740,0.0,3.0,1.2,0.0,1.0,0.48,0.0,1.0,0.4,0.0,1.0,0.28,,,,0.0,0.0,0.04,0.0,0.0,0.44
80,3.0,3.0,3,0.0,2.0,0.6,0.0,2.0,0.64,2.0,4.549999999999997,2.42,2.0,3.549999999999997,1.58,1.0,4.549999999999997,1.74,1.0,2.0,0.9,2.0,4.0,2.14,2.0,5.0,1.98,13.5,27.549999999999997,15.54,6000.0,7500.0,6080,0.0,1.0,0.14,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.88,1475.0,1555.5,1467,800.0,1400.0,705,15250.0,18377.5,11911,10.0,18.549999999999997,9.24,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,170,1.0,1.0,0.54,,,,200.0,500.0,248,150.0,150.0,129,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,1.6,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,7,0.0,77.49999999999986,7,0.0,1.0,0.14,0.0,1.0,0.22,0.0,1.0,0.1,,,,,,,12000.0,12000.0,11880,1500.0,3000.0,1590,0.0,3.0,1.02,0.0,1.0,0.34,0.0,1.0,0.34,0.0,1.0,0.38,,,,0.0,0.0,0.04,0.0,0.0,0.6
81,3.0,3.0,3,1.0,2.0,0.74,0.0,2.0,0.58,3.0,6.0,2.96,1.0,3.0,1.3,1.0,3.0,1.38,1.0,3.549999999999997,1.18,2.0,3.549999999999997,1.82,2.0,4.0,2.04,15.0,23.549999999999997,15.02,6000.0,7500.0,6160,0.0,1.0,0.08,,,,30.0,30.0,27.6,0.0,0.0,0,28.0,32.0,29.92,1505.0,1585.5,1494.6,800.0,1400.0,723,15400.0,18477.5,12059,10.0,18.0,9.46,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,170,1.0,1.0,0.64,,,,200.0,500.0,248,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,0.0,0.8,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,12,0.0,1.0,0.08,0.0,1.0,0.28,,,,,,,,,,12000.0,12000.0,11880,1500.0,3000.0,1620,0.0,3.0,1.02,0.0,1.0,0.34,0.0,1.0,0.34,0.0,1.0,0.4,,,,,,,,,
82,3.0,3.0,3,0.0,2.0,0.46,0.5,1.5499999999999972,0.56,3.0,5.0,2.6,1.0,3.0,1.12,1.5,4.0,1.7,1.0,2.0,0.86,2.0,5.0,2.34,2.0,4.549999999999997,2.36,16.0,25.099999999999994,15.74,6000.0,7500.0,6100,0.0,0.5499999999999972,0.06,,,,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.92,1505.0,1585.5,1494.6,800.0,1400.0,795,15675.0,18805.0,12345,10.5,18.549999999999997,10.48,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.56,,,,200.0,400.0,198,200.0,200.0,188,,,,100.0,100.0,100,28.0,32.0,29.92,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,8,0.0,0.0,0.04,0.0,1.0,0.34,0.0,0.5499999999999972,0.06,,,,,,,12000.0,12000.0,12000,1500.0,3000.0,1620,0.0,3.0,1.02,0.0,1.0,0.28,0.0,1.0,0.34,0.0,1.0,0.46,,,,,,,,,
83,3.0,3.0,3,0.0,2.0,0.56,0.0,2.0,0.46,3.0,6.099999999999994,3,1.0,3.0,1.32,2.0,3.0,1.56,1.0,3.0,1.08,2.0,4.549999999999997,1.9,2.0,4.0,2.12,12.0,26.0,14.72,6000.0,7500.0,6140,0.0,0.0,0.04,,,,40.0,40.0,38.4,0.0,0.0,0,28.0,32.0,29.86,1540.0,1625.5,1533,800.0,1400.0,709,15800.0,19042.5,12485,12.0,19.0,10.56,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.64,,,,200.0,500.0,240,0.0,0.0,0,,,,100.0,100.0,100,28.0,32.0,29.92,,,,0.0,20.0,2.6,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,16,0.0,0.0,0.04,0.0,1.0,0.3,0.0,0.0,0.02,,,,,,,12000.0,12000.0,12000,1500.0,3000.0,1770,0.0,4.6499999999999915,1.5,0.0,1.0,0.12,0.0,1.5499999999999972,0.5,1.0,1.0,0.56,,,,0.0,0.0,0.06,0.0,0.0,1.18
84,3.0,3.0,3,0.0,2.0,0.54,0.0,1.5499999999999972,0.54,3.0,5.0,2.84,1.0,3.0,1.24,1.5,3.549999999999997,1.66,1.0,3.0,1.06,2.0,4.0,1.92,2.0,4.0,2.2,18.5,31.949999999999974,19.48,6000.0,7500.0,6180,0.0,0.0,0.04,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,28.0,32.0,29.92,1540.0,1625.5,1534,600.0,1400.0,636,12825.0,19532.5,12751,13.0,19.0,11.24,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,255,1.0,1.0,0.58,,,,200.0,454.9999999999997,230,350.0,350.0,336,,,,100.0,100.0,100,30.0,32.0,30,,,,50.0,50.0,48.4,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,18,0.0,1.0,0.14,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,,,,50.0,50.0,48,12000.0,12000.0,11760,1500.0,3000.0,1740,0.0,3.0,1.08,0.0,1.5499999999999972,0.4,0.0,1.0,0.36,0.0,1.0,0.4,0.0,0.0,200,,,,,,
85,3.0,3.0,3,0.0,2.0,0.54,0.0,2.0,0.64,2.5,5.549999999999997,2.68,1.0,3.0,1.12,2.0,3.549999999999997,1.72,1.0,2.549999999999997,1.02,2.0,5.0,2.04,2.0,5.0,2.24,15.0,25.549999999999997,16.14,6000.0,7500.0,6090,0.0,1.0,0.08,,,,0.0,0.0,0,0.0,0.0,0,29.5,32.0,29.98,1540.0,1625.5,1534,600.0,1400.0,692,13075.0,19677.5,12957,13.0,19.0,11.02,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,255,1.0,1.0,0.62,,,,200.0,500.0,214,100.0,100.0,92,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,1.6,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,100.0,9,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.0,0.04,,,,,,,12000.0,12000.0,11760,1500.0,3000.0,1620,0.0,3.0,1.38,0.0,1.0,0.32,0.0,1.0,0.46,0.0,1.0,0.3,,,,,,,,,
86,3.0,3.0,3,0.0,2.0,0.56,0.0,2.0,0.52,3.0,5.0,3.02,1.0,3.0,1.12,2.0,4.0,1.7,1.0,2.549999999999997,0.88,2.0,4.0,2.12,2.0,5.0,2.08,15.0,26.549999999999997,15.4,6000.0,7500.0,5940,0.0,0.0,0.02,,,,20.0,20.0,19.6,0.0,0.0,0,29.5,32.0,29.94,1560.0,1655.5,1555.6,600.0,1400.0,737,13150.0,19877.5,13057,13.0,19.0,10.74,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,85,1.0,1.0,0.54,,,,200.0,400.0,200,0.0,0.0,0,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,2.4,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,2,0.0,100.0,10,0.0,1.0,0.12,0.0,1.0,0.24,0.0,1.0,0.1,,,,,,,12000.0,12000.0,11940,1500.0,3000.0,1620,0.0,3.0,1.38,0.0,1.0,0.38,0.0,1.0,0.46,0.0,1.0,0.24,,,,0.0,0.5499999999999972,0.06,0.0,3.84999999999998,0.74
87,3.0,3.0,3,0.0,2.0,0.58,0.0,1.5499999999999972,0.48,3.0,5.0,2.76,1.0,3.0,1.4,1.5,3.549999999999997,1.66,1.0,2.0,0.98,2.0,4.0,1.98,2.0,4.0,2.16,14.5,23.549999999999997,14.88,6000.0,7500.0,6010,0.0,0.0,0.04,,,,0.0,0.0,0,0.0,0.0,0,30.0,32.0,29.94,1590.0,1670.0,1573.6,600.0,1400.0,664,13425.0,19932.5,13339,13.0,19.0,11.12,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,2337.4999999999877,255,1.0,1.0,0.52,,,,200.0,454.9999999999997,238,150.0,150.0,144,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,1.6,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,18,0.0,100.0,18,0.0,1.0,0.14,0.0,1.0,0.32,0.0,0.0,0.02,,,,,,,12000.0,12000.0,11820,1500.0,3000.0,1680,0.0,3.0,0.96,0.0,1.0,0.4,0.0,1.0,0.32,0.0,1.0,0.4,,,,0.0,0.0,0.06,0.0,0.0,1.02
88,3.0,3.0,3,0.0,2.0,0.58,1.0,2.0,0.68,3.0,5.0,2.88,1.5,3.0,1.4,1.0,3.0,1.42,1.0,3.0,1.14,2.0,5.0,1.94,2.0,3.0,1.96,16.5,26.0,15.72,6000.0,7500.0,6140,0.0,1.0,0.12,,,,30.0,30.0,26.4,0.0,0.0,0,30.0,32.0,30,1620.0,1720.0,1624,700.0,1400.0,656,13575.0,20110.0,13493,11.5,19.0,10.38,100.0,100.0,100,4700.0,4700.0,4700,9000.0,9000.0,9000,0.0,0.0,255,1.0,1.0,0.56,,,,300.0,500.0,254,0.0,0.0,0,,,,100.0,100.0,100,30.0,32.0,30,,,,0.0,20.0,2,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,24,0.0,100.0,13,0.0,1.0,0.16,0.0,1.0,0.18,0.0,1.0,0.1,,,,,,,12000.0,12000.0,11820,1500.0,3000.0,1620,0.0,3.0,1.26,0.0,1.0,0.34,0.0,1.0,0.42,0.0,1.0,0.32,,,,,,,,,
