day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
32,0.0,0.0,0,0.0,1.0,0.38,,,,0.0,1.5499999999999972,0.54,0.0,1.0,0.22,0.0,1.0,0.44,0.0,1.0,0.2,1.0,2.0,0.78,0.0,1.0,0.44,3.0,8.0,3.8,1500.0,1500.0,1500,0.0,1.0,0.3,30.0,30.0,21,0.0,0.0,0,7.0,7.0,7,295.0,375.5,292.8,3600.0,3600.0,3600,3595.0,4720.0,3703,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.6,0.0,200.0,42,0.0,0.0,0,24.0,28.0,25.84,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.32,0.0,0.0,0.02,,,,,,,,,,,,,,,
33,0.0,0.0,0,0.0,1.0,0.28,,,,0.0,2.0,0.56,0.0,1.0,0.22,0.0,1.5499999999999972,0.46,0.0,1.0,0.14,1.0,2.0,0.74,0.0,2.0,0.6,3.0,8.0,3.66,1500.0,1500.0,1500,0.0,1.0,0.22,0.0,0.0,0,0.0,0.0,0,8.0,8.0,8,295.0,375.5,292.8,150.0,150.0,150,3770.0,4770.0,3795,0.0,0.0,0,15.0,15.0,15,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,36,200.0,200.0,156,28.0,28.0,26.32,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.04,0.0,1.0,0.26,0.0,0.0,0.04,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,100
34,0.0,0.0,0,0.0,1.0,0.24,0.0,0.0,0.02,0.0,2.0,0.46,0.0,1.0,0.28,0.0,1.0,0.42,0.0,1.0,0.12,1.0,2.0,0.96,0.0,2.0,0.5,3.0,8.0,4.32,1500.0,1500.0,1500,0.0,1.0,0.26,40.0,40.0,29.6,0.0,0.0,0,8.0,8.0,8,320.0,410.0,322.4,950.0,950.0,950,3795.0,4770.0,3835,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,1.0,1.0,0.56,0.0,100.0,40,0.0,0.0,0,28.0,28.0,26.32,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.04,0.0,1.0,0.36,0.0,0.0,0.04,,,,,,,,,,,,,,,
35,0.0,0.0,0,0.0,1.0,0.26,0.0,0.0,0.04,1.0,1.0,0.56,0.0,1.0,0.2,0.0,1.0,0.32,0.0,1.0,0.1,1.0,2.0,0.86,1.0,2.0,0.66,8.0,13.0,7.76,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,0.0,0.0,0,8.0,8.0,8,320.0,410.0,322.4,1750.0,1750.0,1750,4145.0,4920.0,3846,0.0,0.0,0,0.0,0.0,0,800.0,800.0,800,1.0,1.0,0.56,0.0,100.0,30,350.0,350.0,231,28.0,28.0,26.32,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.34,0.0,0.0,0.02,,,,50.0,50.0,50,50.0,50.0,33,50.0,50.0,33,0.0,2749.999999999986,300
36,0.0,0.0,0,0.0,1.0,0.28,0.0,0.0,0.04,0.0,1.0,0.38,0.0,1.0,0.16,0.0,1.0,0.32,0.0,1.0,0.18,1.0,2.0,0.94,1.0,2.0,0.7,3.0,8.0,3.5,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,0.0,0.0,0,8.0,8.0,8,320.0,410.0,322.4,2550.0,2550.0,2550,4245.0,4997.5,3850,0.0,0.0,0,5.0,5.0,5,800.0,800.0,800,1.0,1.0,0.76,0.0,100.0,34,100.0,100.0,70,28.0,28.0,26.32,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.16,,,,,,,,,,,,,,,,0.0,0.0,100
37,0.0,0.0,0,0.0,1.0,0.36,0.0,0.0,0.02,0.0,2.0,0.5,0.0,1.0,0.18,0.0,1.0,0.32,0.0,1.0,0.16,1.0,2.0,0.92,0.0,2.0,0.54,3.0,8.0,3.86,1500.0,1500.0,1500,0.0,1.0,0.38,20.0,20.0,12.4,0.0,0.0,0,8.0,8.0,8,330.0,420.99999999999994,334.8,3350.0,3350.0,3350,4270.0,4997.5,3884,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.54,0.0,100.0,34,0.0,0.0,0,28.0,28.0,26.32,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.14,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,,,,,,
38,0.0,0.0,0,0.0,1.0,0.26,0.0,0.0,0.04,0.0,2.0,0.6,0.0,1.0,0.34,0.0,1.0,0.36,0.0,1.0,0.1,1.0,2.0,0.88,0.0,1.0,0.42,3.0,8.0,3.32,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,0.0,0.0,0,8.0,8.0,8,330.0,420.99999999999994,334.8,4150.0,4150.0,4150,4345.0,5225.0,3839,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.78,0.0,200.0,44,150.0,150.0,111,28.0,28.0,26.32,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.14,,,,,,,,,,,,,,,,0.0,0.0,200
39,0.0,0.0,0,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,0.5,2.0,0.58,0.0,1.0,0.2,0.0,1.0,0.26,0.0,1.0,0.24,1.0,2.0,0.96,0.0,1.5499999999999972,0.42,3.0,9.099999999999994,4.56,1500.0,1500.0,1500,0.0,1.0,0.4,30.0,30.0,18,0.0,0.0,0,9.0,9.0,9,355.0,450.99999999999994,352.8,700.0,700.0,700,4295.0,5025.0,3583,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,0.5,1.0,0.5,0.0,100.0,44,0.0,0.0,0,28.0,28.0,26.96,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.1,0.0,1.0,0.36,0.0,0.0,0.04,4250.0,4250.0,4250,,,,,,,,,,0.0,2749.999999999986,300
40,0.0,0.0,0,0.0,1.0,0.32,0.0,0.5499999999999972,0.06,0.0,1.5499999999999972,0.52,0.0,1.0,0.36,0.5,2.0,0.64,0.0,1.0,0.18,0.0,2.0,0.52,0.0,2.0,0.4,3.0,9.099999999999994,3.92,1500.0,1500.0,1500,0.0,1.0,0.48,0.0,0.0,0,0.0,0.0,0,9.0,9.0,9,355.0,450.99999999999994,352.8,1500.0,1500.0,1500,4270.0,5070.0,3241,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.56,0.0,200.0,54,200.0,200.0,104,28.0,28.0,26.96,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.1,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,,,,,,,0.0,5000.0,500
41,0.0,0.0,0,0.0,1.0,0.38,0.0,0.5499999999999972,0.06,0.0,2.0,0.5,0.0,1.0,0.24,0.0,1.0,0.36,0.0,1.0,0.2,1.0,2.0,0.9,0.0,1.5499999999999972,0.36,3.0,9.099999999999994,3.86,1500.0,1500.0,1500,0.0,1.0,0.38,40.0,40.0,24.8,0.0,0.0,0,9.0,9.0,9,390.0,470.99999999999994,377.6,2300.0,2300.0,2300,4220.0,5070.0,3185,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.64,0.0,200.0,44,0.0,0.0,0,28.0,28.0,26.96,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.24,0.0,0.0,0.04,,,,,,,,,,,,,0.0,0.0,100
42,0.0,0.0,0,0.0,1.0,0.4,0.0,1.0,0.1,0.0,1.0,0.36,0.0,1.0,0.3,0.0,1.5499999999999972,0.34,0.0,1.0,0.18,1.0,2.0,0.92,0.0,1.5499999999999972,0.4,7.0,15.0,7.52,1500.0,1500.0,1500,0.0,1.0,0.32,0.0,0.0,0,0.0,0.0,0,9.0,9.0,9,390.0,470.99999999999994,377.6,3100.0,3100.0,3100,4120.0,5430.0,2871,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.66,0.0,154.99999999999972,48,350.0,350.0,238,28.0,28.0,26.96,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.24,0.0,0.0,0.04,,,,,,,50.0,50.0,34,50.0,50.0,34,0.0,5000.0,600
43,0.0,0.0,0,0.0,1.5499999999999972,0.42,0.0,0.0,0.02,1.0,1.0,0.56,0.0,1.0,0.12,0.0,2.0,0.46,0.0,1.0,0.12,0.0,2.0,0.54,1.0,2.0,0.76,3.0,8.0,3.5,1500.0,1500.0,1500,0.0,1.0,0.32,0.0,0.0,0,0.0,0.0,0,9.0,9.0,9,390.0,470.99999999999994,377.6,3900.0,3900.0,3900,3770.0,5475.0,2763,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.68,0.0,100.0,24,100.0,100.0,68,28.0,28.0,26.96,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,0.0,0.0,200
44,0.0,0.0,0,0.0,2.0,0.32,,,,0.0,1.5499999999999972,0.52,0.0,1.0,0.26,0.0,1.5499999999999972,0.5,0.0,0.5499999999999972,0.06,1.0,2.0,0.8,0.0,2.0,0.54,3.0,8.0,3.26,1500.0,1500.0,1500,0.0,1.0,0.36,20.0,20.0,12.8,0.0,0.0,0,10.0,10.0,10,390.0,480.0,390.4,450.0,450.0,450,1595.0,5475.0,2595,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.64,0.0,100.0,32,0.0,0.0,0,28.0,28.0,27.36,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.16,0.0,1.0,0.18,0.0,0.0,0.02,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,200
45,0.0,0.0,0,0.0,1.0,0.3,0.0,0.0,0.02,1.0,2.0,0.68,0.0,1.0,0.2,0.0,2.0,0.5,0.0,1.0,0.12,1.0,2.0,0.7,0.0,2.0,0.48,3.0,7.549999999999997,3.24,1500.0,1500.0,1500,0.0,1.0,0.44,0.0,0.0,0,0.0,0.0,0,10.0,10.0,10,390.0,480.0,390.4,1250.0,1250.0,1250,1320.0,5547.5,2511,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.68,0.0,100.0,32,150.0,150.0,84,28.0,28.0,27.36,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.14,0.0,1.0,0.14,0.0,0.0,0.04,,,,,,,,,,,,,0.0,0.0,200
46,0.0,0.0,0,0.0,1.5499999999999972,0.46,0.0,0.5499999999999972,0.06,0.0,1.5499999999999972,0.54,0.0,1.0,0.2,0.0,1.0,0.38,0.0,0.0,0.06,1.0,2.0,0.9,0.0,1.0,0.4,3.0,9.099999999999994,3.66,1500.0,1500.0,1500,0.0,1.0,0.42,30.0,30.0,17.4,0.0,0.0,0,10.0,10.0,10,405.0,485.5,407.8,2050.0,2050.0,2050,1320.0,5547.5,2537,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.7,0.0,100.0,26,0.0,0.0,0,28.0,28.0,27.36,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.18,,,,,,,,,,,,,,,,,,
47,0.0,0.0,0,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,0.5,2.0,0.62,0.0,1.0,0.3,0.0,1.5499999999999972,0.28,0.0,1.0,0.24,1.0,2.0,0.76,0.0,1.0,0.44,3.0,8.549999999999997,3.94,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,10.0,10.0,10,405.0,485.5,407.8,2850.0,2850.0,2850,1245.0,5797.5,2435,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.64,0.0,200.0,54,200.0,200.0,144,28.0,28.0,27.36,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,0.0,0.04,,,,,,,,,,,,,0.0,2749.999999999986,300
48,0.0,0.0,0,0.0,2.0,0.46,0.0,0.5499999999999972,0.06,0.5,2.0,0.62,0.0,1.0,0.24,0.0,1.0,0.38,0.0,1.0,0.14,1.0,2.0,0.7,0.0,1.0,0.4,3.0,9.649999999999991,3.74,1500.0,1500.0,1500,0.0,1.0,0.28,40.0,40.0,28.8,0.0,0.0,0,10.0,10.0,10,440.0,520.0,436.6,3650.0,3650.0,3650,1295.0,5947.5,2473,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.62,0.0,100.0,38,0.0,0.0,0,28.0,28.0,27.36,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.22,0.0,0.0,0.04,,,,,,,,,,,,,,,
49,0.0,0.0,0,0.0,1.0,0.4,0.0,1.0,0.08,1.0,1.0,0.58,0.0,1.0,0.24,0.0,1.5499999999999972,0.38,0.0,1.0,0.18,1.0,2.0,0.8,0.0,1.0,0.34,7.0,13.0,6.82,1500.0,1500.0,1500,0.0,1.0,0.36,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,440.0,520.0,436.6,200.0,200.0,200,1070.0,5464.999999999997,1739,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.72,0.0,154.99999999999972,42,350.0,350.0,224,28.0,28.0,27.68,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.16,0.0,0.0,0.04,4250.0,4250.0,4250,,,,50.0,50.0,32,50.0,50.0,32,0.0,5000.0,1000
50,0.0,0.0,0,0.0,1.0,0.32,0.0,0.0,0.04,0.0,2.549999999999997,0.62,0.0,1.0,0.1,0.0,1.0,0.34,0.0,1.0,0.14,1.0,2.0,0.84,0.0,2.0,0.6,3.0,8.0,3.86,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,440.0,520.0,436.6,1000.0,1000.0,1000,1145.0,5564.999999999998,1833,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.66,0.0,100.0,24,100.0,100.0,70,28.0,28.0,27.68,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.1,0.0,1.0,0.22,0.0,0.0,0.02,,,,,,,,,,,,,,,
51,0.0,0.0,0,0.0,1.5499999999999972,0.34,0.0,0.5499999999999972,0.06,1.0,1.5499999999999972,0.6,0.0,1.0,0.26,0.0,1.0,0.34,0.0,1.0,0.1,1.0,2.0,0.8,0.0,2.0,0.5,3.0,9.099999999999994,3.58,1500.0,1500.0,1500,0.0,1.0,0.4,20.0,20.0,12,0.0,0.0,0,11.0,11.0,11,455.0,540.0,448.6,1800.0,1800.0,1800,1195.0,5609.999999999998,1869,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.7,0.0,100.0,36,0.0,0.0,0,28.0,28.0,27.68,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.02,0.0,1.0,0.16,0.0,1.0,0.12,,,,,,,,,,,,,,,
52,0.0,0.0,0,0.0,1.0,0.22,,,,1.0,1.0,0.56,0.0,1.0,0.3,0.0,1.0,0.4,0.0,1.0,0.18,1.0,2.0,0.8,0.0,2.0,0.54,3.0,7.0,3.5,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,455.0,540.0,448.6,2600.0,2600.0,2600,1170.0,5759.999999999998,1716,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.64,0.0,200.0,48,150.0,150.0,99,28.0,28.0,27.68,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.24,0.0,0.0,0.04,,,,,,,,,,,,,0.0,2749.999999999986,300
53,0.0,0.0,0,0.0,1.0,0.32,0.0,0.0,0.02,0.0,2.0,0.54,0.0,1.0,0.22,0.0,1.0,0.26,0.0,1.0,0.12,1.0,2.0,0.88,0.5,2.0,0.64,3.0,8.0,4.2,1500.0,1500.0,1500,0.0,1.0,0.22,30.0,30.0,23.4,0.0,0.0,0,11.0,11.0,11,480.0,555.5,472,3400.0,3400.0,3400,1245.0,5759.999999999998,1750,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.52,0.0,100.0,34,0.0,0.0,0,28.0,28.0,27.68,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.34,0.0,1.0,0.08,,,,,,,,,,,,,,,
54,0.0,0.0,0,0.0,1.5499999999999972,0.24,0.0,0.5499999999999972,0.06,0.0,2.0,0.58,0.0,1.0,0.14,0.0,2.0,0.52,0.0,1.0,0.2,1.0,2.0,0.76,0.0,2.0,0.5,3.0,9.099999999999994,4.4,1500.0,1500.0,1500,0.0,1.0,0.14,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,480.0,555.5,472,4200.0,4200.0,4200,1445.0,5759.999999999998,1856,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.58,0.0,154.99999999999972,34,200.0,200.0,172,28.0,28.0,27.68,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.3,,,,,,,,,,,,,,,,0.0,0.0,100
55,0.0,0.0,0,0.0,1.0,0.28,0.0,0.0,0.04,0.0,2.0,0.6,0.0,1.0,0.18,0.0,1.5499999999999972,0.48,0.0,0.5499999999999972,0.06,1.0,2.0,0.68,0.0,2.0,0.68,3.0,8.0,4.3,1500.0,1500.0,1500,0.0,1.0,0.28,40.0,40.0,28.8,0.0,0.0,0,12.0,12.0,12,510.0,585.5,500.8,750.0,750.0,750,1370.0,4132.4999999999945,1680,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,0.5,1.0,0.5,0.0,100.0,24,0.0,0.0,0,28.0,28.0,27.84,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.16,0.0,1.0,0.3,0.0,0.0,0.04,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,200
56,0.0,0.0,0,0.0,1.0,0.28,0.0,0.5499999999999972,0.08,0.0,1.0,0.5,0.0,1.0,0.26,0.0,2.0,0.46,0.0,1.0,0.12,1.0,2.0,0.78,0.0,1.5499999999999972,0.52,8.0,13.0,7.68,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,12.0,12.0,12,510.0,585.5,500.8,1550.0,1550.0,1550,1670.0,3079.999999999999,1870,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.68,0.0,154.99999999999972,38,350.0,350.0,252,28.0,28.0,27.84,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.08,0.0,1.0,0.22,0.0,0.0,0.02,,,,,,,50.0,50.0,36,50.0,50.0,36,0.0,0.0,100
57,0.0,0.0,0,0.0,1.0,0.34,0.0,1.0,0.1,1.0,2.0,0.68,0.0,1.0,0.1,0.0,1.0,0.48,0.0,1.0,0.16,1.0,2.0,0.66,0.0,2.0,0.48,3.0,11.0,4.2,1500.0,1500.0,1500,0.0,1.0,0.4,0.0,0.0,0,0.0,0.0,0,12.0,12.0,12,510.0,585.5,500.8,2350.0,2350.0,2350,1770.0,3170.0,1956,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.56,0.0,100.0,26,100.0,100.0,60,28.0,28.0,27.84,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.2,0.0,1.0,0.2,0.0,0.0,0.04,,,,,,,,,,,,,,,
58,0.0,0.0,0,0.0,1.0,0.3,0.0,1.0,0.12,0.0,1.0,0.42,0.0,1.0,0.36,0.0,1.5499999999999972,0.38,0.0,1.0,0.16,1.0,2.0,0.78,0.0,1.0,0.48,3.0,13.749999999999986,4.84,1500.0,1500.0,1500,0.0,1.0,0.32,20.0,20.0,13.6,0.0,0.0,0,12.0,12.0,12,525.0,600.0,514.4,3150.0,3150.0,3150,1770.0,3270.0,2008,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.54,0.0,200.0,52,0.0,0.0,0,28.0,28.0,27.84,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.5499999999999972,0.06,0.0,1.0,0.34,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,
59,0.0,0.0,0,0.0,1.0,0.26,0.0,0.0,0.04,0.0,1.0,0.48,0.0,1.0,0.32,0.5,1.0,0.54,0.0,1.0,0.14,1.0,2.0,0.8,0.0,1.0,0.42,2.5,8.0,3.8,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,12.0,12.0,12,525.0,600.0,514.4,3950.0,3950.0,3950,1920.0,3397.5,2162,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,0.5,1.0,0.5,0.0,100.0,46,150.0,150.0,108,28.0,28.0,27.84,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.14,0.0,1.0,0.24,0.0,1.0,0.12,,,,,,,,,,,,,,,
60,0.0,0.0,0,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,0.0,2.0,0.5,0.0,1.0,0.28,0.0,2.0,0.5,0.0,1.0,0.16,1.0,2.0,0.72,0.0,1.5499999999999972,0.5,3.0,9.099999999999994,4.16,1500.0,1500.0,1500,0.0,1.0,0.36,30.0,30.0,19.2,0.0,0.0,0,13.0,13.0,13,540.0,620.9999999999999,533.6,500.0,500.0,500,1970.0,3329.999999999999,2106,0.0,0.0,0,10.0,10.0,10,800.0,800.0,800,1.0,1.0,0.64,0.0,100.0,44,0.0,0.0,0,28.0,28.0,27.92,,,,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0.04,0.0,1.0,0.28,0.0,0.0,0.04,4250.0,4250.0,4250,,,,,,,,,,0.0,0.0,100
61,0.0,0.0,0,0.0,1.0,0.24,0.0,0.0,0.04,0.0,1.5499999999999972,0.48,0.0,1.0,0.18,0.0,2.0,0.48,0.0,1.0,0.1,1.0,2.0,0.88,0.5,2.0,0.6,3.0,8.0,4,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,13.0,13.0,13,540.0,620.9999999999999,533.6,1300.0,1300.0,1300,2145.0,3575.0,2278,0.0,0.0,0,15.0,15.0,15,800.0,800.0,800,1.0,1.0,0.62,0.0,100.0,28,200.0,200.0,144,28.0,28.0,27.92,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.12,0.0,1.0,0.24,0.0,0.0,0.02,,,,,,,,,,,,,,,
62,0.0,0.0,0,0.0,1.0,0.26,0.0,0.0,0.02,1.0,1.5499999999999972,0.62,0.0,1.0,0.34,0.0,2.0,0.4,0.0,1.0,0.14,1.0,2.0,0.7,0.0,1.5499999999999972,0.52,3.0,8.0,3.72,1500.0,1500.0,1500,0.0,1.0,0.3,40.0,40.0,28,0.0,0.0,0,13.0,13.0,13,570.0,645.5,561.6,2100.0,2100.0,2100,2145.0,3575.0,2326,0.0,0.0,0,20.0,20.0,20,800.0,800.0,800,0.0,1.0,0.48,0.0,200.0,48,0.0,0.0,0,28.0,28.0,27.92,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,1.0,1.0,1,3.0,3.0,3,0.0,1.0,0.18,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,,,,,,,,,
