day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean
11,3.0,3.0,3,0.0,1.5499999999999972,0.4,,,,,,,0.0,2.0,0.44,2.0,5.0,2.4,1.0,2.0,1.08,1.0,3.0,1.22,1.0,3.0,0.9,2.0,4.0,1.9,2.0,4.0,1.66,17.5,28.549999999999997,17.64,1500.0,1500.0,1500,0.0,1.0,0.28,30.0,30.0,21.6,20.0,20.0,20,0.0,0.0,0,11.0,11.0,11,410.0,450.0,406.6,1624.0,1624.0,1624,3170.0,3524.9999999999995,3110,0.0,15.499999999999972,4.6,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.6,,,,100.0,200.0,99,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.5499999999999972,0.06,0.0,1.0,0.3,0.0,0.0,0.04,,,,,,,,,,,,,0.0,30.0,2.4,,,,,,,,,,,,,,,,,,
12,3.0,3.0,3,0.0,2.0,0.44,,,,,,,0.0,2.0,0.58,2.0,5.0,2.4,1.0,3.0,1.22,1.0,3.0,1.56,0.0,3.0,0.64,1.5,3.0,1.58,1.0,4.0,1.58,18.5,29.549999999999997,18.34,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,12.0,12.0,12,430.0,470.0,427.8,509.0,509.0,509,3420.0,3897.5,3397,10.0,20.0,7.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.7,,,,100.0,200.0,93,200.0,200.0,144,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.5499999999999972,0.06,0.0,1.0,0.2,0.0,0.0,0.04,1.0,1.0,1,0.5,1.0,0.5,0.0,1.0,0.22,,,,0.0,0.0,1.2,0.0,10.0,2.8,,,,,,,,,,,,,,,
13,3.0,3.0,3,0.0,1.5499999999999972,0.4,,,,,,,0.0,1.5499999999999972,0.54,2.0,4.549999999999997,2.34,1.0,3.0,1.12,1.0,3.0,1.36,1.0,2.549999999999997,0.84,2.0,3.549999999999997,1.8,2.0,3.0,1.6,18.5,27.64999999999999,17.96,1500.0,1500.0,1500,0.0,1.0,0.2,40.0,40.0,32,20.0,20.0,20,0.0,0.0,0,12.0,12.0,12,490.0,530.0,479.8,3644.0,3644.0,3644,3570.0,4052.4999999999995,3545,10.0,20.0,7.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.64,,,,100.0,200.0,98,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.14,0.0,1.0,0.2,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3.0,3.0,3,0.0,1.0,0.48,,,,,,,0.0,2.0,0.52,2.0,5.0,2.46,1.0,3.549999999999997,1.08,1.0,3.0,1.24,1.0,3.0,0.88,2.0,3.549999999999997,1.64,1.0,3.0,1.7,20.0,35.29999999999998,21.92,1500.0,1500.0,1500,0.0,1.0,0.2,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,13.0,13.0,13,510.0,550.0,501.6,2529.0,2529.0,2529,3995.0,4497.5,3973,10.0,22.749999999999986,8.7,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.6,,,,100.0,200.0,98,350.0,350.0,280,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,61.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.12,0.0,1.0,0.24,0.0,0.0,0.04,1.0,1.0,1,1.0,1.0,0.54,0.0,1.0,0.24,,,,0.0,16.499999999999915,1.8,0.0,10.0,2.5,,,,50.0,50.0,40,,,,,,,,,
15,3.0,3.0,3,0.0,1.5499999999999972,0.48,,,,,,,0.0,2.0,0.62,2.5,4.549999999999997,2.46,1.0,2.549999999999997,0.92,1.0,3.0,1.2,1.0,3.0,0.96,2.0,3.549999999999997,1.76,1.0,4.0,1.6,18.5,29.549999999999997,18.6,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,14.0,14.0,14,530.0,570.0,522.8,1414.0,1414.0,1414,4170.0,4625.0,4133,10.0,20.0,7.5,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.58,,,,100.0,200.0,94,100.0,100.0,66,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,21.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.16,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,
16,3.0,3.0,3,0.0,1.5499999999999972,0.4,,,,,,,0.0,2.0,0.54,2.5,5.0,2.56,1.0,2.0,1,1.0,3.0,1.2,1.0,2.0,0.88,2.0,4.0,1.6,2.0,4.0,1.82,15.0,32.099999999999994,17.74,1500.0,1500.0,1500,0.0,1.0,0.3,20.0,20.0,14,20.0,20.0,20,0.0,0.0,0,15.0,15.0,15,560.0,610.0,557.8,299.0,299.0,299,4270.0,4697.5,4227,10.0,20.0,9.1,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.72,,,,100.0,200.0,94,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.14,0.0,0.0,0.04,1.0,1.0,1,0.5,1.0,0.5,0.0,1.0,0.28,,,,0.0,0.0,1,0.0,10.0,2.2,,,,,,,,,,,,,,,
17,3.0,3.0,3,0.0,2.0,0.46,,,,,,,0.0,2.0,0.52,2.0,5.0,2.5,1.0,3.0,1.06,1.0,2.0,0.96,1.0,3.0,1.04,2.0,3.549999999999997,1.84,2.0,3.0,1.62,17.0,28.64999999999999,17.8,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,15.0,15.0,15,580.0,630.0,577.8,3434.0,3434.0,3434,4495.0,4897.5,4437,10.0,20.0,9.1,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.66,,,,100.0,200.0,105,150.0,150.0,105,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3.0,3.0,3,0.0,1.0,0.46,,,,,,,0.0,2.0,0.48,2.0,4.549999999999997,2.18,1.0,3.0,1.22,1.0,3.0,1.44,1.0,2.549999999999997,0.9,2.0,3.0,1.64,2.0,3.0,1.68,17.0,30.0,17.46,1500.0,1500.0,1500,0.0,1.0,0.24,30.0,30.0,22.8,20.0,20.0,20,0.0,0.0,0,16.0,16.0,16,630.0,680.0,620.6,2319.0,2319.0,2319,4620.0,5070.0,4543,10.0,20.0,11.7,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.62,,,,100.0,227.49999999999986,106,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,36.499999999999915,22.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.22,0.0,1.0,0.08,1.0,1.0,1,0.0,1.0,0.38,0.0,1.0,0.24,,,,,,,0.0,10.0,4.8,,,,,,,,,,,,,,,
19,3.0,3.0,3,0.0,1.5499999999999972,0.5,,,,,,,0.0,1.0,0.46,2.0,4.0,2.02,1.0,3.0,1.36,1.0,3.549999999999997,1.38,1.0,2.549999999999997,0.96,1.0,4.0,1.7,1.0,3.549999999999997,1.62,17.5,26.0,17.26,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,17.0,17.0,17,650.0,711.0,643.6,1204.0,1204.0,1204,4870.0,5375.0,4807,10.0,20.0,11.7,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.58,,,,100.0,200.0,116,200.0,200.0,148,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,0.0,27.499999999999858,3,,,,,,,,,,,,,,,,,,
20,3.0,3.0,3,0.0,1.5499999999999972,0.36,,,,,,,0.0,1.0,0.46,2.0,4.0,2.24,1.0,3.0,1.24,2.0,4.0,1.68,1.0,2.0,0.78,2.0,4.0,1.78,1.0,3.549999999999997,1.46,17.0,27.549999999999997,18,1500.0,1500.0,1500,0.0,1.0,0.26,40.0,40.0,29.6,20.0,20.0,20,0.0,0.0,0,18.0,18.0,18,715.0,831.0,719.2,89.0,89.0,89,4945.0,5547.5,4908,10.0,20.0,11.9,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,0.0,1.0,0.46,,,,100.0,200.0,101,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,50.0,26.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.12,0.0,1.0,0.3,0.0,1.0,0.12,1.0,1.0,1,0.0,1.0,0.36,0.0,1.0,0.2,0.0,80.0,24,0.0,0.0,2,0.0,10.0,6.4,,,,,,,,,,,,,,,
21,3.0,3.0,3,0.0,2.0,0.54,,,,,,,0.0,1.0,0.36,2.5,4.549999999999997,2.54,1.0,3.0,1.32,1.0,2.549999999999997,1.06,1.0,2.549999999999997,0.92,1.5,4.0,1.62,2.0,3.549999999999997,1.64,17.0,29.0,18.7,1500.0,1500.0,1500,0.0,1.0,0.46,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,18.0,18.0,18,790.0,880.0,793.6,3224.0,3224.0,3224,5170.0,6007.5,5209,10.0,20.0,11.3,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.7,,,,100.0,200.0,112,350.0,350.0,189,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,47.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.18,0.0,0.0,0.04,,,,,,,,,,80.0,80.0,54.4,,,,,,,,,,50.0,50.0,27,,,,,,,,,
22,3.0,3.0,3,0.0,2.549999999999997,0.54,,,,,,,0.0,1.0,0.38,2.0,4.0,2.12,1.0,2.549999999999997,1.1,1.0,4.0,1.56,1.0,2.549999999999997,0.88,2.0,4.0,1.7,2.0,4.0,1.72,16.5,25.549999999999997,17.12,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,19.0,19.0,19,810.0,900.0,816.2,2109.0,2109.0,2109,5320.0,6207.499999999999,5382,10.0,20.0,11.5,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.58,,,,100.0,200.0,99,100.0,100.0,74,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,50.0,24,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.0,0.04,1.0,1.0,1,0.0,1.0,0.28,0.0,1.0,0.4,0.0,0.0,1.6,0.0,0.0,1,0.0,10.0,4.2,,,,,,,,,,,,,,,
23,3.0,3.0,3,0.0,2.0,0.52,,,,,,,0.0,2.0,0.52,2.0,4.549999999999997,2.32,1.0,3.0,1.18,1.0,3.0,1.3,1.0,2.0,0.9,2.0,4.0,1.78,1.0,3.0,1.48,18.0,28.549999999999997,17.86,1500.0,1500.0,1500,0.0,1.0,0.36,20.0,20.0,12.8,20.0,20.0,20,0.0,0.0,0,20.0,20.0,20,845.0,925.5,849,744.0,744.0,744,5420.0,6330.0,5486,10.0,20.0,11.5,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.62,,,,100.0,200.0,104,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.0,3.0,3,0.0,1.0,0.32,,,,,,,0.0,1.0,0.48,2.0,4.0,2.38,1.0,3.549999999999997,1.14,1.0,3.0,1.22,1.0,3.0,1.08,2.0,4.0,1.64,2.0,4.0,1.74,17.5,28.099999999999994,17.8,1500.0,1500.0,1500,0.0,1.0,0.24,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,20.0,20.0,20,865.0,945.5,869,3879.0,3879.0,3879,5720.0,6497.5,5711,10.0,20.0,8.8,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.56,,,,100.0,227.49999999999986,111,150.0,150.0,114,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,50.0,27.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,1.0,1.0,1,0.0,1.0,0.28,0.0,1.0,0.36,,,,,,,0.0,10.0,4.9,,,,,,,,,,,,,,,
25,3.0,3.0,3,0.0,1.5499999999999972,0.44,,,,,,,0.0,2.0,0.52,2.0,5.0,2.36,1.0,2.0,1.2,1.0,3.0,1.18,1.0,2.0,0.88,2.0,3.0,1.56,2.0,4.0,1.86,18.0,29.549999999999997,18.14,1500.0,1500.0,1500,0.0,1.0,0.2,30.0,30.0,24,20.0,20.0,20,0.0,0.0,0,21.0,21.0,21,915.0,1000.0,918,2514.0,2514.0,2514,5745.0,6547.5,5675,10.0,20.0,8.8,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.56,,,,100.0,200.0,104,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24.08,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,0.0,50.0,5,,,,,,,,,,0.0,0.0,140,,,,,,
26,3.0,3.0,3,0.0,1.0,0.44,,,,,,,0.0,1.0,0.28,2.0,4.549999999999997,2.36,1.0,2.549999999999997,1.2,1.5,4.0,1.6,1.0,2.0,0.78,2.0,3.549999999999997,1.64,2.0,4.0,1.66,14.0,23.64999999999999,15.68,1500.0,1500.0,1500,0.0,1.0,0.32,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,22.0,22.0,22,935.0,1020.0,938,1149.0,1149.0,1149,5970.0,6647.5,5772,10.0,20.0,10.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.54,,,,100.0,177.49999999999986,99,200.0,200.0,136,100.0,100.0,100,,,,100.0,100.0,98,24.0,24.0,24.16,,,,20.0,20.0,20,20.0,50.0,23.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.96,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,9.96,0.0,1.0,0.18,0.0,1.0,0.18,0.0,1.0,0.1,1.0,1.0,1,0.0,1.0,0.28,0.0,1.0,0.26,,,,,,,0.0,10.0,5.2,,,,,,,0.0,0.0,140,,,,,,
27,3.0,3.0,3,0.0,1.5499999999999972,0.52,,,,,,,0.0,1.5499999999999972,0.54,2.0,5.0,2.2,1.0,3.0,1.14,1.0,3.0,1.16,1.0,2.549999999999997,0.88,1.0,4.0,1.66,2.0,4.0,1.9,18.0,27.549999999999997,18.08,1500.0,1500.0,1500,0.0,1.0,0.32,40.0,40.0,27.2,20.0,20.0,20,0.0,0.0,0,22.0,22.0,22,980.0,1065.5,985.2,4284.0,4284.0,4284,6070.0,6720.0,5873,10.0,20.0,10.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.7,,,,100.0,200.0,101,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24.16,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.02,0.0,1.0,0.26,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3.0,3.0,3,0.0,2.0,0.46,,,,,,,0.0,2.0,0.46,3.0,4.0,2.4,1.0,3.0,1.38,1.0,3.0,1.12,0.0,2.0,0.62,1.5,4.0,1.68,2.0,4.0,1.82,18.0,33.55,20.76,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,23.0,23.0,23,1000.0,1085.5,1005.2,2919.0,2919.0,2919,6170.0,6825.0,4835,17.5,30.0,15.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.6,,,,100.0,200.0,100,350.0,350.0,259,100.0,100.0,100,,,,100.0,100.0,97,24.0,28.0,24.96,,,,20.0,20.0,20,70.0,70.0,59.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.94,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,9.94,0.0,1.0,0.14,0.0,1.0,0.18,0.0,1.0,0.08,1.0,1.0,1,0.0,1.0,0.22,0.0,1.0,0.28,,,,,,,5.0,25.0,7.6,,,,50.0,50.0,37,0.0,7000.0,1400,,,,,,
29,3.0,3.0,3,1.0,2.0,0.68,,,,,,,0.0,1.0,0.46,2.0,5.0,2.36,1.0,3.0,1.12,1.0,3.0,1.34,1.0,2.549999999999997,0.88,1.0,4.0,1.64,1.0,3.549999999999997,1.44,15.5,25.099999999999994,16.72,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,1050.0,1135.5,1056.2,1554.0,1554.0,1554,6245.0,6797.5,4591,10.0,20.0,11.8,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.68,,,,100.0,200.0,100,100.0,100.0,72,100.0,100.0,100,,,,100.0,100.0,96,24.0,28.0,25.2,,,,20.0,20.0,20,20.0,50.0,23.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.92,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,9.92,0.0,1.0,0.16,0.0,1.0,0.16,,,,,,,,,,,,,,,,30.0,30.0,31,,,,,,,,,,0.0,3849.99999999998,420,,,,,,
30,3.0,3.0,3,0.0,1.5499999999999972,0.52,,,,,,,0.0,1.5499999999999972,0.46,2.0,4.0,1.92,1.0,3.0,1.18,1.0,3.0,1.5,1.0,2.0,0.82,2.0,4.0,1.92,1.0,3.0,1.68,18.0,28.099999999999994,17.36,1500.0,1500.0,1500,0.0,1.0,0.34,20.0,20.0,13.2,20.0,20.0,20,0.0,0.0,0,24.0,25.0,24.3,1090.0,1170.0,1091.4,189.0,189.0,189,6320.0,6920.0,4446,10.0,25.0,11.7,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4500.0,4500.0,4500,1.0,1.0,0.58,,,,100.0,200.0,100,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,28.0,25.36,,,,20.0,20.0,20,20.0,50.0,27,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.18,0.0,1.0,0.22,0.0,0.0,0.02,1.0,1.0,1,0.0,1.0,0.2,0.0,1.0,0.3,,,,0.0,0.0,2,5.0,25.0,6.9,,,,,,,0.0,0.0,280,1.0,1.0,0.7,50.0,50.0,35
