day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
52,0.0,0.0,0,0.0,2.0,0.411,0.0,1.0,0.093,1.0,2.0,0.68,0.0,1.0,0.31,0.0,2.0,0.579,0.0,1.0,0.184,1.0,3.0,1.127,1.0,2.0,0.761,4.0,12.0,5.279,9600.0,9600.0,9044.8,0.0,0.0,0,1.0,1.0,0.855,28.0,28.0,28,710.0,760.0,730.65,1150.0,1150.0,1150,4810.0,5640.0,4806.99,9.0,15.0,7.859,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.594,,,,0.0,200.0,49.4,80.0,100.0,74.68,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.29,,,,0.0,1.0,0.106,0.0,1.0,0.259,0.0,0.0,0.041,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,0.0,0,0.0,2.0,0.458,0.0,1.0,0.089,1.0,2.0,0.889,0.0,1.0,0.347,1.0,2.0,0.667,0.0,1.0,0.206,1.0,3.0,1.313,1.0,2.0,0.886,4.0,12.0,5.796,8000.0,9600.0,8696,30.0,30.0,30,0.0,1.0,0.145,28.0,28.0,28,740.0,790.0,760.65,1350.0,1350.0,1350,4860.0,5700.0,4850.23,9.0,15.0,7.859,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.618,,,,0.0,200.0,55.3,100.0,100.0,87.94,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.71,,,,0.0,1.0,0.086,0.0,1.0,0.248,0.0,0.0,0.048,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0,0.0,0,0.0,2.0,0.42,0.0,1.0,0.076,1.0,2.0,0.76,0.0,1.0,0.308,0.0,2.0,0.547,0.0,1.0,0.198,1.0,3.0,1.085,1.0,2.0,0.751,4.0,12.0,5.072,8000.0,9600.0,8460.8,0.0,0.0,0,1.0,1.0,0.855,28.0,28.0,28,740.0,790.0,760.65,50.0,50.0,50,5070.0,5940.999999999999,5075.33,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.603,,,,0.0,200.0,50.6,80.0,100.0,74.5,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.29,,,,0.0,1.0,0.103,0.0,1.0,0.244,0.0,0.049999999999954525,0.05,9000.0,9000.0,9000,1500.0,1500.0,1500,0.0,3.0,0.999,0.0,1.0,0.336,0.0,1.0,0.333,0.0,1.0,0.331,0.0,1.0,0.336,0.0,1.0,0.331,,,,,,,0.0,0.0,0.1,,,,,,,,,
55,0.0,0.0,0,0.0,2.0,0.52,0.0,1.0,0.097,1.0,2.0,0.893,0.0,1.0,0.344,1.0,2.0,0.669,0.0,1.0,0.195,1.0,3.0,1.282,1.0,2.0,0.855,4.0,13.0,5.807,8000.0,9600.0,8409.6,40.0,40.0,40,0.0,1.0,0.145,28.0,28.0,28,780.0,830.0,800.65,250.0,250.0,250,5100.0,5980.0,5115.93,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.591,,,,0.0,200.0,53.9,100.0,100.0,86.7,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.71,,,,0.0,1.0,0.105,0.0,1.0,0.247,0.0,1.0,0.057,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0,0.0,0,0.0,1.0,0.399,0.0,1.0,0.072,1.0,2.0,0.765,0.0,1.0,0.295,0.0,2.0,0.54,0.0,1.0,0.152,1.0,3.0,1.168,1.0,2.0,0.754,9.0,16.0,10.11,8000.0,9600.0,8382.4,0.0,0.0,0,1.0,1.0,0.855,28.0,28.0,28,780.0,830.0,800.65,450.0,450.0,450,5490.0,6370.0,5485.55,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.614,,,,0.0,200.0,44.7,80.0,100.0,74.92,350.0,350.0,350,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.29,,,,0.0,1.0,0.088,0.0,1.0,0.247,0.0,1.0,0.051,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50,50.0,50.0,50,,,,,,,,,
57,0.0,0.0,0,0.0,2.0,0.514,0.0,1.0,0.082,1.0,2.0,0.877,0.0,1.0,0.368,0.0,2.0,0.652,0.0,1.0,0.213,1.0,3.0,1.304,1.0,2.0,0.845,4.0,12.0,5.716,8000.0,9600.0,8668.8,0.0,0.0,0,0.0,1.0,0.145,28.0,28.0,28,780.0,830.0,800.65,650.0,650.0,650,5610.0,6510.0,5630.47,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.6,,,,0.0,200.0,58.1,80.0,100.0,86.82,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.71,,,,0.0,1.0,0.102,0.0,1.0,0.26,0.0,0.0,0.038,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.0,0.0,0,0.0,1.0,0.384,0.0,1.0,0.066,1.0,2.0,0.761,0.0,1.0,0.31,0.0,2.0,0.564,0.0,1.0,0.192,1.0,3.0,1.138,1.0,2.0,0.73,4.0,11.0,5.067,8000.0,9600.0,8491.2,20.0,20.0,20,1.0,1.0,0.855,28.0,28.0,28,800.0,850.0,820.65,850.0,850.0,850,5650.0,6530.999999999998,5655.89,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.598,,,,0.0,200.0,50.2,80.0,100.0,75.22,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.29,,,,0.0,1.0,0.101,0.0,1.0,0.256,0.0,0.0,0.045,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0,0.0,0,0.0,2.0,0.463,0.0,1.0,0.087,1.0,2.0,0.889,0.0,1.0,0.366,0.0,2.0,0.649,0.0,1.0,0.226,1.0,3.0,1.315,1.0,2.0,0.86,4.0,12.0,5.846,8000.0,9600.0,8691.2,0.0,0.0,0,0.0,1.0,0.145,28.0,28.0,28,800.0,850.0,820.65,1050.0,1050.0,1050,5860.0,6780.0,5852.93,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.584,,,,0.0,200.0,59.2,100.0,100.0,87.84,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.71,,,,0.0,1.0,0.083,0.0,1.0,0.27,0.0,1.0,0.063,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0,0.0,0,0.0,1.0,0.407,0.0,1.0,0.083,1.0,2.0,0.754,0.0,1.0,0.309,0.0,2.0,0.565,0.0,1.0,0.184,1.0,3.0,1.082,1.0,2.0,0.761,4.0,12.0,5.179,8000.0,9600.0,8454.4,30.0,30.0,30,1.0,1.0,0.855,28.0,28.0,28,830.0,880.0,850.65,1250.0,1250.0,1250,5880.0,6800.0,5876.99,9.0,15.0,8.758,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.581,,,,0.0,200.0,49.3,80.0,100.0,74.76,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.29,,,,0.0,1.0,0.112,0.0,1.0,0.254,0.0,1.0,0.053,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0,0.0,0,0.0,2.0,0.531,0.0,1.0,0.101,1.0,2.0,0.829,0.0,1.0,0.355,1.0,2.0,0.638,0.0,1.0,0.192,1.0,3.0,1.338,1.0,2.0,0.871,4.0,13.0,5.905,8000.0,9600.0,8441.6,0.0,0.0,0,0.0,1.0,0.145,28.0,28.0,28,830.0,880.0,850.65,1450.0,1450.0,1450,6130.0,7040.5,6110.17,9.0,15.0,8.758,120.0,120.0,120,9200.0,9200.0,9200,,,,1.0,1.0,0.589,,,,0.0,200.0,54.7,80.0,100.0,86.48,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28.004,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.71,,,,0.0,1.0,0.099,0.0,1.0,0.264,0.0,0.0,0.048,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8,,,,,,
62,0.0,0.0,0,0.0,1.0,0.428,0.0,1.0,0.064,1.0,2.0,0.736,0.0,1.0,0.303,0.0,2.0,0.554,0.0,1.0,0.184,1.0,3.0,1.16,1.0,2.0,0.715,4.0,11.0,4.996,8000.0,9600.0,8681.6,40.0,40.0,40,1.0,1.0,0.855,28.0,28.0,28.002,870.0,920.0,890.65,150.0,150.0,150.5,6160.0,7040.5,6133.29,9.0,18.0,9.536,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,8.5,1.0,1.0,0.627,,,,0.0,200.0,48.7,80.0,100.0,74.32,0.0,0.0,0,,,,100.0,100.0,99.9,28.0,28.0,28.004,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.288,,,,0.0,1.0,0.087,0.0,1.0,0.244,0.0,0.0,0.042,9000.0,9000.0,8991,1500.0,1500.0,1500,0.0,3.0,0.918,0.0,1.0,0.342,0.0,1.0,0.306,0.0,1.0,0.352,0.0,1.0,0.342,0.0,1.0,0.352,,,,,,,0.0,0.0,0.14,,,,,,,,,
63,0.0,0.0,0,0.0,2.0,0.518,0.0,1.0,0.095,1.0,2.0,0.896,0.0,1.0,0.327,1.0,2.0,0.651,0.0,1.0,0.21,1.0,3.0,1.268,1.0,2.0,0.89,9.0,17.0,10.945,8000.0,9600.0,8528,0.0,0.0,0,0.0,1.0,0.145,28.0,28.0,28.004,870.0,920.0,890.65,350.0,350.0,351,6950.0,7850.999999999998,6923.73,9.0,18.0,9.536,0.0,0.0,0,9200.0,9200.0,9200,0.0,0.0,8.5,1.0,1.0,0.589,,,,0.0,200.0,53.7,80.0,100.0,86.74,350.0,350.0,350,,,,100.0,100.0,100,28.0,28.0,28.004,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.71,,,,0.0,1.0,0.091,0.0,1.0,0.277,0.0,0.0,0.043,9000.0,9000.0,8991,,,,,,,,,,,,,,,,,,,,,,400.0,400.0,400,50.0,50.0,50,50.0,50.0,50,,,,,,,,,
64,0.0,0.0,0,0.0,2.0,0.45,0.0,1.0,0.079,1.0,2.0,0.717,0.0,1.0,0.309,0.0,2.0,0.554,0.0,1.0,0.169,1.0,3.0,1.124,1.0,2.0,0.743,4.0,11.0,4.984,8000.0,9600.0,8601.6,0.0,0.0,0,1.0,1.0,0.855,28.0,28.0,28.004,870.0,920.0,890.65,550.0,550.0,549.5,7040.0,7910.0,6869.43,9.0,18.0,9.536,40.0,40.0,40,9200.0,9200.0,9200,,,,1.0,1.0,0.617,,,,0.0,200.0,47.8,80.0,100.0,73.9,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28.092,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.29,,,,0.0,1.0,0.104,0.0,1.0,0.227,0.0,1.0,0.052,9000.0,9000.0,9000,0.0,0.0,1.5,,,,,,,,,,0.0,0.0,0.001,,,,0.0,0.0,0.001,,,,,,,,,,0.0,0.0,176,,,,,,
65,0.0,0.0,0,0.0,2.0,0.484,0.0,1.0,0.092,1.0,2.0,0.793,0.0,1.0,0.356,1.0,2.0,0.667,0.0,1.0,0.23,1.0,3.0,1.33,1.0,2.0,0.899,4.0,12.0,5.867,8000.0,9600.0,8731.2,20.0,20.0,20,0.0,1.0,0.146,28.0,28.0,28.048,890.0,940.0,910.65,750.0,750.0,760.5,7070.0,7930.0,6899.72,9.0,18.0,9.536,80.0,80.0,80,9200.0,9200.0,9200,0.0,0.0,187,1.0,1.0,0.603,,,,0.0,200.0,58.6,80.0,100.0,87.34,0.0,0.0,0,,,,100.0,100.0,99.65,28.0,28.0,28.1,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,1.993,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.702,,,,0.0,1.0,0.084,0.0,1.0,0.27,0.0,0.0,0.043,9000.0,9000.0,8802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16,,,,,,
66,0.0,0.0,0,0.0,1.0,0.399,0.0,1.0,0.078,1.0,2.0,0.766,0.0,1.0,0.28,0.0,2.0,0.543,0.0,1.0,0.199,1.0,3.0,1.1,1.0,2.0,0.781,4.0,11.0,5.072,8000.0,9600.0,8735.2,0.0,0.0,0,1.0,1.0,0.854,28.0,28.0,28.094,890.0,940.0,910.65,950.0,950.0,939.5,7220.0,8060.0,6920.56,9.0,18.0,9.571,120.0,120.0,120,9200.0,9200.0,9200,0.0,0.0,204,1.0,1.0,0.594,,,,0.0,200.0,47.9,80.0,100.0,74.94,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28.176,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.292,,,,0.0,1.0,0.12,0.0,1.0,0.234,0.0,1.0,0.052,9000.0,9000.0,8784,0.0,0.0,33,0.0,0.0,0.015,0.0,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.007,0.0,0.0,0.01,0.0,0.0,0.007,,,,,,,0.0,0.0,0.04,0.0,0.0,152,0.0,0.0,0.002,0.0,0.0,0.06
67,0.0,0.0,0,0.0,2.0,0.542,0.0,1.0,0.091,1.0,2.0,0.869,0.0,1.0,0.306,0.0,2.0,0.628,0.0,1.0,0.197,1.0,3.0,1.347,1.0,2.0,0.867,4.0,12.0,5.875,8000.0,9600.0,8601.6,30.0,30.0,30,0.0,1.0,0.149,28.0,28.0,28.132,920.0,970.0,940.65,1150.0,1150.0,1119,7240.0,8120.999999999999,6925.51,9.0,18.0,9.567,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,187,1.0,1.0,0.596,,,,0.0,200.0,50.3,80.0,100.0,86.1,0.0,0.0,0,,,,100.0,100.0,99.45,28.0,28.0,28.192,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,1.989,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.694,,,,0.0,1.0,0.098,0.0,1.0,0.265,0.0,0.0,0.041,9000.0,9000.0,8799,0.0,0.0,34.5,0.0,0.0,0.036,0.0,0.0,0.004,0.0,0.0,0.012,0.0,0.0,0.007,0.0,0.0,0.004,0.0,0.0,0.007,,,,,,,0.0,0.0,0.37,0.0,0.0,32,0.0,0.0,0.006,0.0,0.0,0.33
68,0.0,0.0,0,0.0,2.0,0.419,0.0,1.0,0.083,1.0,2.0,0.737,0.0,1.0,0.31,0.0,2.0,0.574,0.0,1.0,0.187,1.0,3.0,1.108,1.0,2.0,0.731,4.0,12.0,5.152,9600.0,9600.0,8808,0.0,0.0,0,1.0,1.0,0.851,28.0,28.0,28.182,920.0,970.0,940.65,1350.0,1350.0,1322.5,7400.0,8340.0,6861.81,9.0,18.0,9.556,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,212.5,1.0,1.0,0.6,,,,0.0,200.0,49.7,80.0,100.0,74.6,200.0,200.0,200,,,,100.0,100.0,100,28.0,32.0,28.336,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.298,,,,0.0,1.0,0.1,0.0,1.0,0.25,0.0,0.049999999999954525,0.05,9000.0,9000.0,8775,0.0,0.0,9,0.0,0.0,0.009,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.002,,,,,,,0.0,0.0,0.02,0.0,0.0,288,,,,,,
69,0.0,0.0,0,0.0,2.0,0.504,0.0,1.0,0.111,1.0,2.0,0.875,0.0,1.0,0.338,0.0,2.0,0.619,0.0,1.0,0.227,1.0,3.0,1.329,1.0,2.0,0.829,4.0,13.0,5.991,8000.0,9600.0,8600,40.0,40.0,40,0.0,1.0,0.154,28.0,30.0,28.264,960.0,1010.0,980.65,50.0,574.9999999999773,118,7430.0,8380.0,6770.52,9.0,18.0,10.116,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,348.5,1.0,1.0,0.602,,,,0.0,200.0,56.5,80.0,100.0,86.56,0.0,0.0,0,,,,100.0,100.0,98.35,28.0,32.0,28.404,,,,8000.0,8000.0,8000,2.0,2.0,1.967,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.664,,,,0.0,1.0,0.099,0.0,1.0,0.251,0.0,0.0,0.048,9000.0,9000.0,8628,1500.0,1500.0,1428,0.0,3.0,0.9,0.0,1.0,0.333,0.0,1.0,0.3,0.0,1.0,0.319,0.0,1.0,0.333,0.0,1.0,0.319,,,,,,,0.0,0.0,0.34,0.0,0.0,136,,,,,,
70,0.0,0.0,0,0.0,2.0,0.407,0.0,1.0,0.066,1.0,2.0,0.765,0.0,1.0,0.321,0.0,2.0,0.57,0.0,1.0,0.19,1.0,3.0,1.099,1.0,2.0,0.736,9.0,16.0,9.924,8000.0,9600.0,8731.2,0.0,0.0,0,1.0,1.0,0.846,28.0,32.0,28.369,960.0,1010.0,980.65,250.0,1250.0,344.5,7645.0,8770.0,6378.56,9.0,18.0,10.126,160.0,160.0,160,9200.0,9200.0,9200,0.0,8500.0,450.5,1.0,1.0,0.621,,,,0.0,200.0,51.1,80.0,100.0,74.94,350.0,350.0,350,,,,100.0,100.0,100,28.0,32.0,28.788,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.308,,,,0.0,1.0,0.102,0.0,1.0,0.231,0.0,0.0,0.046,9000.0,9000.0,8523,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50,50.0,50.0,50.02,0.0,8000.0,768,0.0,0.0,0.001,0.0,0.0,0.03
71,0.0,0.0,0,0.0,2.0,0.501,0.0,1.0,0.116,1.0,2.0,0.847,0.0,1.0,0.348,1.0,2.0,0.671,0.0,1.0,0.184,1.0,3.0,1.258,1.0,2.0,0.921,5.0,12.0,5.996,8000.0,9600.0,8733.6,0.0,0.0,0,0.0,1.0,0.154,28.0,32.0,28.584,960.0,1010.0,980.65,450.0,1450.0,601,7730.0,8920.5,6278.66,9.0,18.0,10.226,160.0,160.0,160,9200.0,9200.0,9200,0.0,8500.0,960.5,1.0,1.0,0.597,,,,0.0,200.0,53.2,80.0,100.0,86.9,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,28.908,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.692,,,,0.0,1.0,0.113,0.0,1.0,0.241,0.0,0.0,0.049,9000.0,9000.0,7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.23,0.0,0.0,240,0.0,0.0,0.011,0.0,0.0,0.33
72,0.0,0.0,0,0.0,1.0,0.388,0.0,1.0,0.078,1.0,2.0,0.759,0.0,1.0,0.326,0.0,2.0,0.547,0.0,1.0,0.178,1.0,3.0,1.119,1.0,2.0,0.747,4.0,12.0,5.284,8000.0,9600.0,8624,20.0,20.0,20,1.0,1.0,0.835,28.0,32.0,28.82,980.0,1030.0,1000.65,650.0,650.0,567,7730.0,8970.0,6209.89,9.0,18.0,10.316,160.0,160.0,160,9200.0,9200.0,9200,0.0,8500.0,1096.5,1.0,1.0,0.608,,,,0.0,200.0,50.4,80.0,100.0,75.08,0.0,0.0,0,,,,100.0,100.0,98.25,28.0,32.0,28.956,,,,8000.0,8000.0,8000,2.0,2.0,1.965,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.284,,,,0.0,1.0,0.081,0.0,1.0,0.255,0.0,1.0,0.056,9000.0,9000.0,7833,0.0,1500.0,304.5,0.0,3.0,0.18,0.0,1.0,0.077,0.0,1.0,0.06,0.0,1.0,0.066,0.0,1.0,0.077,0.0,1.0,0.066,,,,,,,0.0,0.0,1.17,0.0,0.0,96,0.0,0.0,0.022,0.0,0.0,1.08
73,0.0,0.0,0,0.0,2.0,0.495,0.0,1.0,0.084,1.0,2.0,0.86,0.0,1.0,0.34,1.0,2.0,0.658,0.0,1.0,0.226,1.0,3.0,1.316,1.0,2.0,0.855,4.0,12.0,5.81,9600.0,9600.0,8832,0.0,0.0,0,0.0,1.0,0.166,28.0,32.0,28.906,980.0,1030.0,1000.65,850.0,850.0,745,7835.0,9160.0,6043.32,9.0,18.0,10.374,160.0,160.0,160,9200.0,9200.0,9200,0.0,4250.0,442,1.0,1.0,0.589,,,,0.0,200.0,56.6,80.0,100.0,86.78,150.0,150.0,150,,,,100.0,100.0,99.95,28.0,32.0,29.136,,,,8000.0,8000.0,8000,2.0,2.0,1.999,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.668,,,,0.0,1.0,0.1,0.0,1.0,0.254,0.0,1.0,0.057,9000.0,9000.0,8523,0.0,0.0,57,0.0,0.0,0.048,0.0,0.0,0.011,0.0,0.0,0.016,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.011,,,,,,,0.0,0.0,0.59,0.0,0.0,360,0.0,0.0,0.018,0.0,0.0,0.6
