day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
41,2.0,2.0,2,0.0,2.0,0.579,0.0,1.0,0.121,1.0,3.0,1.112,0.0,2.0,0.405,1.0,2.0,0.766,0.0,1.0,0.256,2.0,4.0,1.674,1.0,3.0,1.086,11.0,21.049999999999955,13.182,9600.0,12000.0,9246.4,40.0,40.0,40,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,28.251,1420.0,1470.0,1437.7,450.0,1450.0,760,8540.0,9740.0,6227,7.0,45.0,12.45,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,8500.0,2601,12000.0,12000.0,9240,1.0,1.0,0.589,,,,0.0,200.0,66.1,120.0,120.0,108.4,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,99.9,28.0,32.0,29.36,,,,20.0,20.0,20,20.0,150.0,40.38,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.998,0.0,0.0,0.61,0.0,1.0,0.094,0.0,1.0,0.268,0.0,0.0,0.049,,,,,,,0.0,0.0,202,0.0,1500.0,96,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.019,0.0,0.0,0.025,0.0,0.0,0.019,0.0,0.0,0.025,0.0,4.0,0.704,0.0,134.0,22.894
42,2.0,2.0,2,0.0,2.0,0.609,0.0,1.0,0.111,1.0,3.0,1.078,0.0,2.0,0.415,1.0,2.0,0.855,0.0,1.0,0.241,2.0,4.0,1.582,1.0,3.0,1.108,15.0,24.0,16.727,9600.0,12000.0,9552.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,28.301,1440.0,1490.0,1459.1,650.0,1150.0,651.5,9000.0,10250.0,6414.5,13.0,67.0,21.2,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,3553,12000.0,12000.0,8307,1.0,1.0,0.593,,,,100.0,200.0,65.6,120.0,120.0,107.8,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,99.9,28.0,32.0,29.528,,,,20.0,20.0,20,70.0,171.49999999999864,87.44,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.998,0.0,0.0,1.4,0.0,1.0,0.095,0.0,1.0,0.259,0.0,1.0,0.053,,,,50.0,50.0,50,0.0,0.0,336,0.0,1500.0,448.5,0.0,3.0,0.273,0.0,1.0,0.091,0.0,1.0,0.107,0.0,1.0,0.101,0.0,1.0,0.107,0.0,1.0,0.101,0.0,4.0,0.786,0.0,112.0,25.917
43,2.0,2.0,2,0.0,2.0,0.646,0.0,1.0,0.107,1.0,3.0,1.111,0.0,2.0,0.425,1.0,2.0,0.793,0.0,1.0,0.242,2.0,3.0,1.633,1.0,3.0,1.043,13.0,21.0,13.253,9600.0,12000.0,9688,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,28.565,1460.0,1510.0,1480.5,600.0,1350.0,662.25,9190.0,10550.0,6464.28,13.0,49.0,16.898,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,4250.0,12750.0,4254.25,9000.0,12000.0,7602,1.0,1.0,0.617,,,,100.0,200.0,66.7,120.0,120.0,107.08,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.64,,,,20.0,20.0,20,20.0,150.0,48.8,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1.4,0.0,1.0,0.114,0.0,1.0,0.231,0.0,0.0,0.038,,,,,,,0.0,0.0,224,0.0,1500.0,333,0.0,3.0,0.234,0.0,1.0,0.078,0.0,1.0,0.068,0.0,1.0,0.076,0.0,1.0,0.068,0.0,1.0,0.076,0.0,4.0,0.737,0.0,133.0,24.264
44,2.0,2.0,2,0.0,2.0,0.55,0.0,1.0,0.098,1.0,3.0,1.092,0.0,2.0,0.457,1.0,2.0,0.834,0.0,1.0,0.257,2.0,3.0,1.633,1.0,3.0,1.079,11.0,20.0,12.36,9600.0,12000.0,9724.8,20.0,20.0,20,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.163,1500.0,1550.0,1521.4,550.0,1300.0,616.5,9280.0,10770.0,6500.68,14.0,37.0,15.134,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,3778.25,12000.0,12000.0,8100,1.0,1.0,0.614,,,,100.0,200.0,71.4,120.0,120.0,109,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.712,,,,20.0,20.0,20,20.0,70.0,31.46,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.9,0.0,1.0,0.102,0.0,1.0,0.233,0.0,1.0,0.051,,,,,,,0.0,0.0,144,0.0,1500.0,367.5,0.0,3.0,0.258,0.0,1.0,0.086,0.0,1.0,0.079,0.0,1.0,0.08,0.0,1.0,0.079,0.0,1.0,0.08,0.0,2.0,0.291,0.0,67.0,9.438
45,2.0,2.0,2,0.0,2.0,0.611,0.0,1.0,0.093,1.0,3.0,1.101,0.0,2.0,0.46,1.0,2.0,0.778,0.0,1.0,0.282,1.0,4.0,1.621,1.0,3.0,1.054,10.0,19.0,11.886,9600.0,12000.0,9645.6,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.541,1520.0,1570.0,1542,500.0,1250.0,543.25,9520.0,11100.0,6736.66,14.0,26.0,14.295,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,12750.0,2112.25,12000.0,12000.0,9822,1.0,1.0,0.591,,,,100.0,200.0,74.2,120.0,120.0,107.78,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.76,,,,20.0,20.0,20,20.0,70.0,24.53,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.6,0.0,1.0,0.121,0.0,1.0,0.244,0.0,0.0,0.044,,,,,,,0.0,0.0,96,0.0,1500.0,339,0.0,3.0,0.222,0.0,1.0,0.074,0.0,1.0,0.08,0.0,1.0,0.072,0.0,1.0,0.08,0.0,1.0,0.072,0.0,1.0,0.119,0.0,22.0,3.469
46,2.0,2.0,2,0.0,2.0,0.624,0.0,1.0,0.121,1.0,3.0,1.044,0.0,2.0,0.475,1.0,2.0,0.794,0.0,1.0,0.281,1.0,3.0,1.601,1.0,3.0,1.06,11.0,19.0,12.078,9600.0,12000.0,9626.4,30.0,30.0,30,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.691,1570.0,1620.0,1592.1,700.0,1450.0,724.5,9710.0,11300.0,6903.78,14.0,25.0,13.791,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,8500.0,828.75,12000.0,12000.0,11109,1.0,1.0,0.568,,,,100.0,200.0,75.6,120.0,120.0,107.52,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.768,,,,20.0,20.0,20,20.0,20.0,21.7,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.1,0.0,1.0,0.106,0.0,1.0,0.277,0.0,0.0,0.049,,,,,,,0.0,0.0,16,0.0,1500.0,81,0.0,0.0,0.045,0.0,0.0,0.015,0.0,0.0,0.025,0.0,0.0,0.014,0.0,0.0,0.025,0.0,0.0,0.014,0.0,0.0,0.045,0.0,0.0,1.151
47,2.0,2.0,2,0.0,2.0,0.63,0.0,1.0,0.122,1.0,3.0,1.075,0.0,2.0,0.46,1.0,2.0,0.799,0.0,1.0,0.28,1.0,3.0,1.575,1.0,3.0,1.059,10.0,19.0,11.886,9600.0,12000.0,9724,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.753,1590.0,1640.0,1612.15,900.0,1400.0,831.75,10080.0,11641.0,7277.18,14.0,25.0,13.744,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,310.25,12000.0,12000.0,11658,1.0,1.0,0.602,,,,100.0,200.0,74,120.0,120.0,107.4,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.772,,,,20.0,20.0,20,20.0,20.0,20.37,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.05,0.0,1.0,0.092,0.0,1.0,0.254,0.0,1.0,0.052,,,,,,,0.0,0.0,8,0.0,1500.0,124.5,0.0,0.0,0.081,0.0,0.0,0.027,0.0,0.0,0.033,0.0,0.0,0.023,0.0,0.0,0.033,0.0,0.0,0.023,0.0,0.0,0.011,0.0,0.0,0.242
48,2.0,2.0,2,0.0,2.0,0.592,0.0,1.0,0.111,1.0,3.0,1.101,0.0,2.0,0.442,1.0,2.0,0.799,0.0,1.0,0.255,1.0,3.0,1.565,1.0,3.0,1.135,10.0,18.049999999999955,11.849,9600.0,12000.0,9825.6,40.0,40.0,40,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.768,1650.0,1700.0,1672.15,850.0,1350.0,849,10270.0,11860.0,7455.04,14.0,25.0,13.803,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,80.75,12000.0,12000.0,11904,1.0,1.0,0.605,,,,100.0,200.0,69.7,120.0,120.0,108.16,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.772,,,,20.0,20.0,20,20.0,20.0,20.17,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.094,0.0,1.0,0.249,0.0,1.0,0.052,,,,,,,,,,0.0,1500.0,198,0.0,0.0,0.141,0.0,0.0,0.047,0.0,0.0,0.041,0.0,0.0,0.044,0.0,0.0,0.041,0.0,0.0,0.044,0.0,0.0,0.004,0.0,0.0,0.088
49,2.0,2.0,2,0.0,2.0,0.607,0.0,1.0,0.108,1.0,3.0,1.078,0.0,2.0,0.395,1.0,2.0,0.822,0.0,1.0,0.242,2.0,4.0,1.679,1.0,3.0,1.069,15.0,23.0,16.93,9600.0,12000.0,9857.6,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.772,1670.0,1720.0,1692.2,800.0,1300.0,722,10760.0,12370.999999999998,7968.6,14.0,25.0,14.078,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,25.5,12000.0,12000.0,11973,1.0,1.0,0.606,,,,50.0,200.0,63.7,120.0,120.0,107.86,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.776,,,,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.05,0.0,1.0,0.091,0.0,1.0,0.262,0.0,0.0,0.041,,,,50.0,50.0,50,0.0,0.0,8,0.0,1500.0,328.5,0.0,3.0,0.231,0.0,1.0,0.077,0.0,1.0,0.064,0.0,1.0,0.078,0.0,1.0,0.064,0.0,1.0,0.078,0.0,0.0,0.002,0.0,0.0,0.044
50,2.0,2.0,2,0.0,2.0,0.595,0.0,1.0,0.116,1.0,3.0,1.059,0.0,2.0,0.458,1.0,2.0,0.811,0.0,1.0,0.238,2.0,4.0,1.667,1.0,3.0,1.056,10.0,19.0,11.877,9600.0,12000.0,9760.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.778,1690.0,1740.0,1712.25,500.0,1250.0,587.5,11060.0,12630.0,8238.3,14.0,26.0,14.219,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,25.5,12000.0,12000.0,11976,1.0,1.0,0.58,,,,100.0,200.0,69.6,120.0,120.0,108.1,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20.06,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.05,0.0,1.0,0.108,0.0,1.0,0.248,0.0,1.0,0.064,,,,,,,0.0,0.0,8,0.0,1500.0,333,0.0,3.0,0.201,0.0,1.0,0.067,0.0,1.0,0.072,0.0,1.0,0.083,0.0,1.0,0.072,0.0,1.0,0.083,,,,,,
51,2.0,2.0,2,0.0,2.0,0.626,0.0,1.0,0.113,1.0,3.0,1.054,0.0,2.0,0.403,1.0,2.0,0.806,0.0,1.0,0.258,2.0,3.0,1.654,1.0,3.0,1.086,10.0,19.0,11.867,9600.0,12000.0,9820,20.0,20.0,20,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1730.0,1780.0,1752.25,700.0,1450.0,788,11240.0,12850.0,8411.88,14.0,26.0,14.219,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,8.5,12000.0,12000.0,11991,1.0,1.0,0.602,,,,100.0,200.0,66.1,120.0,120.0,107.48,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.25,0.0,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,2.0,2,0.0,2.0,0.617,0.0,1.0,0.115,1.0,3.0,1.065,0.0,1.0,0.387,1.0,2.0,0.848,0.0,1.0,0.288,2.0,3.0,1.607,1.0,3.0,1.073,10.0,19.0,11.893,9600.0,12000.0,9688.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1750.0,1800.0,1772.25,650.0,1400.0,683.5,11560.0,13120.0,8737.04,15.0,26.0,14.414,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.571,,,,100.0,200.0,67.5,120.0,120.0,107.66,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20.03,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.121,0.0,1.0,0.253,0.0,1.0,0.055,,,,,,,,,,0.0,1500.0,304.5,0.0,3.0,0.225,0.0,1.0,0.075,0.0,1.0,0.069,0.0,1.0,0.059,0.0,1.0,0.069,0.0,1.0,0.059,,,,,,
53,2.0,2.0,2,0.0,2.0,0.643,0.0,1.0,0.109,1.0,3.0,1.066,0.0,2.0,0.423,1.0,2.0,0.826,0.0,1.0,0.255,2.0,3.0499999999999545,1.632,1.0,3.0,1.046,10.0,18.049999999999955,11.846,9600.0,12000.0,9690.4,30.0,30.0,30,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1800.0,1850.0,1822.25,600.0,1350.0,622.5,11710.0,13320.0,8911.98,15.0,26.0,14.504,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.585,,,,100.0,200.0,67.8,120.0,120.0,107.14,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20.09,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.107,0.0,1.0,0.259,0.0,0.0,0.049,,,,,,,,,,0.0,1500.0,261,0.0,3.0,0.18,0.0,1.0,0.06,0.0,1.0,0.053,0.0,1.0,0.061,0.0,1.0,0.053,0.0,1.0,0.061,,,,,,
54,2.0,2.0,2,0.0,2.0,0.651,0.0,1.0,0.103,1.0,3.0,1.078,0.0,1.0499999999999545,0.406,1.0,2.0,0.764,0.0,1.0,0.278,2.0,4.0,1.66,1.0,3.0,1.06,10.0,18.0,11.664,9600.0,12000.0,9739.2,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1820.0,1870.0,1842.25,800.0,1300.0,734,12080.0,13700.0,9287.36,15.0,26.0,14.564,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.602,,,,100.0,200.0,68.4,120.0,120.0,106.98,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.104,0.0,1.0,0.235,0.0,1.0,0.059,,,,,,,,,,0.0,1500.0,88.5,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.022,0.0,0.0,0.017,0.0,0.0,0.022,0.0,0.0,0.017,,,,,,
55,2.0,2.0,2,0.0,2.0,0.616,0.0,1.0,0.104,1.0,3.0,1.058,0.0,2.0,0.437,1.0,2.0,0.795,0.0,1.0,0.263,2.0,4.0,1.628,1.0,3.0,1.099,10.0,18.0,11.776,9600.0,12000.0,9715.2,40.0,40.0,40,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1880.0,1930.0,1902.25,750.0,1250.0,749.5,12260.0,13880.0,9465.04,15.0,26.0,14.669,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.581,,,,100.0,200.0,70,120.0,120.0,107.68,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20.03,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.111,0.0,1.0,0.252,0.0,1.0,0.056,,,,,,,,,,0.0,1500.0,184.5,0.0,0.0,0.135,0.0,0.0,0.045,0.0,0.0,0.045,0.0,0.0,0.033,0.0,0.0,0.045,0.0,0.0,0.033,,,,,,
56,2.0,2.0,2,0.0,2.0,0.587,0.0,1.0,0.119,1.0,3.0,1.088,0.0,2.0,0.46,1.0,2.0,0.74,0.0,1.0,0.254,2.0,3.0499999999999545,1.654,1.0,3.0,1.098,15.0,24.0,16.956,9600.0,12000.0,9730.4,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1900.0,1950.0,1922.25,950.0,1450.0,949.5,12810.0,14391.0,9994.7,15.0,26.0,14.669,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.609,,,,100.0,200.0,71.4,120.0,120.0,108.26,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.091,0.0,1.0,0.261,0.0,0.0,0.039,,,,50.0,50.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,2.0,2,0.0,2.0,0.59,0.0,1.0,0.118,1.0,3.0,1.11,0.0,1.0499999999999545,0.42,1.0,2.0,0.818,0.0,1.0,0.289,2.0,4.0,1.639,1.0,3.0,1.016,10.0,19.0,11.86,9600.0,12000.0,9676.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1920.0,1970.0,1942.25,900.0,1400.0,822.5,13070.0,14670.0,10273.8,15.0,26.0,14.864,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.613,,,,100.0,200.0,70.9,120.0,120.0,108.2,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20.03,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.081,0.0,1.0,0.243,0.0,1.0,0.063,,,,,,,,,,0.0,1500.0,327,0.0,3.0,0.225,0.0,1.0,0.075,0.0,1.0,0.079,0.0,1.0,0.064,0.0,1.0,0.079,0.0,1.0,0.064,,,,,,
58,2.0,2.0,2,0.0,2.0,0.618,0.0,1.0,0.105,1.0,3.0,1.03,0.0,2.0,0.445,1.0,2.0,0.825,0.0,1.0,0.273,2.0,3.0,1.636,1.0,3.0,1.068,10.0,18.0,11.759,9600.0,12000.0,9653.6,20.0,20.0,20,20.0,20.0,20,1.0,1.0,0.998,28.0,32.0,29.78,1960.0,2010.0,1982.25,600.0,1350.0,688,13250.0,14870.0,10453.24,15.0,26.0,14.996,80.0,80.0,80,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.605,,,,100.0,200.0,71.8,120.0,120.0,107.64,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.78,,,,20.0,20.0,20,20.0,20.0,20.09,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.251,0.0,0.0,0.044,,,,,,,,,,0.0,1500.0,334.5,0.0,3.0,0.222,0.0,1.0,0.074,0.0,1.0,0.073,0.0,1.0,0.076,0.0,1.0,0.073,0.0,1.0,0.076,,,,,,
