day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
11,0.0,0.0,0,0.0,2.0,0.507,0.0,1.0,0.079,1.0,2.0,0.878,0.0,1.0,0.343,0.0,2.0,0.649,0.0,1.0,0.233,1.0,3.0,1.328,1.0,2.0,0.878,4.0,13.0,5.754,5000.0,5000.0,5000,0.0,1.0,0.107,30.0,30.0,26.79,0.0,1.0,0.105,12.0,12.0,12,200.0,200.0,184.93,950.0,950.0,950,1950.0,2450.0,1975.55,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.594,300.0,300.0,300,0.0,200.0,57.6,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.094,0.0,1.0,0.262,0.0,0.049999999999954525,0.05,0.0,0.0,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0,0.0,2.0,0.408,0.0,1.0,0.09,1.0,2.0,0.728,0.0,1.0,0.262,0.0,2.0,0.538,0.0,1.0,0.194,1.0,3.0,1.141,1.0,2.0,0.744,4.0,12.0,5.241,5000.0,5000.0,5000,0.0,1.0,0.119,0.0,0.0,0,1.0,1.0,0.895,13.0,13.0,13,200.0,200.0,186.36,1400.0,1400.0,1400,2100.0,2550.0,2097.35,0.0,3.0,0.966,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.598,,,,0.0,200.0,45.6,200.0,200.0,176.2,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.092,0.0,1.0,0.256,0.0,1.0,0.054,0.0,0.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0,0.0,2.0,0.491,0.0,1.0,0.081,1.0,2.0,0.859,0.0,2.0,0.352,1.0,2.0,0.702,0.0,1.0,0.212,1.0,3.0,1.311,1.0,2.0,0.887,4.0,12.0,5.578,5000.0,6000.0,5224,0.0,1.0,0.094,40.0,40.0,36.24,0.0,1.0,0.105,14.0,14.0,14,240.0,240.0,223.66,350.0,350.0,350,2050.0,2550.0,2053.75,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.628,,,,0.0,200.0,56.4,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.102,0.0,1.0,0.218,0.0,1.0,0.052,0.0,0.0,1.06,,,,1500.0,1500.0,1500,0.0,3.0,1.065,0.0,1.0,0.319,0.0,1.0,0.355,0.0,1.0,0.326,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0,0.0,2.0,0.386,0.0,1.0,0.075,1.0,2.0,0.741,0.0,1.0,0.284,0.0,2.0,0.583,0.0,1.0,0.205,1.0,3.0,1.086,1.0,2.0,0.745,9.0,16.0,9.655,6000.0,6000.0,5670,0.0,1.0,0.095,0.0,0.0,0,1.0,1.0,0.895,15.0,15.0,15,240.0,260.0,224.95,800.0,800.0,800,2300.0,2800.0,2319.4,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.585,,,,0.0,200.0,48.9,350.0,350.0,316.75,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.105,0.0,1.0,0.26,0.0,0.049999999999954525,0.05,0.0,0.0,1.29,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,45.25,50.0,50.0,45.25,,,,,,,,,
15,0.0,0.0,0,0.0,2.0,0.532,0.0,1.0,0.085,1.0,2.0,0.894,0.0,1.0,0.314,1.0,2.0,0.682,0.0,1.0,0.216,1.0,3.0,1.33,1.0,2.0,0.842,4.0,12.0,5.718,6000.0,6000.0,5942,0.0,1.0,0.101,0.0,0.0,0,0.0,1.0,0.105,16.0,16.0,16,240.0,270.0,226.28,1250.0,1250.0,1250,2375.0,2900.0,2362.3,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.63,,,,0.0,200.0,53,100.0,100.0,89.9,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.086,0.0,1.0,0.241,0.0,0.0,0.043,0.0,0.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0,0.0,2.0,0.412,0.0,1.0,0.08,1.0,2.0,0.726,0.0,1.0,0.291,0.0,2.0,0.541,0.0,1.0,0.182,1.0,3.0,1.111,1.0,2.0,0.762,4.0,12.0,5.11,5000.0,5000.0,5000,0.0,1.0,0.093,20.0,20.0,18.14,1.0,1.0,0.895,17.0,17.0,17,260.0,310.0,245.64,1700.0,1700.0,1700,2300.0,2850.0,2309.6,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.598,,,,0.0,200.0,47.3,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.103,0.0,1.0,0.25,0.0,0.0,0.049,0.0,0.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0,0.0,2.0,0.478,0.0,1.0,0.086,1.0,2.0499999999999545,0.921,0.0,1.0,0.341,1.0,2.0,0.661,0.0,1.0,0.208,1.0,3.0,1.311,1.0,2.0,0.889,4.0,12.0,5.741,5000.0,5000.0,5000,0.0,1.0,0.103,0.0,0.0,0,0.0,1.0,0.105,18.0,18.0,18,260.0,310.0,247.07,2150.0,2150.0,2150,2400.0,2950.0,2399.05,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.605,,,,0.0,200.0,54.9,150.0,150.0,134.55,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.098,0.0,1.0,0.237,0.0,1.0,0.06,0.0,0.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0,0.0,2.0,0.43,0.0,1.0,0.068,1.0,2.0,0.734,0.0,1.0,0.299,0.0,2.0,0.555,0.0,1.0,0.185,1.0,3.0,1.08,1.0,2.0,0.754,4.0,11.0,4.92,5000.0,6000.0,5224,0.0,1.0,0.091,30.0,30.0,27.27,1.0,1.0,0.895,19.0,19.0,19,290.0,340.0,275.89,2600.0,2600.0,2600,2350.0,2950.0,2347.45,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.595,,,,0.0,200.0,48.4,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.12,0.0,1.0,0.237,0.0,0.0,0.048,0.0,0.0,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0,0.0,2.0,0.49,0.0,1.0,0.082,1.0,2.0,0.856,0.0,1.0,0.36,0.0,2.0,0.641,0.0,1.0,0.239,1.0,3.0,1.328,1.0,2.0,0.899,4.0,12.0,5.672,6000.0,6000.0,5670,0.0,1.0,0.101,0.0,0.0,0,0.0,1.0,0.105,20.0,20.0,20,290.0,340.0,277.04,50.0,50.0,50,2500.0,3050.0,2487.15,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.597,,,,0.0,200.0,59.9,200.0,200.0,179.8,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.79,0.0,1.0,0.097,0.0,1.0,0.242,0.0,1.0,0.064,0.0,0.0,1.15,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0,0.0,1.0,0.378,0.0,1.0,0.071,1.0,2.0,0.754,0.0,1.0,0.288,0.0,2.0,0.599,0.0,1.0,0.189,1.0,3.0,1.118,1.0,2.0,0.708,4.0,11.0,5.073,6000.0,6000.0,5942,0.0,1.0,0.102,40.0,40.0,35.92,1.0,1.0,0.895,21.0,21.0,21,320.0,380.0,314.21,500.0,500.0,500,2450.0,3050.0,2434.85,3.0,6.0,2.031,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.61,,,,0.0,200.0,47.7,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,10.0,8.21,0.0,1.0,0.085,0.0,1.0,0.251,0.0,1.0,0.054,0.0,0.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
