day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
59,0.0,0.0,0,0.0,2.0,0.522,0.0,1.0,0.09,1.0,2.0,0.886,0.0,1.0,0.375,1.0,2.0,0.674,0.0,1.0,0.224,1.0,3.0,1.295,1.0,2.0,0.902,9.0,17.0,10.702,9600.0,12000.0,10013.6,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,1980.0,2030.0,2004.8,550.0,1300.0,614,10450.0,12620.0,7795.64,16.0,26.0,15.144,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.625,,,,0.0,200.0,59.9,100.0,100.0,88.92,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.03,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.103,0.0,1.0,0.227,0.0,0.0,0.045,9000.0,9000.0,9000,0.0,1500.0,288,0.0,3.0,0.183,0.0,1.0,0.067,0.0,1.0,0.061,0.0,1.0,0.064,0.0,1.0,0.067,0.0,1.0,0.064,,,,,,,,,,,,,,,
60,0.0,0.0,0,0.0,2.0,0.406,0.0,1.0,0.078,1.0,2.0,0.727,0.0,1.0,0.293,0.0,2.0,0.543,0.0,1.0,0.173,1.0,3.0,1.11,1.0,2.0,0.702,9.0,17.0,10.049,9600.0,12000.0,9818.4,30.0,30.0,30,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2030.0,2080.0,2054.8,500.0,1250.0,523,10600.0,12721.0,7914.76,16.0,27.0,15.276,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.596,,,,0.0,200.0,46.6,80.0,80.0,72.52,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.06,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.095,0.0,1.0,0.253,0.0,1.0,0.056,9000.0,9000.0,9000,0.0,1500.0,291,0.0,3.0,0.192,0.0,1.0,0.066,0.0,1.0,0.064,0.0,1.0,0.064,0.0,1.0,0.066,0.0,1.0,0.064,,,,,,,,,,,,,,,
61,0.0,0.0,0,0.0,2.0,0.487,0.0,1.0,0.086,1.0,2.0,0.9,0.0,1.0,0.391,1.0,2.0,0.664,0.0,1.0,0.226,1.0,3.0,1.322,1.0,2.0,0.892,9.0,17.0,10.772,9600.0,12000.0,9868.8,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2050.0,2100.0,2074.8,700.0,1450.0,723,10900.0,13101.0,8266.08,16.0,27.0,15.276,120.0,120.0,120,9200.0,9200.0,9200,,,,1.0,1.0,0.594,,,,0.0,200.0,61.7,100.0,100.0,89.62,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.099,0.0,1.0,0.244,0.0,1.0,0.063,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0,0.0,0,0.0,2.0,0.404,0.0,1.0,0.08,1.0,2.0,0.76,0.0,1.0,0.26,0.0,2.0,0.569,0.0,1.0,0.172,1.0,3.0,1.095,1.0,2.0,0.692,9.0,17.0,10.111,9600.0,12000.0,9820,40.0,40.0,40,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2110.0,2160.0,2134.8,900.0,1400.0,800,11030.0,13200.0,8381.84,16.0,27.0,15.201,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.585,,,,0.0,200.0,43.2,80.0,80.0,72.56,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.15,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.102,0.0,1.0,0.255,0.0,1.0,0.058,9000.0,9000.0,9000,0.0,1500.0,123,0.0,0.0,0.075,0.0,0.0,0.024,0.0,0.0,0.025,0.0,0.0,0.033,0.0,0.0,0.024,0.0,0.0,0.033,,,,,,,,,,,,,,,
63,0.0,0.0,0,0.0,1.0,0.419,0.0,1.0,0.111,1.0,3.0,0.94,0.0,1.0,0.342,1.0,2.0,0.669,0.0,1.0,0.208,1.0,3.0,1.346,1.0,2.0,0.933,15.0,23.0,16.202,9600.0,12000.0,9823.2,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2130.0,2180.0,2154.8,850.0,1350.0,823,11870.0,14090.0,9277.82,16.0,27.0,15.33,0.0,0.0,0,9200.0,9200.0,9200,,,,1.0,1.0,0.594,,,,0.0,200.0,55,100.0,100.0,90.98,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,70.0,70.0,70,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.091,0.0,1.0,0.263,0.0,1.0,0.052,9000.0,9000.0,9000,0.0,1500.0,177,0.0,0.0,0.129,0.0,0.0,0.04,0.0,0.0,0.043,0.0,0.0,0.035,0.0,0.0,0.04,0.0,0.0,0.035,400.0,400.0,400,50.0,50.0,50,,,,,,,,,
64,0.0,0.0,0,0.0,1.0,0.395,0.0,1.0,0.082,1.0,2.0,0.71,0.0,1.0,0.28,0.0,2.0,0.553,0.0,1.0,0.182,1.0,3.0,1.104,1.0,2.0,0.726,9.0,16.0,10.061,9600.0,12000.0,9780.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2150.0,2200.0,2174.8,800.0,1300.0,738,12020.0,14330.0,9496.76,16.0,27.0,15.387,40.0,40.0,40,9200.0,9200.0,9200,,,,1.0,1.0,0.598,,,,0.0,200.0,46.2,80.0,80.0,72.74,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.15,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.107,0.0,1.0,0.246,0.0,0.0,0.049,9000.0,9000.0,9000,0.0,1500.0,285,0.0,3.0,0.207,0.0,1.0,0.062,0.0,1.0,0.069,0.0,1.0,0.059,0.0,1.0,0.062,0.0,1.0,0.059,,,,,,,,,,,,,,,
65,0.0,0.0,0,0.0,2.0,0.528,0.0,1.0,0.096,1.0,2.0,0.914,0.0,1.0,0.346,0.0,2.0,0.63,0.0,1.0,0.24,1.0,3.0,1.347,1.0,2.0,0.867,9.0,18.0,10.892,9600.0,12000.0,9709.6,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2190.0,2240.0,2214.8,500.0,1250.0,602,12180.0,14490.5,9644.16,16.0,27.0,15.558,80.0,80.0,80,9200.0,9200.0,9200,,,,1.0,1.0,0.604,,,,0.0,200.0,58.6,100.0,100.0,88.8,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.03,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.095,0.0,1.0,0.254,0.0,0.0,0.047,9000.0,9000.0,9000,0.0,1500.0,336,0.0,3.0,0.201,0.0,1.0,0.079,0.0,1.0,0.067,0.0,1.0,0.078,0.0,1.0,0.079,0.0,1.0,0.078,,,,,,,,,,,,,,,
66,0.0,0.0,0,0.0,2.0,0.431,0.0,1.0,0.07,1.0,2.0,0.711,0.0,1.0,0.289,0.0,2.0,0.556,0.0,1.0,0.156,1.0,3.0,1.071,1.0,2.0,0.748,9.0,16.0,10.051,9600.0,12000.0,9820.8,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2210.0,2260.0,2234.8,700.0,1450.0,802,12410.0,14740.499999999998,9910.68,16.0,27.0,15.558,120.0,120.0,120,9200.0,9200.0,9200,,,,1.0,1.0,0.549,,,,0.0,200.0,44.5,80.0,80.0,72.02,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.127,0.0,1.0,0.267,0.0,1.0,0.057,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,0.0,0,0.0,2.0,0.562,0.0,1.0,0.067,1.0,2.0,0.891,0.0,1.0,0.35,1.0,2.0,0.678,0.0,1.0,0.205,1.0,3.0,1.356,1.0,2.0,0.859,10.0,16.049999999999955,10.712,9600.0,12000.0,9648,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2260.0,2310.0,2284.8,650.0,1400.0,714,12550.0,14910.5,10054.3,16.0,27.0,15.753,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.575,,,,0.0,200.0,55.5,100.0,100.0,88.12,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20,40.0,40.0,40,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.107,0.0,1.0,0.265,0.0,1.0,0.053,9000.0,9000.0,9000,0.0,1500.0,288,0.0,3.0,0.195,0.0,1.0,0.069,0.0,1.0,0.065,0.0,1.0,0.058,0.0,1.0,0.069,0.0,1.0,0.058,,,,,,,,,,,,,,,
68,0.0,0.0,0,0.0,2.0,0.427,0.0,1.0,0.075,1.0,2.0,0.764,0.0,1.0,0.284,0.0,2.0,0.518,0.0,1.0,0.174,1.0,3.0,1.084,1.0,2.0,0.706,9.0,16.0,9.867,9600.0,12000.0,9665.6,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2280.0,2330.0,2304.8,600.0,1350.0,623,12860.0,15200.0,10372.2,16.0,27.0,15.744,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.632,,,,0.0,200.0,45.8,80.0,80.0,72.1,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.18,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.101,0.0,1.0,0.224,0.0,0.0,0.043,9000.0,9000.0,9000,0.0,1500.0,291,0.0,3.0,0.171,0.0,1.0,0.065,0.0,1.0,0.057,0.0,1.0,0.072,0.0,1.0,0.065,0.0,1.0,0.072,,,,,,,,,,,,,,,
69,0.0,0.0,0,0.0,2.0,0.498,0.0,1.0,0.084,1.0,2.0,0.903,0.0,1.0,0.348,1.0,2.0,0.689,0.0,1.0,0.2,1.0,3.0,1.309,1.0,2.0,0.937,10.0,17.0,10.814,9600.0,12000.0,9667.2,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2340.0,2390.0,2364.8,800.0,1300.0,700,13020.0,15360.0,10516.4,16.0,27.0,15.699,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.608,,,,0.0,200.0,54.8,100.0,100.0,89.4,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.12,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.102,0.0,1.0,0.244,0.0,0.0,0.046,9000.0,9000.0,9000,0.0,1500.0,123,0.0,0.0,0.075,0.0,0.0,0.03,0.0,0.0,0.025,0.0,0.0,0.027,0.0,0.0,0.03,0.0,0.0,0.027,,,,,,,,,,,,,,,
70,0.0,0.0,0,0.0,2.0,0.397,0.0,1.0,0.087,1.0,2.0,0.725,0.0,1.0,0.309,0.0,2.0,0.532,0.0,1.0,0.174,1.0,3.0,1.063,1.0,2.0,0.745,14.0,22.0,15.063,9600.0,12000.0,9664,0.0,0.0,0,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.982,2360.0,2410.0,2384.8,750.0,1250.0,723,13550.0,15830.5,10987.4,17.0,27.0,15.927,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.604,,,,0.0,200.0,48.3,80.0,80.0,72.7,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.096,0.0,1.0,0.243,0.0,1.0,0.057,9000.0,9000.0,9000,0.0,1500.0,177,0.0,0.0,0.108,0.0,0.0,0.034,0.0,0.0,0.036,0.0,0.0,0.048,0.0,0.0,0.034,0.0,0.0,0.048,,,,50.0,50.0,50,,,,0.0,0.0,0.002,0.0,0.0,0.12
71,0.0,0.0,0,0.0,2.0,0.488,0.0,1.0,0.092,1.0,2.0,0.921,0.0,1.0,0.352,0.0,2.0,0.609,0.0,1.0,0.204,1.0,3.0,1.378,1.0,3.0,0.924,10.0,17.0,10.975,9600.0,12000.0,9649.6,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.983,2380.0,2430.0,2404.8,950.0,1450.0,923.5,13730.0,16090.0,11232.6,16.5,27.0,15.837,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,8.5,1.0,1.0,0.601,,,,0.0,200.0,55.6,100.0,100.0,89.6,100.0,100.0,100,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.15,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.09,0.0,1.0,0.26,0.0,0.0,0.049,9000.0,9000.0,8988,0.0,0.0,3,,,,0.0,0.0,0.001,,,,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,,,,,,,,,,0.0,0.0,0.001,0.0,0.0,0.06
72,0.0,0.0,0,0.0,1.0,0.392,0.0,1.0,0.076,1.0,2.0,0.701,0.0,1.0,0.266,0.0,2.0,0.575,0.0,1.0,0.187,1.0,3.0,1.098,1.0,2.0,0.737,9.0,16.0,10.08,9600.0,12000.0,9680.8,20.0,20.0,20,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.984,2420.0,2470.0,2444.8,900.0,1400.0,838.75,13910.0,16210.0,11350.7,17.0,27.0,15.891,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,4.25,1.0,1.0,0.604,,,,0.0,200.0,45.3,80.0,80.0,72.8,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.12,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.097,0.0,1.0,0.257,0.0,0.0,0.042,9000.0,9000.0,8994,0.0,1500.0,286.5,0.0,3.0,0.174,0.0,1.0,0.068,0.0,1.0,0.058,0.0,1.0,0.065,0.0,1.0,0.068,0.0,1.0,0.065,,,,,,,,,,,,,,,
73,0.0,0.0,0,0.0,2.0,0.436,0.0,1.0,0.091,1.0,2.0,0.897,0.0,2.0,0.376,1.0,2.0,0.671,0.0,1.0,0.225,1.0,3.0,1.421,1.0,2.0,0.851,10.0,17.0,10.949,9600.0,12000.0,9532.8,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.982,2440.0,2490.0,2464.8,600.0,1350.0,702.75,14170.0,16510.5,11651.44,17.0,27.0,16.01,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.596,,,,0.0,200.0,60.1,100.0,100.0,90.64,150.0,150.0,150,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.16,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.102,0.0,1.0,0.256,0.0,0.0,0.046,9000.0,9000.0,9000,0.0,1500.0,336,0.0,3.0,0.189,0.0,1.0,0.083,0.0,1.0,0.063,0.0,1.0,0.078,0.0,1.0,0.083,0.0,1.0,0.078,,,,,,,,,,0.0,0.0,0.002,0.0,0.0,0.09
74,0.0,0.0,0,0.0,1.0,0.362,0.0,1.0,0.078,1.0,2.0,0.719,0.0,1.0,0.281,0.0,2.0,0.565,0.0,1.0,0.197,1.0,2.0,1.074,1.0,2.0,0.756,9.0,16.0,10.241,9600.0,12000.0,9570.4,30.0,30.0,30,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.98,2490.0,2540.0,2514.8,550.0,1300.0,609.25,14350.0,16620.0,11772.64,17.0,27.0,16.035,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,8.5,1.0,1.0,0.592,,,,0.0,200.0,47.8,80.0,80.0,73.4,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.41,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.082,0.0,1.0,0.281,0.0,0.0,0.045,9000.0,9000.0,8991,0.0,1500.0,294,0.0,3.0,0.195,0.0,1.0,0.064,0.0,1.0,0.065,0.0,1.0,0.067,0.0,1.0,0.064,0.0,1.0,0.067,,,,,,,,,,0.0,0.0,0.004,0.0,0.0,0.24
75,0.0,0.0,0,0.0,2.0,0.508,0.0,1.0,0.081,1.0,2.0,0.894,0.0,1.0,0.371,1.0,2.0,0.651,0.0,1.0,0.238,1.0,3.0,1.306,1.0,2.0,0.919,9.0,17.0,10.664,9600.0,12000.0,9563.2,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.984,2510.0,2560.0,2534.8,500.0,1250.0,525.25,14680.0,16960.0,12122.74,17.0,27.0,16.104,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,17,1.0,1.0,0.606,,,,0.0,200.0,60.9,100.0,100.0,89.2,200.0,200.0,200,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.09,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.107,0.0,1.0,0.233,0.0,1.0,0.054,9000.0,9000.0,8982,0.0,1500.0,285,0.0,3.0,0.159,0.0,1.0,0.058,0.0,1.0,0.053,0.0,1.0,0.079,0.0,1.0,0.058,0.0,1.0,0.079,,,,,,,,,,,,,,,
76,0.0,0.0,0,0.0,2.0,0.405,0.0,1.0,0.086,1.0,2.0,0.768,0.0,1.0,0.322,0.0,2.0,0.496,0.0,1.0,0.199,1.0,3.0,1.076,1.0,2.0,0.68,9.0,17.0,10.094,9600.0,12000.0,9644,40.0,40.0,40,20.0,20.0,20,1.0,1.0,0.968,28.0,32.0,29.981,2570.0,2620.0,2594.8,700.0,1450.0,725.25,14750.0,17080.0,12247.38,17.0,27.0,16.194,160.0,160.0,160,9200.0,9200.0,9200,,,,1.0,1.0,0.619,,,,0.0,200.0,52.1,80.0,80.0,72.54,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,20.0,20.0,20.15,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,8.0,8.0,8.064,,,,0.0,1.0,0.093,0.0,1.0,0.257,0.0,0.0,0.031,9000.0,9000.0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.003,0.0,0.0,0.24
77,0.0,0.0,0,0.0,2.0,0.508,0.0,1.0,0.088,1.0,2.0,0.832,0.0,2.0,0.345,1.0,2.0,0.666,0.0,1.0,0.222,1.0,3.0,1.362,1.0,3.0,0.945,15.0,22.0,15.867,9600.0,12000.0,9599.2,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0.032,28.0,32.0,29.982,2590.0,2640.0,2614.8,900.0,1400.0,794,15250.0,17591.0,12743.28,17.0,27.0,16.35,160.0,160.0,160,9200.0,9200.0,9200,0.0,0.0,12.75,1.0,1.0,0.606,,,,0.0,200.0,56.7,100.0,100.0,89.2,350.0,350.0,350,100.0,100.0,100,,,,100.0,100.0,100,28.0,32.0,29.984,20.0,20.0,20,70.0,70.0,70,,,,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,10.0,10.0,9.936,,,,0.0,1.0,0.106,0.0,1.0,0.254,0.0,0.0,0.034,9000.0,9000.0,8991,0.0,1500.0,127.5,0.0,0.0,0.096,0.0,0.0,0.023,0.0,0.0,0.032,0.0,0.0,0.03,0.0,0.0,0.023,0.0,0.0,0.03,,,,50.0,50.0,50,,,,0.0,0.0,0.002,0.0,0.0,0.06
