day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
58,2.0,2.0,2,0.0,2.0,0.564,0.0,1.0,0.124,1.0,3.0,1.073,0.0,2.0,0.456,1.0,2.0,0.803,0.0,1.0,0.256,2.0,3.0499999999999545,1.597,1.0,3.0,1.119,6.0,14.0,7.248,5000.0,6000.0,5322.5,0.0,1.0,0.098,20.0,20.0,18.04,1.0,1.0,0.736,28.0,28.0,27.571,750.0,830.0,747.31,850.0,1350.0,864.5,1100.0,4502.499999999998,1322.5,10.0,19.0,10.185,50.0,50.0,50,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,420.75,6000.0,6000.0,5703,1.0,1.0,0.598,,,,100.0,200.0,71.2,0.0,0.0,0,,,,100.0,100.0,98.6,28.0,28.0,27.704,,,,0.0,20.0,1.12,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.972,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.984,0.0,0.0,0.05,0.0,1.0,0.102,0.0,1.0,0.255,0.0,0.0,0.045,,,,,,,1500.0,1500.0,1366.5,0.0,3.0,0.879,0.0,1.0,0.292,0.0,1.0,0.293,0.0,1.0,0.326,0.0,0.0,10,0.0,0.0,0.021,0.0,0.0,0.202
59,2.0,2.0,2,0.0,2.0,0.594,0.0,1.0,0.105,1.0,3.0,1.069,0.0,1.0,0.412,1.0,2.0,0.826,0.0,1.0,0.273,2.0,3.0,1.638,1.0,3.0,1.081,6.0,14.0,7.094,5000.0,6000.0,5405,0.0,1.0,0.097,0.0,0.0,0,1.0,1.0,0.735,28.0,28.0,27.626,750.0,830.0,747.41,1050.0,1050.0,967.25,1150.0,4452.499999999997,1376.7,10.0,19.0,10.313,50.0,50.0,50,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,437.75,6000.0,9000.0,5904,1.0,1.0,0.584,,,,100.0,200.0,68.5,150.0,150.0,135.45,,,,100.0,100.0,99.75,28.0,28.0,27.744,,,,0.0,20.0,1.17,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.995,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.996,0.0,0.0,0.1,0.0,1.0,0.097,0.0,1.0,0.25,0.0,1.0,0.069,,,,,,,1500.0,1500.0,1255.5,0.0,3.0,0.858,0.0,1.0,0.272,0.0,1.0,0.286,0.0,1.0,0.279,0.0,0.0,50,0.0,0.0,0.048,0.0,0.0,0.44
60,2.0,2.0,2,0.0,2.0,0.569,0.0,1.0,0.126,1.0,3.0,1.101,0.0,2.0,0.423,1.0,2.0,0.782,0.0,1.0,0.271,2.0,3.0,1.632,1.0,3.0,1.086,6.0,15.0,7.32,5000.0,6000.0,5392,0.0,1.0,0.086,30.0,30.0,27.42,1.0,1.0,0.728,28.0,28.0,27.601,780.0,860.0,774.93,1250.0,1250.0,1152,1100.0,4352.499999999998,1332.45,10.0,19.0,10.518,50.0,50.0,50,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,276.25,6000.0,6000.0,5808,1.0,1.0,0.579,,,,100.0,200.0,69.4,0.0,0.0,0,,,,100.0,100.0,98.65,28.0,28.0,27.756,,,,0.0,20.0,1.71,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.973,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.98,0.0,0.0,0.1,0.0,1.0,0.12,0.0,1.0,0.245,0.0,1.0,0.056,,,,,,,1500.0,1500.0,1431,0.0,3.0,0.969,0.0,1.0,0.299,0.0,1.0,0.323,0.0,1.0,0.332,0.0,0.0,15,0.0,0.0,0.09,0.0,0.0,0.946
61,2.0,2.0,2,0.0,2.0,0.57,0.0,1.0,0.101,1.0,3.0,1.075,0.0,2.0,0.416,1.0,2.0,0.798,0.0,1.0,0.29,2.0,4.0,1.654,1.0,3.0,1.094,6.0,14.0,7.305,5000.0,6000.0,5396,0.0,1.0,0.099,0.0,0.0,0,1.0,1.0,0.727,28.0,28.0,27.55,780.0,860.0,775.13,1450.0,1450.0,1336.5,1250.0,3912.4999999999886,1438.5,10.0,19.0,10.479,75.0,75.0,75,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,348.5,6000.0,6000.0,5754,1.0,1.0,0.589,,,,100.0,200.0,70.6,200.0,200.0,180.2,,,,100.0,100.0,99.75,28.0,28.0,27.792,,,,0.0,20.0,2.41,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.995,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.996,0.0,0.0,0.2,0.0,1.0,0.095,0.0,1.0,0.26,0.0,1.0,0.056,,,,,,,1500.0,1500.0,1413,0.0,3.0,0.936,0.0,1.0,0.294,0.0,1.0,0.312,0.0,1.0,0.336,0.0,0.0,45,0.0,0.0,0.133,0.0,0.0,1.435
62,2.0,2.0,2,0.0,2.0,0.615,0.0,1.0,0.089,1.0,3.0,1.098,0.0,2.0,0.447,1.0,2.0,0.814,0.0,1.0,0.25,2.0,3.0,1.596,1.0,3.0,1.08,5.0,14.0,6.934,5000.0,7500.0,5593,0.0,1.0,0.098,40.0,40.0,36.08,1.0,1.0,0.728,28.0,28.0,27.529,810.0,900.0,811.31,150.0,900.0,246,1250.0,3804.9999999999955,1404.25,10.0,19.0,10.412,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,578,9000.0,9000.0,8094,1.0,1.0,0.6,,,,100.0,200.0,69.7,0.0,0.0,0,,,,100.0,100.0,98.95,28.0,28.0,27.796,,,,0.0,20.0,1.84,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.979,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.978,0.0,0.0,0.1,0.0,1.0,0.115,0.0,1.0,0.238,0.0,0.0,0.047,,,,,,,0.0,1500.0,118.5,0.0,0.0,0.087,0.0,0.0,0.029,0.0,0.0,0.029,0.0,0.0,0.021,0.0,0.0,5,0.0,1.0,0.157,0.0,14.0,1.686
63,2.0,2.0,2,0.0,2.0,0.612,0.0,1.0,0.101,1.0,3.0,1.099,0.0,2.0,0.449,1.0,2.0,0.865,0.0,1.0,0.225,2.0,3.0,1.585,1.0,3.0,1.062,11.0,20.0,12.26,5000.0,7500.0,5497,0.0,1.0,0.081,0.0,0.0,0,1.0,1.0,0.728,28.0,28.0,27.444,810.0,900.0,811.51,350.0,1100.0,449.25,1700.0,3100.0,1793.5,10.0,19.0,10.758,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,565.25,6000.0,6000.0,5613,1.0,1.0,0.558,,,,100.0,200.0,67.4,350.0,350.0,321.65,,,,100.0,100.0,99.8,28.0,28.0,27.916,,,,50.0,70.0,48.72,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.996,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.996,0.0,0.0,0.2,0.0,1.0,0.091,0.0,1.0,0.292,0.0,1.0,0.059,250.0,250.0,250,50.0,50.0,45.95,1500.0,1500.0,1318.5,0.0,3.0,0.888,0.0,1.0,0.288,0.0,1.0,0.296,0.0,1.0,0.295,0.0,0.0,150,0.0,2.0,0.218,0.0,21.049999999999955,2.228
64,2.0,2.0,2,0.0,2.0,0.597,0.0,1.0,0.097,1.0,3.0,1.022,0.0,2.0,0.439,1.0,2.0,0.841,0.0,1.0,0.291,2.0,4.0,1.642,1.0,3.0,1.07,6.0,15.0,7.738,5000.0,7500.0,5685,0.0,1.0,0.092,0.0,0.0,0,1.0,1.0,0.729,28.0,28.0,27.185,810.0,900.0,811.76,550.0,1050.0,587.5,1750.0,3050.0,1787.35,10.0,19.0,10.773,25.0,25.0,25,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,939.25,6000.0,6000.0,5400,1.0,1.0,0.612,,,,100.0,200.0,73,100.0,100.0,90.8,,,,100.0,100.0,99.95,28.0,28.0,27.972,,,,0.0,20.0,5.85,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.999,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.998,0.0,0.0,0.25,0.0,1.0,0.117,0.0,1.0,0.224,0.0,0.0,0.047,,,,,,,1500.0,1500.0,1222.5,0.0,3.0,0.843,0.0,1.0,0.275,0.0,1.0,0.281,0.0,1.0,0.259,0.0,0.0,70,0.0,4.0,0.48,0.0,36.0,5.022
65,2.0,2.0,2,0.0,2.0,0.609,0.0,1.0,0.119,1.0,3.0,1.065,0.0,2.0,0.441,1.0,2.0,0.798,0.0,1.0,0.286,1.0,3.0,1.579,1.0,3.0,1.101,7.0,17.0,8.114,6000.0,7500.0,5865.5,0.0,1.0,0.109,20.0,20.0,17.82,1.0,1.0,0.726,28.0,28.0,27.168,830.0,910.4999999999995,829.93,750.0,1000.0,695.5,1750.0,3000.0,1760.4,10.0,19.0,10.066,50.0,50.0,50,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,1623.5,6000.0,6000.0,4950,1.0,1.0,0.576,,,,100.0,200.0,72.7,0.0,0.0,0,,,,100.0,100.0,99.65,28.0,28.0,27.972,,,,0.0,20.0,5.29,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.993,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.996,0.0,0.0,0.35,0.0,1.0,0.103,0.0,1.0,0.27,0.0,1.0,0.051,,,,,,,1500.0,1500.0,1018.5,0.0,3.0,0.69,0.0,1.0,0.232,0.0,1.0,0.23,0.0,1.0,0.217,,,,0.0,3.0,0.399,0.0,29.0,3.893
66,2.0,2.0,2,0.0,2.0,0.595,0.0,1.0,0.087,1.0,3.0,1.063,0.0,2.0,0.408,1.0,2.0,0.828,0.0,1.0,0.296,1.5,3.0,1.595,1.0,3.0,1.127,6.0,16.0,7.706,6000.0,7500.0,5929.5,0.0,1.0,0.096,0.0,0.0,0,1.0,1.0,0.726,28.0,28.0,27.27,830.0,920.0,830.63,950.0,1450.0,832.25,1850.0,3100.0,1861.5,10.0,19.0,9.911,75.0,75.0,75,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,2010.25,6000.0,6000.0,4581,1.0,1.0,0.593,,,,100.0,200.0,70.4,150.0,150.0,135.6,,,,100.0,100.0,99.9,28.0,28.0,27.976,,,,0.0,20.0,4.71,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.998,0.0,0.0,0.7,0.0,1.0,0.099,0.0,1.0,0.264,0.0,0.0,0.044,,,,,,,1500.0,1500.0,972,0.0,3.0,0.636,0.0,1.0,0.223,0.0,1.0,0.212,0.0,1.0,0.213,0.0,0.0,5,0.0,3.0,0.371,0.0,29.0,3.919
67,2.0,2.0,2,0.0,2.0,0.608,0.0,1.0,0.105,1.0,3.0,1.065,0.0,2.0,0.452,1.0,2.0,0.81,0.0,1.0,0.256,2.0,3.0,1.622,1.0,3.0,1.082,6.0,15.0,7.569,6000.0,7500.0,5939,0.0,1.0,0.088,30.0,30.0,27.36,1.0,1.0,0.725,28.0,28.0,27.451,860.0,940.0,858.59,650.0,1400.0,772.5,1800.0,3100.0,1832.35,9.0,19.0,9.632,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,2214.25,6000.0,9000.0,4605,1.0,1.0,0.601,,,,100.0,200.0,70.8,0.0,0.0,0,,,,100.0,100.0,99.95,28.0,28.0,27.976,,,,0.0,20.0,4.35,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.999,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.6,0.0,1.0,0.111,0.0,1.0,0.232,0.0,1.0,0.056,,,,,,,1500.0,1500.0,940.5,0.0,3.0,0.609,0.0,1.0,0.207,0.0,1.0,0.203,0.0,1.0,0.217,,,,0.0,2.0499999999999545,0.34,0.0,29.0,3.462
68,2.0,2.0,2,0.0,2.0,0.576,0.0,1.0,0.09,1.0,3.0,1.087,0.0,2.0,0.403,1.0,2.0,0.852,0.0,1.0,0.285,2.0,4.0,1.63,1.0,3.0,1.076,6.0,14.0,7.37,6000.0,7500.0,6016,0.0,1.0,0.124,0.0,0.0,0,1.0,1.0,0.726,28.0,28.0,27.516,860.0,940.4999999999995,859.14,850.0,1350.0,827,1950.0,3250.0,1971.4,9.0,19.0,9.608,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,1530,6000.0,6000.0,4977,1.0,1.0,0.597,,,,100.0,200.0,68.8,200.0,200.0,175.2,,,,100.0,100.0,99.95,28.0,28.0,27.98,,,,0.0,20.0,3.66,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.999,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.998,0.0,0.0,0.55,0.0,1.0,0.109,0.0,1.0,0.224,0.0,1.0,0.07,,,,,,,1500.0,1500.0,1138.5,0.0,3.0,0.756,0.0,1.0,0.255,0.0,1.0,0.252,0.0,1.0,0.252,0.0,0.0,5,0.0,2.0,0.295,0.0,22.0,2.88
69,2.0,2.0,2,0.0,2.0,0.59,0.0,1.0,0.098,1.0,3.0,1.11,0.0,2.0,0.46,1.0,2.0,0.743,0.0,1.0,0.249,2.0,3.0,1.614,1.0,3.0,1.133,6.0,15.0,7.522,6000.0,7500.0,6075.5,0.0,1.0,0.092,40.0,40.0,36.32,1.0,1.0,0.727,28.0,28.0,27.566,900.0,980.0,895.81,800.0,1300.0,655.25,1950.0,3200.0,1942.55,8.0,19.0,9.155,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,1253.75,6000.0,9000.0,5763,1.0,1.0,0.606,,,,100.0,200.0,70.9,0.0,0.0,0,,,,100.0,100.0,99.75,28.0,28.0,27.98,,,,0.0,20.0,3.48,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.995,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,11.994,0.0,0.0,0.35,0.0,1.0,0.098,0.0,1.0,0.249,0.0,0.0,0.047,,,,,,,1500.0,1500.0,855,0.0,3.0,0.624,0.0,1.0,0.175,0.0,1.0,0.208,0.0,1.0,0.187,,,,0.0,2.0,0.245,0.0,15.0,2.403
70,2.0,2.0,2,0.0,2.0,0.582,0.0,1.0,0.107,1.0,3.0,1.123,0.0,2.0,0.462,1.0,2.0,0.793,0.0,1.0,0.244,1.0,3.0,1.563,1.0,3.0,1.126,11.0,19.049999999999955,11.843,6000.0,7500.0,6184.5,0.0,1.0,0.104,0.0,0.0,0,1.0,1.0,0.727,28.0,28.0,27.632,900.0,980.0,896.06,750.0,1250.0,755.25,2200.0,3450.0,2211.75,9.0,19.0,9.507,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,1181.5,6000.0,9000.0,5376,1.0,1.0,0.618,,,,100.0,200.0,70.6,350.0,350.0,313.6,,,,100.0,100.0,100,28.0,28.0,27.992,,,,50.0,70.0,47.26,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.25,0.0,1.0,0.102,0.0,1.0,0.236,0.0,0.0,0.044,,,,50.0,50.0,44.8,1500.0,1500.0,1042.5,0.0,3.0,0.687,0.0,1.0,0.235,0.0,1.0,0.229,0.0,1.0,0.231,0.0,0.0,15,0.0,2.0,0.212,0.0,15.0,2.125
71,2.0,2.0,2,0.0,2.0,0.591,0.0,1.0,0.116,1.0,3.0,1.12,0.0,2.0,0.427,1.0,2.0,0.878,0.0,1.0,0.27,1.0,3.0,1.548,1.0,3.0,1.05,6.0,15.0,7.48,6000.0,7500.0,6189.5,0.0,1.0,0.102,0.0,0.0,0,1.0,1.0,0.727,28.0,28.0,27.63,900.0,980.0,896.41,950.0,1450.0,981.25,2250.0,3502.4999999999977,2271.25,9.0,19.0,9.409,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,875.5,6000.0,6000.0,5382,1.0,1.0,0.596,,,,100.0,200.0,69.7,100.0,100.0,89.8,,,,100.0,100.0,100,28.0,28.0,27.992,,,,0.0,20.0,3.01,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.35,0.0,1.0,0.107,0.0,1.0,0.234,0.0,1.0,0.063,,,,,,,1500.0,1500.0,1216.5,0.0,3.0,0.741,0.0,1.0,0.28,0.0,1.0,0.247,0.0,1.0,0.284,,,,0.0,2.0,0.208,0.0,15.0,2.171
72,2.0,2.0,2,0.0,2.0,0.537,0.0,1.0,0.09,1.0,3.0,1.068,0.0,2.0,0.442,1.0,2.0,0.821,0.0,1.0,0.264,2.0,4.0,1.664,1.0,3.0,1.114,6.0,14.0,7.052,6000.0,7500.0,6196.5,0.0,1.0,0.104,20.0,20.0,17.92,1.0,1.0,0.727,28.0,28.0,27.777,920.0,1000.0,914.68,900.0,1400.0,769.75,2200.0,3550.0,2241.85,9.0,19.0,9.436,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,1011.5,6000.0,9000.0,6048,1.0,1.0,0.625,,,,100.0,200.0,70.6,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,27.992,,,,0.0,20.0,1.63,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.35,0.0,1.0,0.082,0.0,1.0,0.241,0.0,1.0,0.052,,,,,,,1500.0,1500.0,852,0.0,3.0,0.561,0.0,1.0,0.183,0.0,1.0,0.187,0.0,1.0,0.198,,,,0.0,1.0,0.091,0.0,7.0,1.096
73,2.0,2.0,2,0.0,2.0,0.597,0.0,1.0,0.099,1.0,3.0,1.037,0.0,2.0,0.409,1.0,2.0,0.822,0.0,1.0,0.267,2.0,4.0,1.636,1.0,3.0,1.133,6.0,14.0,7.029,6000.0,7500.0,6173,0.0,1.0,0.104,0.0,0.0,0,1.0,1.0,0.727,28.0,28.0,27.904,920.0,1000.0,914.88,350.0,1350.0,502,2350.0,3650.0,2343.85,10.0,18.0,9.472,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,8500.0,718.25,6000.0,9000.0,6297,1.0,1.0,0.613,,,,100.0,200.0,67.6,150.0,150.0,134.4,,,,100.0,100.0,100,28.0,28.0,27.992,,,,0.0,20.0,1.1,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.2,0.0,1.0,0.094,0.0,1.0,0.25,0.0,0.0,0.043,,,,,,,1500.0,1500.0,952.5,0.0,3.0,0.666,0.0,1.0,0.217,0.0,1.0,0.222,0.0,1.0,0.196,,,,0.0,0.0,0.042,0.0,0.0,0.47
74,2.0,2.0,2,0.0,2.0,0.565,0.0,1.0,0.106,1.0,3.0,1.092,0.0,2.0,0.469,1.0,2.0,0.803,0.0,1.0,0.305,2.0,3.0,1.624,1.0,3.0,1.036,5.0,14.0,7.034,6000.0,7500.0,6175,0.0,1.0,0.115,30.0,30.0,26.55,1.0,1.0,0.726,28.0,28.0,27.96,940.0,1030.0,941.48,550.0,1050.0,475,2300.0,3650.0,2321.3,10.0,18.0,9.456,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,4250.0,323,6000.0,9000.0,6177,1.0,1.0,0.591,,,,100.0,200.0,77.4,0.0,0.0,0,,,,100.0,100.0,99.95,28.0,28.0,27.992,,,,0.0,0.0,0.98,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.999,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.05,0.0,1.0,0.1,0.0,1.0,0.259,0.0,0.049999999999954525,0.05,,,,,,,1500.0,1500.0,1227,0.0,3.0,0.744,0.0,1.0,0.287,0.0,1.0,0.248,0.0,1.0,0.283,,,,0.0,0.0,0.02,0.0,0.0,0.22
75,2.0,2.0,2,0.0,2.0,0.609,0.0,1.0,0.113,1.0,3.0,1.031,0.0,2.0,0.428,1.0,2.0,0.811,0.0,1.0,0.269,2.0,4.0,1.629,1.0,3.0,1.11,5.0,14.0,7.128,6000.0,7500.0,6239,0.0,1.0,0.093,0.0,0.0,0,1.0,1.0,0.726,28.0,28.0,27.958,940.0,1030.0,941.48,750.0,1000.0,616.25,2450.0,3750.0,2472.4,10.0,18.0,9.397,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,0.0,97.75,6000.0,6000.0,6045,1.0,1.0,0.609,,,,100.0,200.0,69.7,200.0,200.0,181.4,,,,100.0,100.0,100,28.0,28.0,27.992,,,,0.0,20.0,1.24,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.247,0.0,0.0,0.042,,,,,,,1500.0,1500.0,1416,0.0,3.0,0.918,0.0,1.0,0.329,0.0,1.0,0.306,0.0,1.0,0.309,,,,0.0,0.0,0.025,0.0,0.0,0.263
76,2.0,2.0,2,0.0,2.0,0.611,0.0,1.0,0.115,1.0,3.0,1.126,0.0,2.0,0.46,1.0,2.0,0.784,0.0,1.0,0.247,1.0,3.0,1.563,1.0,3.0,1.094,6.0,14.0,7.102,6000.0,7500.0,6266,0.0,1.0,0.097,40.0,40.0,36.12,1.0,1.0,0.726,28.0,28.0,27.966,980.0,1070.0,977.6,950.0,1200.0,816.5,2400.0,3750.0,2443.1,10.0,18.0,9.461,100.0,100.0,100,4700.0,4700.0,4700,3000.0,3000.0,3000,0.0,0.0,80.75,6000.0,6000.0,5943,1.0,1.0,0.6,,,,100.0,200.0,70.7,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,27.992,,,,0.0,0.0,0.99,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.084,0.0,1.0,0.252,0.0,1.0,0.064,,,,,,,1500.0,1500.0,1476,0.0,3.0,0.945,0.0,1.0,0.337,0.0,1.0,0.315,0.0,1.0,0.332,,,,0.0,0.0,0.011,0.0,0.0,0.109
