day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
80,2.0,2.0,2,0.0,2.0,0.605,0.0,1.0,0.104,1.0,3.0,1.085,0.0,2.0,0.453,1.0,2.0,0.809,0.0,1.0,0.254,2.0,3.0,1.598,1.0,3.0,1.092,6.0,13.0,6.905,9600.0,12000.0,9959.2,0.0,0.0,0,1.0,1.0,0.801,28.0,28.0,27.999,1120.0,1120.0,1095.7,250.0,1250.0,356.25,4260.0,5360.0,4252.65,9.0,19.0,10.085,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.61,,,,100.0,200.0,70.7,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.22,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.084,0.0,1.0,0.266,0.0,0.0,0.04,,,,,,,0.0,1500.0,471,0.0,3.0,0.312,0.0,1.0,0.105,0.0,1.0,0.104,0.0,1.0,0.105,,,,0.0,0.0,0.001,0.0,0.0,0.01
81,2.0,2.0,2,0.0,2.0,0.61,0.0,1.0,0.108,1.0,3.0,1.128,0.0,2.0,0.389,1.0,2.0,0.787,0.0,1.0,0.277,2.0,3.0499999999999545,1.639,1.0,3.0,1.062,5.0,13.0,6.793,9600.0,12000.0,9879.2,30.0,30.0,30,1.0,1.0,0.801,28.0,28.0,28,1150.0,1150.0,1125.7,450.0,1450.0,556.5,4260.0,5360.0,4219.25,9.0,19.0,10.085,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,4.25,12000.0,12000.0,11994,1.0,1.0,0.599,,,,100.0,200.0,66.6,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.106,0.0,1.0,0.241,0.0,1.0,0.054,,,,,,,0.0,0.0,1.5,,,,0.0,0.0,0.001,,,,,,,,,,,,,,,
82,2.0,2.0,2,0.0,2.0,0.6,0.0,1.0,0.108,1.0,3.0,1.058,0.0,2.0,0.436,1.0,2.0,0.836,0.0,1.0,0.278,2.0,4.0,1.664,1.0,3.0,1.02,5.0,13.0,6.84,9600.0,12000.0,9952.8,0.0,0.0,0,1.0,1.0,0.801,28.0,28.0,27.998,1150.0,1150.0,1125.7,650.0,900.0,572,4410.0,5560.0,4390.65,9.0,19.0,10.089,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.599,,,,100.0,200.0,71.4,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.14,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.103,0.0,1.0,0.251,0.0,0.0,0.047,,,,,,,0.0,1500.0,184.5,0.0,0.0,0.114,0.0,0.0,0.049,0.0,0.0,0.038,0.0,0.0,0.036,,,,0.0,0.0,0.002,0.0,0.0,0.03
83,2.0,2.0,2,0.0,2.0,0.593,0.0,1.0,0.107,1.0,3.0,1.097,0.0,2.0,0.418,1.0,2.0,0.796,0.0,1.0,0.246,2.0,4.0,1.619,1.0,3.0,1.124,5.0,14.0,6.859,9600.0,12000.0,9895.2,40.0,40.0,40,1.0,1.0,0.801,28.0,28.0,27.997,1190.0,1190.0,1165.7,850.0,1100.0,726,4360.0,5560.0,4357.05,9.0,19.0,10.103,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,8.5,12000.0,12000.0,11994,1.0,1.0,0.612,,,,0.0,200.0,66.4,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.04,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.095,0.0,1.0,0.25,0.0,0.0,0.043,,,,,,,0.0,0.0,43.5,0.0,0.0,0.024,0.0,0.0,0.013,0.0,0.0,0.008,0.0,0.0,0.008,,,,0.0,0.0,0.003,0.0,0.0,0.03
84,2.0,2.0,2,0.0,2.0,0.601,0.0,1.0,0.116,1.0,3.0,1.07,0.0,2.0,0.423,1.0,2.0,0.818,0.0,1.0,0.255,1.0,3.0,1.622,1.0,3.0,1.095,10.0,19.0,11.854,9600.0,12000.0,9903.2,0.0,0.0,0,1.0,1.0,0.801,28.0,28.0,27.999,1190.0,1190.0,1165.7,1050.0,1300.0,923.5,4660.0,5910.0,4674.85,9.0,19.0,10.086,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,8.5,12000.0,12000.0,11991,1.0,1.0,0.607,,,,100.0,200.0,67.8,350.0,350.0,350,,,,100.0,100.0,100,28.0,28.0,28,,,,50.0,50.0,50.02,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.101,0.0,1.0,0.24,0.0,1.0,0.052,,,,50.0,50.0,50,0.0,0.0,3,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.001,,,,,,,,,,,,
85,2.0,2.0,2,0.0,2.0,0.601,0.0,1.0,0.115,1.0,3.0,1.07,0.0,2.0,0.452,1.0,2.0,0.827,0.0,1.0,0.266,1.0,3.0,1.576,1.0,3.0,1.093,5.0,13.0,6.916,9600.0,12000.0,9894.4,0.0,0.0,0,1.0,1.0,0.801,28.0,28.0,27.998,1190.0,1190.0,1165.7,1000.0,1250.0,895.75,4760.0,5910.0,4746.65,9.0,19.0,10.116,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,4.25,12000.0,12000.0,11994,1.0,1.0,0.597,,,,100.0,200.0,71.8,100.0,100.0,100,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.14,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.098,0.0,1.0,0.256,0.0,0.0,0.049,,,,,,,0.0,1500.0,229.5,0.0,0.14999999999986358,0.15,0.0,0.0,0.046,0.0,0.049999999999954525,0.05,0.0,1.0,0.057,,,,0.0,0.0,0.002,0.0,0.0,0.02
86,2.0,2.0,2,0.0,2.0,0.616,0.0,1.0,0.111,1.0,3.0,1.079,0.0,2.0,0.427,1.0,2.0,0.787,0.0,1.0,0.289,2.0,3.0,1.598,1.0,3.0,1.093,5.0,13.0,6.806,9600.0,12000.0,9896.8,20.0,20.0,20,1.0,1.0,0.801,28.0,28.0,28,1210.0,1210.0,1185.7,1200.0,1450.0,1096.25,4710.0,5910.0,4718.25,9.0,19.0,10.116,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,8.5,12000.0,12000.0,11991,1.0,1.0,0.601,,,,100.0,200.0,71.6,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.097,0.0,1.0,0.25,0.0,1.0,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2.0,2.0,2,0.0,2.0,0.605,0.0,1.0,0.108,1.0,3.0,1.055,0.0,2.0,0.475,1.0,2.0,0.815,0.0,1.0,0.269,1.0,3.0,1.579,1.0,3.0,1.094,5.0,14.0,6.835,9600.0,12000.0,9899.2,0.0,0.0,0,1.0,1.0,0.801,28.0,28.0,28,1210.0,1210.0,1185.7,400.0,1400.0,727.75,4860.0,6060.0,4842.65,9.0,19.0,10.23,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.603,,,,100.0,200.0,74.4,150.0,150.0,150,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.24,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.1,0.0,1.0,0.252,0.0,0.0,0.045,,,,,,,0.0,1500.0,568.5,0.0,3.0,0.354,0.0,1.0,0.131,0.0,1.0,0.118,0.0,1.0,0.13,,,,,,,,,
88,2.0,2.0,2,0.0,2.0,0.597,0.0,1.0,0.089,1.0,3.0,1.114,0.0,2.0,0.431,1.0,2.0,0.791,0.0,1.0,0.285,2.0,4.0,1.644,1.0,3.0,1.049,5.0,13.0,6.639,9600.0,12000.0,9756.8,30.0,30.0,30,1.0,1.0,0.801,28.0,28.0,27.999,1240.0,1240.0,1215.7,350.0,1350.0,455.25,4860.0,5962.499999999998,4814.25,9.5,19.0,10.33,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.61,,,,100.0,200.0,71.6,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.2,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.106,0.0,1.0,0.238,0.0,0.0,0.046,,,,,,,0.0,1500.0,472.5,0.0,3.0,0.27,0.0,1.0,0.127,0.0,1.0,0.09,0.0,1.0,0.098,,,,0.0,0.0,0.001,0.0,0.0,0.03
89,2.0,2.0,2,0.0,2.0,0.601,0.0,1.0,0.118,1.0,3.0,1.069,0.0,2.0,0.456,1.0,2.0,0.809,0.0,1.0,0.305,2.0,4.0,1.61,1.0,3.0,1.032,5.0,14.0,6.827,9600.0,12000.0,9816,0.0,0.0,0,1.0,1.0,0.801,28.0,28.0,27.998,1240.0,1240.0,1215.7,550.0,800.0,469.5,4960.0,6210.0,4990.35,11.0,19.0,10.422,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,4.25,12000.0,12000.0,11994,1.0,1.0,0.609,,,,100.0,200.0,76.1,200.0,200.0,200,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.08,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.099,0.0,1.0,0.245,0.0,0.0,0.047,,,,,,,0.0,1500.0,187.5,0.0,0.0,0.132,0.0,0.0,0.037,0.0,0.0,0.044,0.0,0.0,0.044,,,,0.0,0.0,0.002,0.0,0.0,0.04
90,2.0,2.0,2,0.0,2.0,0.554,0.0,1.0,0.088,1.0,3.0,1.054,0.0,2.0,0.437,1.0,2.0,0.83,0.0,1.0,0.258,2.0,4.0,1.66,1.0,3.0,1.119,5.0,13.0,6.81,9600.0,12000.0,9948,40.0,40.0,40,1.0,1.0,0.801,28.0,28.0,27.999,1280.0,1280.0,1255.7,750.0,1000.0,628,4960.0,6160.0,4959.85,11.0,19.0,10.456,160.0,160.0,160,9200.0,9200.0,9200,3000.0,3000.0,3000,0.0,0.0,8.5,12000.0,12000.0,11991,1.0,1.0,0.6,,,,100.0,200.0,69.5,0.0,0.0,0,,,,100.0,100.0,100,28.0,28.0,28,,,,0.0,0.0,0.02,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.091,0.0,1.0,0.27,0.0,0.0,0.039,,,,,,,0.0,0.0,42,0.0,0.0,0.024,0.0,0.0,0.011,0.0,0.0,0.008,0.0,0.0,0.009,,,,0.0,0.0,0.001,0.0,0.0,0.03
